; Candidate 13056
; ADRP+ADD at VM 0xfffffff0091dc8c8 (fileoff 0x21d88c8): page=0x1fe2c1000 add_imm=0xcde

0xfffffff0091dc848: 29cd0f91  add	x9, x9, #0x3f3
0xfffffff0091dc84c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0091dc850: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff0091dc854: e00300f9  str	x0, [sp]
0xfffffff0091dc858: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc85c: 00783391  add	x0, x0, #0xcde
0xfffffff0091dc860: 006baf97  bl	#0xfffffff007db7460
0xfffffff0091dc864: ffff04a9  stp	xzr, xzr, [sp, #0x48]
0xfffffff0091dc868: ffff05a9  stp	xzr, xzr, [sp, #0x58]
0xfffffff0091dc86c: 39000014  b	#0xfffffff0091dc950
0xfffffff0091dc870: e00315aa  mov	x0, x21
0xfffffff0091dc874: c98d8052  mov	w9, #0x46e
0xfffffff0091dc878: 0816ffb0  adrp	x8, #0xfffffff00749d000
0xfffffff0091dc87c: 08993591  add	x8, x8, #0xd66
0xfffffff0091dc880: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0091dc884: f4d700a9  stp	x20, x21, [sp, #8]
0xfffffff0091dc888: e00300f9  str	x0, [sp]
0xfffffff0091dc88c: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc890: 00783391  add	x0, x0, #0xcde
0xfffffff0091dc894: f36aaf97  bl	#0xfffffff007db7460
0xfffffff0091dc898: ffff04a9  stp	xzr, xzr, [sp, #0x48]
0xfffffff0091dc89c: ff2f00f9  str	xzr, [sp, #0x58]
0xfffffff0091dc8a0: 2c000014  b	#0xfffffff0091dc950
0xfffffff0091dc8a4: e00314aa  mov	x0, x20
0xfffffff0091dc8a8: 4a8e8052  mov	w10, #0x472
0xfffffff0091dc8ac: 0816ffb0  adrp	x8, #0xfffffff00749d000
0xfffffff0091dc8b0: 08993591  add	x8, x8, #0xd66
0xfffffff0091dc8b4: 0916ffd0  adrp	x9, #0xfffffff00749e000
0xfffffff0091dc8b8: 29391091  add	x9, x9, #0x40e
0xfffffff0091dc8bc: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0091dc8c0: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff0091dc8c4: e00300f9  str	x0, [sp]
0xfffffff0091dc8c8: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc8cc: 00783391  add	x0, x0, #0xcde
0xfffffff0091dc8d0: e46aaf97  bl	#0xfffffff007db7460
0xfffffff0091dc8d4: ffff04a9  stp	xzr, xzr, [sp, #0x48]
0xfffffff0091dc8d8: 1e000014  b	#0xfffffff0091dc950
0xfffffff0091dc8dc: e00314aa  mov	x0, x20
0xfffffff0091dc8e0: ca8e8052  mov	w10, #0x476
0xfffffff0091dc8e4: 0816ffb0  adrp	x8, #0xfffffff00749d000
0xfffffff0091dc8e8: 08993591  add	x8, x8, #0xd66
0xfffffff0091dc8ec: 0916ffd0  adrp	x9, #0xfffffff00749e000
0xfffffff0091dc8f0: 29791091  add	x9, x9, #0x41e
0xfffffff0091dc8f4: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0091dc8f8: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff0091dc8fc: e00300f9  str	x0, [sp]
0xfffffff0091dc900: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc904: 00783391  add	x0, x0, #0xcde
0xfffffff0091dc908: d66aaf97  bl	#0xfffffff007db7460
0xfffffff0091dc90c: ff2700f9  str	xzr, [sp, #0x48]
0xfffffff0091dc910: 10000014  b	#0xfffffff0091dc950
0xfffffff0091dc914: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc918: 002c3491  add	x0, x0, #0xd0b
0xfffffff0091dc91c: 488f8052  mov	w8, #0x47a
0xfffffff0091dc920: 0916ffb0  adrp	x9, #0xfffffff00749d000
0xfffffff0091dc924: 29993591  add	x9, x9, #0xd66
0xfffffff0091dc928: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0091dc92c: 0816ffd0  adrp	x8, #0xfffffff00749e000
0xfffffff0091dc930: 08e51091  add	x8, x8, #0x439
0xfffffff0091dc934: 0a16ffd0  adrp	x10, #0xfffffff00749e000
0xfffffff0091dc938: 4ab91091  add	x10, x10, #0x42e
0xfffffff0091dc93c: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0091dc940: e00300f9  str	x0, [sp]
0xfffffff0091dc944: 0016ffb0  adrp	x0, #0xfffffff00749d000
