; Candidate 8429
; ADRP+ADD at VM 0xfffffff0088aa38c (fileoff 0x18a638c): page=0x1fe93f000 add_imm=0xe80

0xfffffff0088aa30c: 15020034  cbz	w21, #0xfffffff0088aa34c
0xfffffff0088aa310: f82700f9  str	x24, [sp, #0x48]
0xfffffff0088aa314: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088aa318: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0088aa31c: e80317aa  mov	x8, x23
0xfffffff0088aa320: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088aa324: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa328: 08890591  add	x8, x8, #0x162
0xfffffff0088aa32c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088aa330: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088aa334: c80f8052  mov	w8, #0x7e
0xfffffff0088aa338: 404cffb0  adrp	x0, #0xfffffff007233000
0xfffffff0088aa33c: 00dc0491  add	x0, x0, #0x137
0xfffffff0088aa340: f92300a9  stp	x25, x8, [sp]
0xfffffff0088aa344: 4734d497  bl	#0xfffffff007db7460
0xfffffff0088aa348: 19000014  b	#0xfffffff0088aa3ac
0xfffffff0088aa34c: 98270094  bl	#0xfffffff0088b41ac
0xfffffff0088aa350: f50300aa  mov	x21, x0
0xfffffff0088aa354: e0008052  mov	w0, #7
0xfffffff0088aa358: 3e45ff97  bl	#0xfffffff00887b850
0xfffffff0088aa35c: e80318aa  mov	x8, x24
0xfffffff0088aa360: e82700f9  str	x8, [sp, #0x48]
0xfffffff0088aa364: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088aa368: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0088aa36c: e80317aa  mov	x8, x23
0xfffffff0088aa370: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088aa374: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa378: 08890591  add	x8, x8, #0x162
0xfffffff0088aa37c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088aa380: c80f8052  mov	w8, #0x7e
0xfffffff0088aa384: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088aa388: f50300f9  str	x21, [sp]
0xfffffff0088aa38c: e049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088aa390: 00003a91  add	x0, x0, #0xe80
0xfffffff0088aa394: e18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088aa398: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088aa39c: c34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088aa3a0: 633c0c91  add	x3, x3, #0x30f
0xfffffff0088aa3a4: 02008052  mov	w2, #0
0xfffffff0088aa3a8: 6223ea97  bl	#0xfffffff008333130
0xfffffff0088aa3ac: e00318aa  mov	x0, x24
0xfffffff0088aa3b0: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff0088aa3b4: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff0088aa3b8: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff0088aa3bc: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff0088aa3c0: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff0088aa3c4: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff0088aa3c8: ff830391  add	sp, sp, #0xe0
0xfffffff0088aa3cc: ff0f5fd6  retab	
0xfffffff0088aa3d0: 7f2303d5  pacibsp	
0xfffffff0088aa3d4: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0088aa3d8: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff0088aa3dc: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0088aa3e0: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0088aa3e4: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0088aa3e8: fd430291  add	x29, sp, #0x90
0xfffffff0088aa3ec: f40301aa  mov	x20, x1
0xfffffff0088aa3f0: f30300aa  mov	x19, x0
0xfffffff0088aa3f4: c00f8052  mov	w0, #0x7e
0xfffffff0088aa3f8: e1008052  mov	w1, #7
0xfffffff0088aa3fc: f544ff97  bl	#0xfffffff00887b7d0
0xfffffff0088aa400: 40020034  cbz	w0, #0xfffffff0088aa448
0xfffffff0088aa404: c00f8052  mov	w0, #0x7e
0xfffffff0088aa408: 0445ff97  bl	#0xfffffff00887b818
