; Candidate 6184
; ADRP+ADD at VM 0xfffffff0088190f0 (fileoff 0x18150f0): page=0x1fe9d0000 add_imm=0xe80

0xfffffff008819070: a9278152  mov	w9, #0x93d
0xfffffff008819074: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008819078: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881907c: 08210091  add	x8, x8, #8
0xfffffff008819080: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008819084: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008819088: 880e8052  mov	w8, #0x74
0xfffffff00881908c: 2050ffd0  adrp	x0, #0xfffffff00721f000
0xfffffff008819090: 00f00b91  add	x0, x0, #0x2fc
0xfffffff008819094: a0000014  b	#0xfffffff008819314
0xfffffff008819098: 456c0294  bl	#0xfffffff0088b41ac
0xfffffff00881909c: f90300aa  mov	x25, x0
0xfffffff0088190a0: 80008052  mov	w0, #4
0xfffffff0088190a4: eb890194  bl	#0xfffffff00887b850
0xfffffff0088190a8: e80318aa  mov	x8, x24
0xfffffff0088190ac: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff0088190b0: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff0088190b4: e80316aa  mov	x8, x22
0xfffffff0088190b8: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff0088190bc: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff0088190c0: a84ffff0  adrp	x8, #0xfffffff007210000
0xfffffff0088190c4: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088190c8: 29268152  mov	w9, #0x931
0xfffffff0088190cc: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088190d0: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff0088190d4: 08210091  add	x8, x8, #8
0xfffffff0088190d8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088190dc: 880e8052  mov	w8, #0x74
0xfffffff0088190e0: 8351ff90  adrp	x3, #0xfffffff007249000
0xfffffff0088190e4: 637c0291  add	x3, x3, #0x9f
0xfffffff0088190e8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088190ec: f90300f9  str	x25, [sp]
0xfffffff0088190f0: 804eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088190f4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088190f8: 618ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088190fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008819100: 02008052  mov	w2, #0
0xfffffff008819104: 0b68ec97  bl	#0xfffffff008333130
0xfffffff008819108: 0cfeff17  b	#0xfffffff008818938
0xfffffff00881910c: e00313aa  mov	x0, x19
0xfffffff008819110: e1031baa  mov	x1, x27
0xfffffff008819114: a9ebff97  bl	#0xfffffff008813fb8
0xfffffff008819118: 400b0034  cbz	w0, #0xfffffff008819280
0xfffffff00881911c: f80300aa  mov	x24, x0
0xfffffff008819120: 800e8052  mov	w0, #0x74
0xfffffff008819124: 81008052  mov	w1, #4
0xfffffff008819128: aa890194  bl	#0xfffffff00887b7d0
0xfffffff00881912c: 60c0ff34  cbz	w0, #0xfffffff008818938
0xfffffff008819130: 800e8052  mov	w0, #0x74
0xfffffff008819134: b9890194  bl	#0xfffffff00887b818
0xfffffff008819138: fa0300aa  mov	x26, x0
0xfffffff00881913c: 1c6c0294  bl	#0xfffffff0088b41ac
0xfffffff008819140: f90300aa  mov	x25, x0
0xfffffff008819144: 80008052  mov	w0, #4
0xfffffff008819148: c2890194  bl	#0xfffffff00887b850
0xfffffff00881914c: ba0e0034  cbz	w26, #0xfffffff008819320
0xfffffff008819150: e80318aa  mov	x8, x24
0xfffffff008819154: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff008819158: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881915c: e80316aa  mov	x8, x22
0xfffffff008819160: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff008819164: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff008819168: a84ffff0  adrp	x8, #0xfffffff007210000
0xfffffff00881916c: 08b92791  add	x8, x8, #0x9ee
