; Candidate 5860
; ADRP+ADD at VM 0xfffffff0088092e4 (fileoff 0x18052e4): page=0x1fe9e0000 add_imm=0xe80

0xfffffff008809264: 00050034  cbz	w0, #0xfffffff008809304
0xfffffff008809268: 800e8052  mov	w0, #0x74
0xfffffff00880926c: 6bc90194  bl	#0xfffffff00887b818
0xfffffff008809270: f50300aa  mov	x21, x0
0xfffffff008809274: ceab0294  bl	#0xfffffff0088b41ac
0xfffffff008809278: f40300aa  mov	x20, x0
0xfffffff00880927c: 80008052  mov	w0, #4
0xfffffff008809280: 74c90194  bl	#0xfffffff00887b850
0xfffffff008809284: 95010034  cbz	w21, #0xfffffff0088092b4
0xfffffff008809288: 68838052  mov	w8, #0x41b
0xfffffff00880928c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008809290: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809294: 08fd2c91  add	x8, x8, #0xb3f
0xfffffff008809298: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880929c: 880e8052  mov	w8, #0x74
0xfffffff0088092a0: f42300a9  stp	x20, x8, [sp]
0xfffffff0088092a4: 8050ffb0  adrp	x0, #0xfffffff00721a000
0xfffffff0088092a8: 00302c91  add	x0, x0, #0xb0c
0xfffffff0088092ac: 6db8d697  bl	#0xfffffff007db7460
0xfffffff0088092b0: 15000014  b	#0xfffffff008809304
0xfffffff0088092b4: beab0294  bl	#0xfffffff0088b41ac
0xfffffff0088092b8: f40300aa  mov	x20, x0
0xfffffff0088092bc: 80008052  mov	w0, #4
0xfffffff0088092c0: 64c90194  bl	#0xfffffff00887b850
0xfffffff0088092c4: e80313aa  mov	x8, x19
0xfffffff0088092c8: 69838052  mov	w9, #0x41b
0xfffffff0088092cc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088092d0: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff0088092d4: 08fd2c91  add	x8, x8, #0xb3f
0xfffffff0088092d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088092dc: 880e8052  mov	w8, #0x74
0xfffffff0088092e0: f42300a9  stp	x20, x8, [sp]
0xfffffff0088092e4: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088092e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088092ec: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088092f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088092f4: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff0088092f8: 63b02e91  add	x3, x3, #0xbac
0xfffffff0088092fc: 02008052  mov	w2, #0
0xfffffff008809300: 8ca7ec97  bl	#0xfffffff008333130
0xfffffff008809304: e00313aa  mov	x0, x19
0xfffffff008809308: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00880930c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008809310: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008809314: ff830191  add	sp, sp, #0x60
0xfffffff008809318: ff0f5fd6  retab	
0xfffffff00880931c: 7f2303d5  pacibsp	
0xfffffff008809320: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff008809324: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008809328: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00880932c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008809330: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008809334: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008809338: fd430191  add	x29, sp, #0x50
0xfffffff00880933c: ff430ed1  sub	sp, sp, #0x390
0xfffffff008809340: f50302aa  mov	x21, x2
0xfffffff008809344: f30301aa  mov	x19, x1
0xfffffff008809348: f40300aa  mov	x20, x0
0xfffffff00880934c: 08cc4491  add	x8, x0, #0x133, lsl #12
0xfffffff008809350: 18011891  add	x24, x8, #0x600
0xfffffff008809354: 08b84391  add	x8, x0, #0xee, lsl #12
0xfffffff008809358: 19b12b91  add	x25, x8, #0xaec
0xfffffff00880935c: 088b8a52  mov	w8, #0x5458
0xfffffff008809360: 3700088b  add	x23, x1, x8
