; Candidate 5411
; ADRP+ADD at VM 0xfffffff0087ef268 (fileoff 0x17eb268): page=0x1fe9fa000 add_imm=0xe80

0xfffffff0087ef1e8: f50300f9  str	x21, [sp]
0xfffffff0087ef1ec: c04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ef1f0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ef1f4: c190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ef1f8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ef1fc: 02008052  mov	w2, #0
0xfffffff0087ef200: cc0fed97  bl	#0xfffffff008333130
0xfffffff0087ef204: f50316aa  mov	x21, x22
0xfffffff0087ef208: d9ffff17  b	#0xfffffff0087ef16c
0xfffffff0087ef20c: e8130394  bl	#0xfffffff0088b41ac
0xfffffff0087ef210: f40300aa  mov	x20, x0
0xfffffff0087ef214: e0008052  mov	w0, #7
0xfffffff0087ef218: 8e310294  bl	#0xfffffff00887b850
0xfffffff0087ef21c: 48334179  ldrh	w8, [x26, #0x98]
0xfffffff0087ef220: 49374179  ldrh	w9, [x26, #0x9a]
0xfffffff0087ef224: 6a1a40b9  ldr	w10, [x19, #0x18]
0xfffffff0087ef228: 6b5b40b9  ldr	w11, [x27, #0x58]
0xfffffff0087ef22c: cc0240b9  ldr	w12, [x22]
0xfffffff0087ef230: 8d0340b9  ldr	w13, [x28]
0xfffffff0087ef234: e8a705a9  stp	x8, x9, [sp, #0x58]
0xfffffff0087ef238: ecb704a9  stp	x12, x13, [sp, #0x48]
0xfffffff0087ef23c: fbaf03a9  stp	x27, x11, [sp, #0x38]
0xfffffff0087ef240: f3ab02a9  stp	x19, x10, [sp, #0x28]
0xfffffff0087ef244: 48358052  mov	w8, #0x1aa
0xfffffff0087ef248: e81300f9  str	x8, [sp, #0x20]
0xfffffff0087ef24c: 2851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087ef250: 08851091  add	x8, x8, #0x421
0xfffffff0087ef254: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ef258: 080f8052  mov	w8, #0x78
0xfffffff0087ef25c: 8352ff90  adrp	x3, #0xfffffff00723f000
0xfffffff0087ef260: 63683e91  add	x3, x3, #0xf9a
0xfffffff0087ef264: f42300a9  stp	x20, x8, [sp]
0xfffffff0087ef268: c04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ef26c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ef270: c190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ef274: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ef278: 02008052  mov	w2, #0
0xfffffff0087ef27c: ad0fed97  bl	#0xfffffff008333130
0xfffffff0087ef280: 289f40b9  ldr	w8, [x25, #0x9c]
0xfffffff0087ef284: 1f010071  cmp	w8, #0
0xfffffff0087ef288: e8d79f1a  cset	w8, gt
0xfffffff0087ef28c: 48770239  strb	w8, [x26, #0x9d]
0xfffffff0087ef290: 280340b9  ldr	w8, [x25]
0xfffffff0087ef294: 1f050071  cmp	w8, #1
0xfffffff0087ef298: 21010054  b.ne	#0xfffffff0087ef2bc
0xfffffff0087ef29c: e8ce4491  add	x8, x23, #0x133, lsl #12
0xfffffff0087ef2a0: 08811891  add	x8, x8, #0x620
0xfffffff0087ef2a4: 09014039  ldrb	w9, [x8]
0xfffffff0087ef2a8: e9000034  cbz	w9, #0xfffffff0087ef2c4
0xfffffff0087ef2ac: 0a054039  ldrb	w10, [x8, #1]
0xfffffff0087ef2b0: 5f010071  cmp	w10, #0
0xfffffff0087ef2b4: ea079f1a  cset	w10, ne
0xfffffff0087ef2b8: 04000014  b	#0xfffffff0087ef2c8
0xfffffff0087ef2bc: 15008052  mov	w21, #0
0xfffffff0087ef2c0: abffff17  b	#0xfffffff0087ef16c
0xfffffff0087ef2c4: 0a008052  mov	w10, #0
0xfffffff0087ef2c8: 15008052  mov	w21, #0
0xfffffff0087ef2cc: 4a730239  strb	w10, [x26, #0x9c]
0xfffffff0087ef2d0: 09050039  strb	w9, [x8, #1]
0xfffffff0087ef2d4: a6ffff17  b	#0xfffffff0087ef16c
0xfffffff0087ef2d8: 7f2303d5  pacibsp	
0xfffffff0087ef2dc: ff0303d1  sub	sp, sp, #0xc0
0xfffffff0087ef2e0: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff0087ef2e4: f85f08a9  stp	x24, x23, [sp, #0x80]
