; Candidate 4473
; ADRP+ADD at VM 0xfffffff0087b3cac (fileoff 0x17afcac): page=0x1fe97e000 add_imm=0xd90

0xfffffff0087b3c2c: e8020035  cbnz	w8, #0xfffffff0087b3c88
0xfffffff0087b3c30: e30300aa  mov	x3, x0
0xfffffff0087b3c34: 644260b9  ldr	w4, [x19, #0x2040]
0xfffffff0087b3c38: 651a50f9  ldr	x5, [x19, #0x2030]
0xfffffff0087b3c3c: 661e50f9  ldr	x6, [x19, #0x2038]
0xfffffff0087b3c40: e00313aa  mov	x0, x19
0xfffffff0087b3c44: e10317aa  mov	x1, x23
0xfffffff0087b3c48: e20314aa  mov	x2, x20
0xfffffff0087b3c4c: 09a2fe97  bl	#0xfffffff00875c470
0xfffffff0087b3c50: 1f040031  cmn	w0, #1
0xfffffff0087b3c54: e87f8052  mov	w8, #0x3ff
0xfffffff0087b3c58: 0801801a  csel	w8, w8, w0, eq
0xfffffff0087b3c5c: 69be46f9  ldr	x9, [x19, #0xd78]
0xfffffff0087b3c60: 0ac18052  mov	w10, #0x608
0xfffffff0087b3c64: a9260a9b  madd	x9, x21, x10, x9
0xfffffff0087b3c68: 28010c79  strh	w8, [x9, #0x600]
0xfffffff0087b3c6c: 685e4bb9  ldr	w8, [x19, #0xb5c]
0xfffffff0087b3c70: 69b24bb9  ldr	w9, [x19, #0xbb0]
0xfffffff0087b3c74: 2a011032  orr	w10, w9, #0x10000
0xfffffff0087b3c78: 29790a12  and	w9, w9, #0xffdfffff
0xfffffff0087b3c7c: 1f010071  cmp	w8, #0
0xfffffff0087b3c80: 28018a1a  csel	w8, w9, w10, eq
0xfffffff0087b3c84: 68b20bb9  str	w8, [x19, #0xbb0]
0xfffffff0087b3c88: 080340b9  ldr	w8, [x24]
0xfffffff0087b3c8c: fb7340f9  ldr	x27, [sp, #0xe0]
0xfffffff0087b3c90: e8020035  cbnz	w8, #0xfffffff0087b3cec
0xfffffff0087b3c94: e87b40f9  ldr	x8, [sp, #0xf0]
0xfffffff0087b3c98: a8010034  cbz	w8, #0xfffffff0087b3ccc
0xfffffff0087b3c9c: 099d8052  mov	w9, #0x4e8
0xfffffff0087b3ca0: e84cffd0  adrp	x8, #0xfffffff007151000
0xfffffff0087b3ca4: 08491591  add	x8, x8, #0x552
0xfffffff0087b3ca8: e82700a9  stp	x8, x9, [sp]
0xfffffff0087b3cac: e04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087b3cb0: 00403691  add	x0, x0, #0xd90
0xfffffff0087b3cb4: 4192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b3cb8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b3cbc: 02008052  mov	w2, #0
0xfffffff0087b3cc0: c34cffb0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b3cc4: 63880b91  add	x3, x3, #0x2e2
0xfffffff0087b3cc8: 1afded97  bl	#0xfffffff008333130
0xfffffff0087b3ccc: e1230491  add	x1, sp, #0x108
0xfffffff0087b3cd0: e00313aa  mov	x0, x19
0xfffffff0087b3cd4: e2031baa  mov	x2, x27
0xfffffff0087b3cd8: e30318aa  mov	x3, x24
0xfffffff0087b3cdc: e46b40f9  ldr	x4, [sp, #0xd0]
0xfffffff0087b3ce0: 05008052  mov	w5, #0
0xfffffff0087b3ce4: 89040094  bl	#0xfffffff0087b4f08
0xfffffff0087b3ce8: 7fbe0eb9  str	wzr, [x19, #0xebc]
0xfffffff0087b3cec: 7a5b1891  add	x26, x27, #0x616
0xfffffff0087b3cf0: 7b631891  add	x27, x27, #0x618
0xfffffff0087b3cf4: 604e46f9  ldr	x0, [x19, #0xc98]
0xfffffff0087b3cf8: 68c246f9  ldr	x8, [x19, #0xd80]
0xfffffff0087b3cfc: 09bc8652  mov	w9, #0x35e0
0xfffffff0087b3d00: b57e099b  mul	x21, x21, x9
0xfffffff0087b3d04: 0201158b  add	x2, x8, x21
0xfffffff0087b3d08: e10318aa  mov	x1, x24
0xfffffff0087b3d0c: f86b40f9  ldr	x24, [sp, #0xd0]
0xfffffff0087b3d10: e30318aa  mov	x3, x24
0xfffffff0087b3d14: 265afe97  bl	#0xfffffff00874a5ac
0xfffffff0087b3d18: 604e46f9  ldr	x0, [x19, #0xc98]
0xfffffff0087b3d1c: 68c246f9  ldr	x8, [x19, #0xd80]
0xfffffff0087b3d20: 0101158b  add	x1, x8, x21
0xfffffff0087b3d24: e20318aa  mov	x2, x24
0xfffffff0087b3d28: 445dfe97  bl	#0xfffffff00874b238
