; Candidate 6290
; ADRP+ADD at VM 0xfffffff00881f9a8 (fileoff 0x181b9a8): page=0x1fe9ca000 add_imm=0xe80

0xfffffff00881f928: e96828b8  str	w9, [x7, x8]
0xfffffff00881f92c: e82341f9  ldr	x8, [sp, #0x240]
0xfffffff00881f930: e82401b9  str	w8, [x7, #0x124]
0xfffffff00881f934: ea2801b9  str	w10, [x7, #0x128]
0xfffffff00881f938: e89740b9  ldr	w8, [sp, #0x94]
0xfffffff00881f93c: e8340fb9  str	w8, [x7, #0xf34]
0xfffffff00881f940: e83241b9  ldr	w8, [x23, #0x130]
0xfffffff00881f944: 1f1d0071  cmp	w8, #7
0xfffffff00881f948: 20040054  b.eq	#0xfffffff00881f9cc
0xfffffff00881f94c: 1f0d0071  cmp	w8, #3
0xfffffff00881f950: c1040054  b.ne	#0xfffffff00881f9e8
0xfffffff00881f954: 48008052  mov	w8, #2
0xfffffff00881f958: e8480fb9  str	w8, [x7, #0xf48]
0xfffffff00881f95c: e80240b9  ldr	w8, [x23]
0xfffffff00881f960: 1e000014  b	#0xfffffff00881f9d8
0xfffffff00881f964: 12520294  bl	#0xfffffff0088b41ac
0xfffffff00881f968: f60300aa  mov	x22, x0
0xfffffff00881f96c: 80008052  mov	w0, #4
0xfffffff00881f970: b86f0194  bl	#0xfffffff00887b850
0xfffffff00881f974: e80315aa  mov	x8, x21
0xfffffff00881f978: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881f97c: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff00881f980: 884fffb0  adrp	x8, #0xfffffff007210000
0xfffffff00881f984: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881f988: 09c58152  mov	w9, #0xe28
0xfffffff00881f98c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881f990: 0850ffb0  adrp	x8, #0xfffffff007220000
0xfffffff00881f994: 08e90491  add	x8, x8, #0x13a
0xfffffff00881f998: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881f99c: a80e8052  mov	w8, #0x75
0xfffffff00881f9a0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881f9a4: f60300f9  str	x22, [sp]
0xfffffff00881f9a8: 404effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881f9ac: 00003a91  add	x0, x0, #0xe80
0xfffffff00881f9b0: 418fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881f9b4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881f9b8: 4351fff0  adrp	x3, #0xfffffff00724a000
0xfffffff00881f9bc: 63fc1a91  add	x3, x3, #0x6bf
0xfffffff00881f9c0: 02008052  mov	w2, #0
0xfffffff00881f9c4: db4dec97  bl	#0xfffffff008333130
0xfffffff00881f9c8: a1ffff17  b	#0xfffffff00881f84c
0xfffffff00881f9cc: 68008052  mov	w8, #3
0xfffffff00881f9d0: e8480fb9  str	w8, [x7, #0xf48]
0xfffffff00881f9d4: e80640b9  ldr	w8, [x23, #4]
0xfffffff00881f9d8: 1f090071  cmp	w8, #2
0xfffffff00881f9dc: cb000054  b.lt	#0xfffffff00881f9f4
0xfffffff00881f9e0: e89340b9  ldr	w8, [sp, #0x90]
0xfffffff00881f9e4: 0b000014  b	#0xfffffff00881fa10
0xfffffff00881f9e8: 08008052  mov	w8, #0
0xfffffff00881f9ec: ff480fb9  str	wzr, [x7, #0xf48]
0xfffffff00881f9f0: 08000014  b	#0xfffffff00881fa10
0xfffffff00881f9f4: 1f050071  cmp	w8, #1
0xfffffff00881f9f8: a1000054  b.ne	#0xfffffff00881fa0c
0xfffffff00881f9fc: e89340b9  ldr	w8, [sp, #0x90]
0xfffffff00881fa00: 1f050071  cmp	w8, #1
0xfffffff00881fa04: e8d79f1a  cset	w8, gt
0xfffffff00881fa08: 02000014  b	#0xfffffff00881fa10
0xfffffff00881fa0c: 08008052  mov	w8, #0
0xfffffff00881fa10: e83c0fb9  str	w8, [x7, #0xf3c]
0xfffffff00881fa14: e89340b9  ldr	w8, [sp, #0x90]
0xfffffff00881fa18: e9ab41b9  ldr	w9, [sp, #0x1a8]
0xfffffff00881fa1c: e8400fb9  str	w8, [x7, #0xf40]
0xfffffff00881fa20: e84b42b9  ldr	w8, [sp, #0x248]
0xfffffff00881fa24: e8440fb9  str	w8, [x7, #0xf44]
