; Candidate 1093
; ADRP+ADD at VM 0xfffffff0081f84f0 (fileoff 0x11f44f0): page=0x1fd3000 add_imm=0xd24

0xfffffff0081f8470: 41010054  b.ne	#0xfffffff0081f8498
0xfffffff0081f8474: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff0081f8478: 48330db9  str	w8, [x26, #0xd30]
0xfffffff0081f847c: 6803170b  add	w8, w27, w23
0xfffffff0081f8480: a90640b9  ldr	w9, [x21, #4]
0xfffffff0081f8484: 1f01096b  cmp	w8, w9
0xfffffff0081f8488: 1bb19f1a  csel	w27, w8, wzr, lt
0xfffffff0081f848c: bb0e00b9  str	w27, [x21, #0xc]
0xfffffff0081f8490: d3fbffb5  cbnz	x19, #0xfffffff0081f8408
0xfffffff0081f8494: 06000014  b	#0xfffffff0081f84ac
0xfffffff0081f8498: 017d1853  lsr	w1, w8, #0x18
0xfffffff0081f849c: e00316aa  mov	x0, x22
0xfffffff0081f84a0: e20314aa  mov	x2, x20
0xfffffff0081f84a4: 61dbee97  bl	#0xfffffff007daf228
0xfffffff0081f84a8: f5ffff17  b	#0xfffffff0081f847c
0xfffffff0081f84ac: 18008052  mov	w24, #0
0xfffffff0081f84b0: 02000014  b	#0xfffffff0081f84b8
0xfffffff0081f84b4: 78048052  mov	w24, #0x23
0xfffffff0081f84b8: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f84bc: 00903491  add	x0, x0, #0xd24
0xfffffff0081f84c0: 0ddcee97  bl	#0xfffffff007daf4f4
0xfffffff0081f84c4: e00318aa  mov	x0, x24
0xfffffff0081f84c8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0081f84cc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0081f84d0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0081f84d4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0081f84d8: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0081f84dc: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff0081f84e0: ff0f5fd6  retab	
0xfffffff0081f84e4: f80300aa  mov	x24, x0
0xfffffff0081f84e8: f7ffff17  b	#0xfffffff0081f84c4
0xfffffff0081f84ec: 017d1853  lsr	w1, w8, #0x18
0xfffffff0081f84f0: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f84f4: 00903491  add	x0, x0, #0xd24
0xfffffff0081f84f8: e20314aa  mov	x2, x20
0xfffffff0081f84fc: 4bdbee97  bl	#0xfffffff007daf228
0xfffffff0081f8500: 8cffff17  b	#0xfffffff0081f8330
0xfffffff0081f8504: 7f2303d5  pacibsp	
0xfffffff0081f8508: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0081f850c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0081f8510: fd430091  add	x29, sp, #0x10
0xfffffff0081f8514: 3f040071  cmp	w1, #1
0xfffffff0081f8518: 61030054  b.ne	#0xfffffff0081f8584
0xfffffff0081f851c: f30302aa  mov	x19, x2
0xfffffff0081f8520: 82d038d5  mrs	x2, tpidr_el1
0xfffffff0081f8524: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff0081f8528: 08050011  add	w8, w8, #1
0xfffffff0081f852c: 484801b9  str	w8, [x2, #0x148]
0xfffffff0081f8530: 88fe00f0  adrp	x8, #0xfffffff00a1cb000
0xfffffff0081f8534: 08b13491  add	x8, x8, #0xd2c
0xfffffff0081f8538: 0920a052  mov	w9, #0x1000000
0xfffffff0081f853c: 0801a9b8  ldadda	w9, w8, [x8]
0xfffffff0081f8540: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f8544: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f8548: 21030054  b.ne	#0xfffffff0081f85ac
0xfffffff0081f854c: 481844b9  ldr	w8, [x2, #0x418]
0xfffffff0081f8550: 89fe00f0  adrp	x9, #0xfffffff00a1cb000
0xfffffff0081f8554: 28310db9  str	w8, [x9, #0xd30]
0xfffffff0081f8558: e80001d0  adrp	x8, #0xfffffff00a216000
0xfffffff0081f855c: 086545f9  ldr	x8, [x8, #0xac8]
0xfffffff0081f8560: 08254129  ldp	w8, w9, [x8, #8]
0xfffffff0081f8564: 3f01086b  cmp	w9, w8
0xfffffff0081f8568: 21010054  b.ne	#0xfffffff0081f858c
0xfffffff0081f856c: e10001d0  adrp	x1, #0xfffffff00a216000
