; Candidate 14308
; ADRP+ADD at VM 0xfffffff00976285c (fileoff 0x275e85c): page=0xc29000 add_imm=0xea8

0xfffffff0097627dc: 5542af97  bl	#0xfffffff008333130
0xfffffff0097627e0: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0097627e4: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0097627e8: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0097627ec: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0097627f0: ffc30191  add	sp, sp, #0x70
0xfffffff0097627f4: ff0f5fd6  retab	
0xfffffff0097627f8: 7f2303d5  pacibsp	
0xfffffff0097627fc: ff0305d1  sub	sp, sp, #0x140
0xfffffff009762800: e9230d6d  stp	d9, d8, [sp, #0xd0]
0xfffffff009762804: fc6f0ea9  stp	x28, x27, [sp, #0xe0]
0xfffffff009762808: fa670fa9  stp	x26, x25, [sp, #0xf0]
0xfffffff00976280c: f85f10a9  stp	x24, x23, [sp, #0x100]
0xfffffff009762810: f65711a9  stp	x22, x21, [sp, #0x110]
0xfffffff009762814: f44f12a9  stp	x20, x19, [sp, #0x120]
0xfffffff009762818: fd7b13a9  stp	x29, x30, [sp, #0x130]
0xfffffff00976281c: fdc30491  add	x29, sp, #0x130
0xfffffff009762820: f40302aa  mov	x20, x2
0xfffffff009762824: f50301aa  mov	x21, x1
0xfffffff009762828: f30300aa  mov	x19, x0
0xfffffff00976282c: e8230291  add	x8, sp, #0x88
0xfffffff009762830: ffa308a9  stp	xzr, x8, [sp, #0x88]
0xfffffff009762834: 48f2feb0  adrp	x8, #0xfffffff0075ab000
0xfffffff009762838: 007145fd  ldr	d0, [x8, #0xae0]
0xfffffff00976283c: e04f00fd  str	d0, [sp, #0x98]
0xfffffff009762840: ff830239  strb	wzr, [sp, #0xa0]
0xfffffff009762844: c825fff0  adrp	x8, #0xfffffff007c1d000
0xfffffff009762848: 08a12691  add	x8, x8, #0x9a8
0xfffffff00976284c: 010140f9  ldr	x1, [x8]
0xfffffff009762850: e00315aa  mov	x0, x21
0xfffffff009762854: 2805ae97  bl	#0xfffffff0082e3cf4
0xfffffff009762858: 001b00b4  cbz	x0, #0xfffffff009762bb8
0xfffffff00976285c: 406100b0  adrp	x0, #0xfffffff00a38b000
0xfffffff009762860: 00a03a91  add	x0, x0, #0xea8
0xfffffff009762864: 3d08ae97  bl	#0xfffffff0082e4958
0xfffffff009762868: e00313aa  mov	x0, x19
0xfffffff00976286c: 7c18fd97  bl	#0xfffffff0096a8a5c
0xfffffff009762870: c00100b5  cbnz	x0, #0xfffffff0097628a8
0xfffffff009762874: 700240f9  ldr	x16, [x19]
0xfffffff009762878: f10313aa  mov	x17, x19
0xfffffff00976287c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009762880: 301ac1da  autda	x16, x17
0xfffffff009762884: 113d80d2  mov	x17, #0x1e8
0xfffffff009762888: 1002118b  add	x16, x16, x17
0xfffffff00976288c: 080240f9  ldr	x8, [x16]
0xfffffff009762890: e90310aa  mov	x9, x16
0xfffffff009762894: e00313aa  mov	x0, x19
0xfffffff009762898: 010080d2  mov	x1, #0
0xfffffff00976289c: f10309aa  mov	x17, x9
0xfffffff0097628a0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097628a4: 11093fd7  blraa	x8, x17
0xfffffff0097628a8: e00313aa  mov	x0, x19
0xfffffff0097628ac: 6c18fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097628b0: e00313aa  mov	x0, x19
0xfffffff0097628b4: 6a18fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097628b8: c00100b5  cbnz	x0, #0xfffffff0097628f0
0xfffffff0097628bc: 700240f9  ldr	x16, [x19]
0xfffffff0097628c0: f10313aa  mov	x17, x19
0xfffffff0097628c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097628c8: 301ac1da  autda	x16, x17
0xfffffff0097628cc: 114380d2  mov	x17, #0x218
0xfffffff0097628d0: 1002118b  add	x16, x16, x17
0xfffffff0097628d4: 080240f9  ldr	x8, [x16]
0xfffffff0097628d8: e90310aa  mov	x9, x16
