; Candidate 7734
; ADRP+ADD at VM 0xfffffff00887bf14 (fileoff 0x1877f14): page=0x1fe96e000 add_imm=0xe80

0xfffffff00887be94: ff830291  add	sp, sp, #0xa0
0xfffffff00887be98: ff0f5fd6  retab	
0xfffffff00887be9c: 7f2303d5  pacibsp	
0xfffffff00887bea0: ff4302d1  sub	sp, sp, #0x90
0xfffffff00887bea4: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff00887bea8: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00887beac: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00887beb0: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00887beb4: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00887beb8: fd030291  add	x29, sp, #0x80
0xfffffff00887bebc: f50302aa  mov	x21, x2
0xfffffff00887bec0: f40301aa  mov	x20, x1
0xfffffff00887bec4: f30300aa  mov	x19, x0
0xfffffff00887bec8: f7d200f0  adrp	x23, #0xfffffff00a2da000
0xfffffff00887becc: e8e27c39  ldrb	w8, [x23, #0xf38]
0xfffffff00887bed0: 08091f12  and	w8, w8, #0xe
0xfffffff00887bed4: 1f190071  cmp	w8, #6
0xfffffff00887bed8: a3040054  b.lo	#0xfffffff00887bf6c
0xfffffff00887bedc: f6e27c39  ldrb	w22, [x23, #0xf38]
0xfffffff00887bee0: b3e00094  bl	#0xfffffff0088b41ac
0xfffffff00887bee4: b6022037  tbnz	w22, #4, #0xfffffff00887bf38
0xfffffff00887bee8: b1e00094  bl	#0xfffffff0088b41ac
0xfffffff00887beec: e80315aa  mov	x8, x21
0xfffffff00887bef0: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff00887bef4: 884dff90  adrp	x8, #0xfffffff00722b000
0xfffffff00887bef8: 08713f91  add	x8, x8, #0xfdc
0xfffffff00887befc: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887bf00: 894dffb0  adrp	x9, #0xfffffff00722c000
0xfffffff00887bf04: 29a90291  add	x9, x9, #0xaa
0xfffffff00887bf08: 08088052  mov	w8, #0x40
0xfffffff00887bf0c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00887bf10: e00300f9  str	x0, [sp]
0xfffffff00887bf14: 604bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887bf18: 00003a91  add	x0, x0, #0xe80
0xfffffff00887bf1c: 618cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887bf20: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887bf24: e34efff0  adrp	x3, #0xfffffff00725a000
0xfffffff00887bf28: 63e03191  add	x3, x3, #0xc78
0xfffffff00887bf2c: 02008052  mov	w2, #0
0xfffffff00887bf30: 80dcea97  bl	#0xfffffff008333130
0xfffffff00887bf34: 0e000014  b	#0xfffffff00887bf6c
0xfffffff00887bf38: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00887bf3c: 884dff90  adrp	x8, #0xfffffff00722b000
0xfffffff00887bf40: 08713f91  add	x8, x8, #0xfdc
0xfffffff00887bf44: 894dffb0  adrp	x9, #0xfffffff00722c000
0xfffffff00887bf48: 2aa90291  add	x10, x9, #0xaa
0xfffffff00887bf4c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887bf50: 09088052  mov	w9, #0x40
0xfffffff00887bf54: 884dff90  adrp	x8, #0xfffffff00722b000
0xfffffff00887bf58: 08dd3e91  add	x8, x8, #0xfb7
0xfffffff00887bf5c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00887bf60: e00300f9  str	x0, [sp]
0xfffffff00887bf64: e00308aa  mov	x0, x8
0xfffffff00887bf68: 3eedd497  bl	#0xfffffff007db7460
0xfffffff00887bf6c: e8e27c39  ldrb	w8, [x23, #0xf38]
0xfffffff00887bf70: 080d0012  and	w8, w8, #0xf
0xfffffff00887bf74: f8d200f0  adrp	x24, #0xfffffff00a2da000
0xfffffff00887bf78: 1f1d0071  cmp	w8, #7
0xfffffff00887bf7c: 63050054  b.lo	#0xfffffff00887c028
0xfffffff00887bf80: fae27c39  ldrb	w26, [x23, #0xf38]
0xfffffff00887bf84: 8ae00094  bl	#0xfffffff0088b41ac
0xfffffff00887bf88: f60300aa  mov	x22, x0
0xfffffff00887bf8c: 19df47f9  ldr	x25, [x24, #0xfb8]
0xfffffff00887bf90: 9ae00094  bl	#0xfffffff0088b41f8
