; Candidate 1821
; ADRP+ADD at VM 0xfffffff00853314c (fileoff 0x152f14c): page=0x1febae000 add_imm=0xe53

0xfffffff0085330cc: 1ac8f697  bl	#0xfffffff0082e5134
0xfffffff0085330d0: e00313aa  mov	x0, x19
0xfffffff0085330d4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085330d8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085330dc: ff0f5fd6  retab	
0xfffffff0085330e0: 5f2403d5  bti	c
0xfffffff0085330e4: 84c5f617  b	#0xfffffff0082e46f4
0xfffffff0085330e8: 5f2403d5  bti	c
0xfffffff0085330ec: 82c5f617  b	#0xfffffff0082e46f4
0xfffffff0085330f0: 7f2303d5  pacibsp	
0xfffffff0085330f4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0085330f8: fd030091  mov	x29, sp
0xfffffff0085330fc: 605dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008533100: 00603791  add	x0, x0, #0xdd8
0xfffffff008533104: 4dd8f797  bl	#0xfffffff008329238
0xfffffff008533108: 08ed00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853310c: 00c902f9  str	x0, [x8, #0x590]
0xfffffff008533110: 605dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008533114: 00083891  add	x0, x0, #0xe02
0xfffffff008533118: 48d8f797  bl	#0xfffffff008329238
0xfffffff00853311c: 08ed00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008533120: 00cd02f9  str	x0, [x8, #0x598]
0xfffffff008533124: 605dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008533128: 00883891  add	x0, x0, #0xe22
0xfffffff00853312c: 43d8f797  bl	#0xfffffff008329238
0xfffffff008533130: 08ed00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008533134: 00d102f9  str	x0, [x8, #0x5a0]
0xfffffff008533138: 605dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853313c: 00e43891  add	x0, x0, #0xe39
0xfffffff008533140: 3ed8f797  bl	#0xfffffff008329238
0xfffffff008533144: 08ed00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008533148: 00d502f9  str	x0, [x8, #0x5a8]
0xfffffff00853314c: 605dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008533150: 004c3991  add	x0, x0, #0xe53
0xfffffff008533154: 39d8f797  bl	#0xfffffff008329238
0xfffffff008533158: 08ed00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853315c: 00d902f9  str	x0, [x8, #0x5b0]
0xfffffff008533160: 605dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008533164: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008533168: 34d8f797  bl	#0xfffffff008329238
0xfffffff00853316c: 08ed00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008533170: 00dd02f9  str	x0, [x8, #0x5b8]
0xfffffff008533174: 00ed00d0  adrp	x0, #0xfffffff00a2d5000
0xfffffff008533178: 00001991  add	x0, x0, #0x640
0xfffffff00853317c: 415dffd0  adrp	x1, #0xfffffff0070dd000
0xfffffff008533180: 21501491  add	x1, x1, #0x514
0xfffffff008533184: 02ed00d0  adrp	x2, #0xfffffff00a2d5000
0xfffffff008533188: 42001791  add	x2, x2, #0x5c0
0xfffffff00853318c: 034b8352  mov	w3, #0x1a58
0xfffffff008533190: 6ac2f697  bl	#0xfffffff0082e3b38
0xfffffff008533194: 30a3fff0  adrp	x16, #0xfffffff00799a000
0xfffffff008533198: 10820d91  add	x16, x16, #0x360
0xfffffff00853319c: 10420091  add	x16, x16, #0x10
0xfffffff0085331a0: f10300aa  mov	x17, x0
0xfffffff0085331a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085331a8: 300ac1da  pacda	x16, x17
0xfffffff0085331ac: 100000f9  str	x16, [x0]
0xfffffff0085331b0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085331b4: ff0f5fd6  retab	
0xfffffff0085331b8: 5f2403d5  bti	c
0xfffffff0085331bc: 00ed00d0  adrp	x0, #0xfffffff00a2d5000
0xfffffff0085331c0: 00001991  add	x0, x0, #0x640
0xfffffff0085331c4: 4cc5f617  b	#0xfffffff0082e46f4
0xfffffff0085331c8: 5f2403d5  bti	c
