; Candidate 8851
; ADRP+ADD at VM 0xfffffff0088deec0 (fileoff 0x18daec0): page=0x1fe98d000 add_imm=0xd1d

0xfffffff0088dee40: 900240f9  ldr	x16, [x20]
0xfffffff0088dee44: f10314aa  mov	x17, x20
0xfffffff0088dee48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088dee4c: 301ac1da  autda	x16, x17
0xfffffff0088dee50: 116e80d2  mov	x17, #0x370
0xfffffff0088dee54: 1002118b  add	x16, x16, x17
0xfffffff0088dee58: 080240f9  ldr	x8, [x16]
0xfffffff0088dee5c: e90310aa  mov	x9, x16
0xfffffff0088dee60: e00314aa  mov	x0, x20
0xfffffff0088dee64: f10309aa  mov	x17, x9
0xfffffff0088dee68: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0088dee6c: 11093fd7  blraa	x8, x17
0xfffffff0088dee70: 100040f9  ldr	x16, [x0]
0xfffffff0088dee74: f10300aa  mov	x17, x0
0xfffffff0088dee78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088dee7c: 301ac1da  autda	x16, x17
0xfffffff0088dee80: 113d80d2  mov	x17, #0x1e8
0xfffffff0088dee84: 1002118b  add	x16, x16, x17
0xfffffff0088dee88: 080240f9  ldr	x8, [x16]
0xfffffff0088dee8c: e90310aa  mov	x9, x16
0xfffffff0088dee90: 010080d2  mov	x1, #0
0xfffffff0088dee94: f10309aa  mov	x17, x9
0xfffffff0088dee98: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088dee9c: 11093fd7  blraa	x8, x17
0xfffffff0088deea0: 03000014  b	#0xfffffff0088deeac
0xfffffff0088deea4: 604cff90  adrp	x0, #0xfffffff00726a000
0xfffffff0088deea8: 00d02d91  add	x0, x0, #0xb74
0xfffffff0088deeac: 881a4179  ldrh	w8, [x20, #0x8c]
0xfffffff0088deeb0: 694cff90  adrp	x9, #0xfffffff00726a000
0xfffffff0088deeb4: 29b92d91  add	x9, x9, #0xb6e
0xfffffff0088deeb8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088deebc: f52700a9  stp	x21, x9, [sp]
0xfffffff0088deec0: 604cffb0  adrp	x0, #0xfffffff00726b000
0xfffffff0088deec4: 00743491  add	x0, x0, #0xd1d
0xfffffff0088deec8: 56e0e997  bl	#0xfffffff008357020
0xfffffff0088deecc: e00313aa  mov	x0, x19
0xfffffff0088deed0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0088deed4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0088deed8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0088deedc: ff830191  add	sp, sp, #0x60
0xfffffff0088deee0: ff0f5fd6  retab	
0xfffffff0088deee4: 7f2303d5  pacibsp	
0xfffffff0088deee8: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088deeec: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088deef0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088deef4: fd030191  add	x29, sp, #0x40
0xfffffff0088deef8: f30300aa  mov	x19, x0
0xfffffff0088deefc: 100040f9  ldr	x16, [x0]
0xfffffff0088def00: f10300aa  mov	x17, x0
0xfffffff0088def04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088def08: 301ac1da  autda	x16, x17
0xfffffff0088def0c: 112380d2  mov	x17, #0x118
0xfffffff0088def10: 1002118b  add	x16, x16, x17
0xfffffff0088def14: 080240f9  ldr	x8, [x16]
0xfffffff0088def18: e90310aa  mov	x9, x16
0xfffffff0088def1c: 614cff90  adrp	x1, #0xfffffff00726a000
0xfffffff0088def20: 21d43e91  add	x1, x1, #0xfb5
0xfffffff0088def24: f10309aa  mov	x17, x9
0xfffffff0088def28: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff0088def2c: 11093fd7  blraa	x8, x17
0xfffffff0088def30: 8889fff0  adrp	x8, #0xfffffff007a11000
0xfffffff0088def34: 08f546f9  ldr	x8, [x8, #0xde8]
0xfffffff0088def38: 010140f9  ldr	x1, [x8]
0xfffffff0088def3c: 6e13e897  bl	#0xfffffff0082e3cf4
