; Candidate 12459
; ADRP+ADD at VM 0xfffffff0090a4884 (fileoff 0x20a0884): page=0x1fe3b5000 add_imm=0xe24

0xfffffff0090a4804: 00583191  add	x0, x0, #0xc56
0xfffffff0090a4808: 06caca97  bl	#0xfffffff008357020
0xfffffff0090a480c: 2855ffb0  adrp	x8, #0xfffffff007b49000
0xfffffff0090a4810: 08413791  add	x8, x8, #0xdd0
0xfffffff0090a4814: 090d4cf8  ldr	x9, [x8, #0xc0]!
0xfffffff0090a4818: e00314aa  mov	x0, x20
0xfffffff0090a481c: e10315aa  mov	x1, x21
0xfffffff0090a4820: f10308aa  mov	x17, x8
0xfffffff0090a4824: 517eeff2  movk	x17, #0x7bf2, lsl #48
0xfffffff0090a4828: 31093fd7  blraa	x9, x17
0xfffffff0090a482c: e0030035  cbnz	w0, #0xfffffff0090a48a8
0xfffffff0090a4830: 883a42f9  ldr	x8, [x20, #0x470]
0xfffffff0090a4834: 1f0115eb  cmp	x8, x21
0xfffffff0090a4838: 60000054  b.eq	#0xfffffff0090a4844
0xfffffff0090a483c: 13008052  mov	w19, #0
0xfffffff0090a4840: 05000014  b	#0xfffffff0090a4854
0xfffffff0090a4844: e00314aa  mov	x0, x20
0xfffffff0090a4848: 2dfdff97  bl	#0xfffffff0090a3cfc
0xfffffff0090a484c: f30300aa  mov	x19, x0
0xfffffff0090a4850: 20030035  cbnz	w0, #0xfffffff0090a48b4
0xfffffff0090a4854: 48018052  mov	w8, #0xa
0xfffffff0090a4858: c9024039  ldrb	w9, [x22]
0xfffffff0090a485c: 1f01096b  cmp	w8, w9
0xfffffff0090a4860: 83010054  b.lo	#0xfffffff0090a4890
0xfffffff0090a4864: e80313aa  mov	x8, x19
0xfffffff0090a4868: 087d4093  sxtw	x8, w8
0xfffffff0090a486c: a91dfff0  adrp	x9, #0xfffffff00745b000
0xfffffff0090a4870: 29912f91  add	x9, x9, #0xbe4
0xfffffff0090a4874: ea1dffd0  adrp	x10, #0xfffffff007462000
0xfffffff0090a4878: 4ac13691  add	x10, x10, #0xdb0
0xfffffff0090a487c: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090a4880: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090a4884: a01dffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090a4888: 00903891  add	x0, x0, #0xe24
0xfffffff0090a488c: e5c9ca97  bl	#0xfffffff008357020
0xfffffff0090a4890: e00313aa  mov	x0, x19
0xfffffff0090a4894: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0090a4898: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0090a489c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0090a48a0: ff830191  add	sp, sp, #0x60
0xfffffff0090a48a4: ff0f5fd6  retab	
0xfffffff0090a48a8: f30300aa  mov	x19, x0
0xfffffff0090a48ac: 08348052  mov	w8, #0x1a0
0xfffffff0090a48b0: 02000014  b	#0xfffffff0090a48b8
0xfffffff0090a48b4: 88348052  mov	w8, #0x1a4
0xfffffff0090a48b8: 697e4093  sxtw	x9, w19
0xfffffff0090a48bc: ea1dffd0  adrp	x10, #0xfffffff007462000
0xfffffff0090a48c0: 4ae53691  add	x10, x10, #0xdb9
0xfffffff0090a48c4: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff0090a48c8: a81dffb0  adrp	x8, #0xfffffff007459000
0xfffffff0090a48cc: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090a48d0: ab1dffd0  adrp	x11, #0xfffffff00745a000
0xfffffff0090a48d4: 6b290291  add	x11, x11, #0x8a
0xfffffff0090a48d8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0090a48dc: eb0300f9  str	x11, [sp]
0xfffffff0090a48e0: a01dffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090a48e4: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090a48e8: cec9ca97  bl	#0xfffffff008357020
0xfffffff0090a48ec: c8088052  mov	w8, #0x46
0xfffffff0090a48f0: daffff17  b	#0xfffffff0090a4858
0xfffffff0090a48f4: 7f2303d5  pacibsp	
0xfffffff0090a48f8: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff0090a48fc: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff0090a4900: f85f02a9  stp	x24, x23, [sp, #0x20]
