; Candidate 10637
; ADRP+ADD at VM 0xfffffff008de0558 (fileoff 0x1ddc558): page=0x1fe5e4000 add_imm=0xe15

0xfffffff008de04d8: 3f0108eb  cmp	x9, x8
0xfffffff008de04dc: c1040054  b.ne	#0xfffffff008de0574
0xfffffff008de04e0: e00313aa  mov	x0, x19
0xfffffff008de04e4: bf4301d1  sub	sp, x29, #0x50
0xfffffff008de04e8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008de04ec: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008de04f0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008de04f4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008de04f8: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008de04fc: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008de0500: ff0f5fd6  retab	
0xfffffff008de0504: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de0508: 282c8052  mov	w8, #0x161
0xfffffff008de050c: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de0510: 29490d91  add	x9, x9, #0x352
0xfffffff008de0514: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de0518: 282fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de051c: 08493991  add	x8, x8, #0xe52
0xfffffff008de0520: 0a2fffb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de0524: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de0528: 0a000014  b	#0xfffffff008de0550
0xfffffff008de052c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de0530: 482c8052  mov	w8, #0x162
0xfffffff008de0534: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de0538: 29490d91  add	x9, x9, #0x352
0xfffffff008de053c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de0540: 282fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de0544: 08493991  add	x8, x8, #0xe52
0xfffffff008de0548: 0a2fffb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de054c: 4a9d2191  add	x10, x10, #0x867
0xfffffff008de0550: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de0554: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de0558: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de055c: 00543891  add	x0, x0, #0xe15
0xfffffff008de0560: b0dad597  bl	#0xfffffff008357020
0xfffffff008de0564: ffc30091  add	sp, sp, #0x30
0xfffffff008de0568: c8088052  mov	w8, #0x46
0xfffffff008de056c: 53008012  mov	w19, #-3
0xfffffff008de0570: ccffff17  b	#0xfffffff008de04a0
0xfffffff008de0574: 36f6bd97  bl	#0xfffffff007d5de4c
0xfffffff008de0578: 5f2403d5  bti	c
0xfffffff008de057c: a00000b4  cbz	x0, #0xfffffff008de0590
0xfffffff008de0580: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008de0584: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008de058c
0xfffffff008de0588: 208e38d4  brk	#0xc471
0xfffffff008de058c: 8f370014  b	#0xfffffff008dee3c8
0xfffffff008de0590: 7f2303d5  pacibsp	
0xfffffff008de0594: ff0301d1  sub	sp, sp, #0x40
0xfffffff008de0598: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008de059c: fdc30091  add	x29, sp, #0x30
0xfffffff008de05a0: 28308052  mov	w8, #0x181
0xfffffff008de05a4: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de05a8: 29490d91  add	x9, x9, #0x352
0xfffffff008de05ac: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de05b0: 282fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de05b4: 08493991  add	x8, x8, #0xe52
0xfffffff008de05b8: 2a2fff90  adrp	x10, #0xfffffff0073c4000
0xfffffff008de05bc: 4a1d3991  add	x10, x10, #0xe47
0xfffffff008de05c0: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de05c4: ea0300f9  str	x10, [sp]
0xfffffff008de05c8: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de05cc: 00543891  add	x0, x0, #0xe15
0xfffffff008de05d0: 94dad597  bl	#0xfffffff008357020
0xfffffff008de05d4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
