; Candidate 9493
; ADRP+ADD at VM 0xfffffff008a5f820 (fileoff 0x1a5b820): page=0x1fe84e000 add_imm=0xd16

0xfffffff008a5f7a0: 75c24339  ldrb	w21, [x19, #0xf0]
0xfffffff008a5f7a4: 700240f9  ldr	x16, [x19]
0xfffffff008a5f7a8: f10313aa  mov	x17, x19
0xfffffff008a5f7ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a5f7b0: 301ac1da  autda	x16, x17
0xfffffff008a5f7b4: 11ed80d2  mov	x17, #0x768
0xfffffff008a5f7b8: 1002118b  add	x16, x16, x17
0xfffffff008a5f7bc: 080240f9  ldr	x8, [x16]
0xfffffff008a5f7c0: e90310aa  mov	x9, x16
0xfffffff008a5f7c4: e00313aa  mov	x0, x19
0xfffffff008a5f7c8: f10309aa  mov	x17, x9
0xfffffff008a5f7cc: b1b5fcf2  movk	x17, #0xe5ad, lsl #48
0xfffffff008a5f7d0: 11093fd7  blraa	x8, x17
0xfffffff008a5f7d4: f40300aa  mov	x20, x0
0xfffffff008a5f7d8: 767640f9  ldr	x22, [x19, #0xe8]
0xfffffff008a5f7dc: 700240f9  ldr	x16, [x19]
0xfffffff008a5f7e0: f10313aa  mov	x17, x19
0xfffffff008a5f7e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a5f7e8: 301ac1da  autda	x16, x17
0xfffffff008a5f7ec: 115a80d2  mov	x17, #0x2d0
0xfffffff008a5f7f0: 1002118b  add	x16, x16, x17
0xfffffff008a5f7f4: 080240f9  ldr	x8, [x16]
0xfffffff008a5f7f8: e90310aa  mov	x9, x16
0xfffffff008a5f7fc: e00313aa  mov	x0, x19
0xfffffff008a5f800: 010080d2  mov	x1, #0
0xfffffff008a5f804: f10309aa  mov	x17, x9
0xfffffff008a5f808: 719ff9f2  movk	x17, #0xccfb, lsl #48
0xfffffff008a5f80c: 11093fd7  blraa	x8, x17
0xfffffff008a5f810: e803002a  mov	w8, w0
0xfffffff008a5f814: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff008a5f818: e803142a  mov	w8, w20
0xfffffff008a5f81c: f52300a9  stp	x21, x8, [sp]
0xfffffff008a5f820: 6042ffd0  adrp	x0, #0xfffffff0072ad000
0xfffffff008a5f824: 00583491  add	x0, x0, #0xd16
0xfffffff008a5f828: fedde397  bl	#0xfffffff008357020
0xfffffff008a5f82c: 68c24339  ldrb	w8, [x19, #0xf0]
0xfffffff008a5f830: a8050034  cbz	w8, #0xfffffff008a5f8e4
0xfffffff008a5f834: 700240f9  ldr	x16, [x19]
0xfffffff008a5f838: f10313aa  mov	x17, x19
0xfffffff008a5f83c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a5f840: 301ac1da  autda	x16, x17
0xfffffff008a5f844: 11ed80d2  mov	x17, #0x768
0xfffffff008a5f848: 1002118b  add	x16, x16, x17
0xfffffff008a5f84c: 080240f9  ldr	x8, [x16]
0xfffffff008a5f850: e90310aa  mov	x9, x16
0xfffffff008a5f854: e00313aa  mov	x0, x19
0xfffffff008a5f858: f10309aa  mov	x17, x9
0xfffffff008a5f85c: b1b5fcf2  movk	x17, #0xe5ad, lsl #48
0xfffffff008a5f860: 11093fd7  blraa	x8, x17
0xfffffff008a5f864: 20020034  cbz	w0, #0xfffffff008a5f8a8
0xfffffff008a5f868: 687640f9  ldr	x8, [x19, #0xe8]
0xfffffff008a5f86c: 680400b5  cbnz	x8, #0xfffffff008a5f8f8
0xfffffff008a5f870: 700240f9  ldr	x16, [x19]
0xfffffff008a5f874: f10313aa  mov	x17, x19
0xfffffff008a5f878: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a5f87c: 301ac1da  autda	x16, x17
0xfffffff008a5f880: 115a80d2  mov	x17, #0x2d0
0xfffffff008a5f884: 1002118b  add	x16, x16, x17
0xfffffff008a5f888: 080240f9  ldr	x8, [x16]
0xfffffff008a5f88c: e90310aa  mov	x9, x16
0xfffffff008a5f890: e00313aa  mov	x0, x19
0xfffffff008a5f894: 010080d2  mov	x1, #0
0xfffffff008a5f898: f10309aa  mov	x17, x9
0xfffffff008a5f89c: 719ff9f2  movk	x17, #0xccfb, lsl #48
