; Candidate 12632
; ADRP+ADD at VM 0xfffffff0090d2bac (fileoff 0x20cebac): page=0x1fea80000 add_imm=0xea0

0xfffffff0090d2b2c: 68020691  add	x8, x19, #0x180
0xfffffff0090d2b30: 682218a9  stp	x8, x8, [x19, #0x180]
0xfffffff0090d2b34: 7f820639  strb	wzr, [x19, #0x1a0]
0xfffffff0090d2b38: c012ca97  bl	#0xfffffff008357638
0xfffffff0090d2b3c: 60ca00f9  str	x0, [x19, #0x190]
0xfffffff0090d2b40: 62620691  add	x2, x19, #0x198
0xfffffff0090d2b44: 10000090  adrp	x16, #0xfffffff0090d2000
0xfffffff0090d2b48: 10823d91  add	x16, x16, #0xf60
0xfffffff0090d2b4c: f1a09ad2  mov	x17, #0xd507
0xfffffff0090d2b50: 3002c1da  pacia	x16, x17
0xfffffff0090d2b54: e00310aa  mov	x0, x16
0xfffffff0090d2b58: e10313aa  mov	x1, x19
0xfffffff0090d2b5c: 1b5db497  bl	#0xfffffff007de9fc8
0xfffffff0090d2b60: 68ce40f9  ldr	x8, [x19, #0x198]
0xfffffff0090d2b64: c81e00b4  cbz	x8, #0xfffffff0090d2f3c
0xfffffff0090d2b68: 7ffe11a9  stp	xzr, xzr, [x19, #0x118]
0xfffffff0090d2b6c: 08008012  mov	w8, #-1
0xfffffff0090d2b70: 681601b9  str	w8, [x19, #0x114]
0xfffffff0090d2b74: 700240f9  ldr	x16, [x19]
0xfffffff0090d2b78: f10313aa  mov	x17, x19
0xfffffff0090d2b7c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090d2b80: 301ac1da  autda	x16, x17
0xfffffff0090d2b84: 116f80d2  mov	x17, #0x378
0xfffffff0090d2b88: 1002118b  add	x16, x16, x17
0xfffffff0090d2b8c: 080240f9  ldr	x8, [x16]
0xfffffff0090d2b90: e90310aa  mov	x9, x16
0xfffffff0090d2b94: e00313aa  mov	x0, x19
0xfffffff0090d2b98: f10309aa  mov	x17, x9
0xfffffff0090d2b9c: d171ecf2  movk	x17, #0x638e, lsl #48
0xfffffff0090d2ba0: 11093fd7  blraa	x8, x17
0xfffffff0090d2ba4: e69acb97  bl	#0xfffffff0083b973c
0xfffffff0090d2ba8: 60be00f9  str	x0, [x19, #0x178]
0xfffffff0090d2bac: 0054ff90  adrp	x0, #0xfffffff007b52000
0xfffffff0090d2bb0: 00803a91  add	x0, x0, #0xea0
0xfffffff0090d2bb4: 01058052  mov	w1, #0x28
0xfffffff0090d2bb8: a052c897  bl	#0xfffffff0082e7638
0xfffffff0090d2bbc: f40300aa  mov	x20, x0
0xfffffff0090d2bc0: 159200d0  adrp	x21, #0xfffffff00a314000
0xfffffff0090d2bc4: b5e21491  add	x21, x21, #0x538
0xfffffff0090d2bc8: e10315aa  mov	x1, x21
0xfffffff0090d2bcc: d196cb97  bl	#0xfffffff0083b8710
0xfffffff0090d2bd0: f053ffb0  adrp	x16, #0xfffffff007b4f000
0xfffffff0090d2bd4: 10c22591  add	x16, x16, #0x970
0xfffffff0090d2bd8: 10420091  add	x16, x16, #0x10
0xfffffff0090d2bdc: f10300aa  mov	x17, x0
0xfffffff0090d2be0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090d2be4: 300ac1da  pacda	x16, x17
0xfffffff0090d2be8: 100000f9  str	x16, [x0]
0xfffffff0090d2bec: e00315aa  mov	x0, x21
0xfffffff0090d2bf0: 5149c897  bl	#0xfffffff0082e5134
0xfffffff0090d2bf4: 60be40f9  ldr	x0, [x19, #0x178]
0xfffffff0090d2bf8: 100040f9  ldr	x16, [x0]
0xfffffff0090d2bfc: f10300aa  mov	x17, x0
0xfffffff0090d2c00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090d2c04: 301ac1da  autda	x16, x17
0xfffffff0090d2c08: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff0090d2c0c: e90310aa  mov	x9, x16
0xfffffff0090d2c10: e10314aa  mov	x1, x20
0xfffffff0090d2c14: f10309aa  mov	x17, x9
0xfffffff0090d2c18: 7197e7f2  movk	x17, #0x3cbb, lsl #48
0xfffffff0090d2c1c: 11093fd7  blraa	x8, x17
0xfffffff0090d2c20: 7f7e0da9  stp	xzr, xzr, [x19, #0xd0]
0xfffffff0090d2c24: 60c20391  add	x0, x19, #0xf0
0xfffffff0090d2c28: 01018052  mov	w1, #8
