; Candidate 1038
; ADRP+ADD at VM 0xfffffff0081b2758 (fileoff 0x11ae758): page=0x1ff7be000 add_imm=0xd70

0xfffffff0081b26d8: 01008a52  mov	w1, #0x5000
0xfffffff0081b26dc: 82008052  mov	w2, #4
0xfffffff0081b26e0: 030080d2  mov	x3, #0
0xfffffff0081b26e4: 87cfef97  bl	#0xfffffff007da6500
0xfffffff0081b26e8: 200400b4  cbz	x0, #0xfffffff0081b276c
0xfffffff0081b26ec: f54f01a9  stp	x21, x19, [sp, #0x10]
0xfffffff0081b26f0: f3031caa  mov	x19, x28
0xfffffff0081b26f4: f50300aa  mov	x21, x0
0xfffffff0081b26f8: e1c88952  mov	w1, #0x4e47
0xfffffff0081b26fc: 21c8a872  movk	w1, #0x4641, lsl #16
0xfffffff0081b2700: 02008a52  mov	w2, #0x5000
0xfffffff0081b2704: 03008052  mov	w3, #0
0xfffffff0081b2708: 9c9df197  bl	#0xfffffff007e19d78
0xfffffff0081b270c: 600300b4  cbz	x0, #0xfffffff0081b2778
0xfffffff0081b2710: fc0300aa  mov	x28, x0
0xfffffff0081b2714: f50700f9  str	x21, [sp, #8]
0xfffffff0081b2718: e4430291  add	x4, sp, #0x90
0xfffffff0081b271c: e15f8152  mov	w1, #0xaff
0xfffffff0081b2720: 82008052  mov	w2, #4
0xfffffff0081b2724: 83118052  mov	w3, #0x8c
0xfffffff0081b2728: bb9df197  bl	#0xfffffff007e19e14
0xfffffff0081b272c: 80050034  cbz	w0, #0xfffffff0081b27dc
0xfffffff0081b2730: f3bdffb0  adrp	x19, #0xfffffff00796f000
0xfffffff0081b2734: 73221a91  add	x19, x19, #0x688
0xfffffff0081b2738: e00313aa  mov	x0, x19
0xfffffff0081b273c: e10740f9  ldr	x1, [sp, #8]
0xfffffff0081b2740: 02008a52  mov	w2, #0x5000
0xfffffff0081b2744: cad0ef97  bl	#0xfffffff007da6a6c
0xfffffff0081b2748: e00313aa  mov	x0, x19
0xfffffff0081b274c: e10314aa  mov	x1, x20
0xfffffff0081b2750: 02648052  mov	w2, #0x320
0xfffffff0081b2754: c6d0ef97  bl	#0xfffffff007da6a6c
0xfffffff0081b2758: e0bdffd0  adrp	x0, #0xfffffff007970000
0xfffffff0081b275c: 00c03591  add	x0, x0, #0xd70
0xfffffff0081b2760: e1031caa  mov	x1, x28
0xfffffff0081b2764: 2a5df197  bl	#0xfffffff007e09c0c
0xfffffff0081b2768: 0e000014  b	#0xfffffff0081b27a0
0xfffffff0081b276c: e0bdffb0  adrp	x0, #0xfffffff00796f000
0xfffffff0081b2770: 00201a91  add	x0, x0, #0x688
0xfffffff0081b2774: 08000014  b	#0xfffffff0081b2794
0xfffffff0081b2778: f3bdffb0  adrp	x19, #0xfffffff00796f000
0xfffffff0081b277c: 73221a91  add	x19, x19, #0x688
0xfffffff0081b2780: e00313aa  mov	x0, x19
0xfffffff0081b2784: e10315aa  mov	x1, x21
0xfffffff0081b2788: 02008a52  mov	w2, #0x5000
0xfffffff0081b278c: b8d0ef97  bl	#0xfffffff007da6a6c
0xfffffff0081b2790: e00313aa  mov	x0, x19
0xfffffff0081b2794: e10314aa  mov	x1, x20
0xfffffff0081b2798: 02648052  mov	w2, #0x320
0xfffffff0081b279c: b4d0ef97  bl	#0xfffffff007da6a6c
0xfffffff0081b27a0: c0008052  mov	w0, #6
0xfffffff0081b27a4: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0081b27a8: a90001b0  adrp	x9, #0xfffffff00a1c7000
0xfffffff0081b27ac: 29010091  add	x9, x9, #0
0xfffffff0081b27b0: 290140f9  ldr	x9, [x9]
0xfffffff0081b27b4: 3f0108eb  cmp	x9, x8
0xfffffff0081b27b8: 01520054  b.ne	#0xfffffff0081b31f8
0xfffffff0081b27bc: ff831391  add	sp, sp, #0x4e0
0xfffffff0081b27c0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0081b27c4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0081b27c8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0081b27cc: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0081b27d0: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0081b27d4: fc6fc6a8  ldp	x28, x27, [sp], #0x60
