; Candidate 1248
; ADRP+ADD at VM 0xfffffff0082fcdbc (fileoff 0x12f8dbc): page=0x1ff681000 add_imm=0xeb0

0xfffffff0082fcd3c: e16cffb0  adrp	x1, #0xfffffff007099000
0xfffffff0082fcd40: 213c0a91  add	x1, x1, #0x28f
0xfffffff0082fcd44: e00314aa  mov	x0, x20
0xfffffff0082fcd48: 22028052  mov	w2, #0x11
0xfffffff0082fcd4c: 5182e997  bl	#0xfffffff007d5d690
0xfffffff0082fcd50: e0240034  cbz	w0, #0xfffffff0082fd1ec
0xfffffff0082fcd54: 700240f9  ldr	x16, [x19]
0xfffffff0082fcd58: f10313aa  mov	x17, x19
0xfffffff0082fcd5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0082fcd60: 301ac1da  autda	x16, x17
0xfffffff0082fcd64: 114c80d2  mov	x17, #0x260
0xfffffff0082fcd68: 1002118b  add	x16, x16, x17
0xfffffff0082fcd6c: 080240f9  ldr	x8, [x16]
0xfffffff0082fcd70: e90310aa  mov	x9, x16
0xfffffff0082fcd74: e00313aa  mov	x0, x19
0xfffffff0082fcd78: f10309aa  mov	x17, x9
0xfffffff0082fcd7c: 9129e9f2  movk	x17, #0x494c, lsl #48
0xfffffff0082fcd80: 11093fd7  blraa	x8, x17
0xfffffff0082fcd84: 400a0036  tbz	w0, #0, #0xfffffff0082fcecc
0xfffffff0082fcd88: 700240f9  ldr	x16, [x19]
0xfffffff0082fcd8c: f10313aa  mov	x17, x19
0xfffffff0082fcd90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0082fcd94: 301ac1da  autda	x16, x17
0xfffffff0082fcd98: 114680d2  mov	x17, #0x230
0xfffffff0082fcd9c: 1002118b  add	x16, x16, x17
0xfffffff0082fcda0: 080240f9  ldr	x8, [x16]
0xfffffff0082fcda4: e90310aa  mov	x9, x16
0xfffffff0082fcda8: e00313aa  mov	x0, x19
0xfffffff0082fcdac: f10309aa  mov	x17, x9
0xfffffff0082fcdb0: 1113f8f2  movk	x17, #0xc098, lsl #48
0xfffffff0082fcdb4: 11093fd7  blraa	x8, x17
0xfffffff0082fcdb8: 40040034  cbz	w0, #0xfffffff0082fce40
0xfffffff0082fcdbc: 00b4ffb0  adrp	x0, #0xfffffff00797d000
0xfffffff0082fcdc0: 00c03a91  add	x0, x0, #0xeb0
0xfffffff0082fcdc4: 81008052  mov	w1, #4
0xfffffff0082fcdc8: 43a8ea97  bl	#0xfffffff007da6ed4
0xfffffff0082fcdcc: 602a00f9  str	x0, [x19, #0x50]
0xfffffff0082fcdd0: a02900b4  cbz	x0, #0xfffffff0082fd304
0xfffffff0082fcdd4: 28008052  mov	w8, #1
0xfffffff0082fcdd8: 080800b9  str	w8, [x0, #8]
0xfffffff0082fcddc: 700240f9  ldr	x16, [x19]
0xfffffff0082fcde0: f10313aa  mov	x17, x19
0xfffffff0082fcde4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0082fcde8: 301ac1da  autda	x16, x17
0xfffffff0082fcdec: 114080d2  mov	x17, #0x200
0xfffffff0082fcdf0: 1002118b  add	x16, x16, x17
0xfffffff0082fcdf4: 080240f9  ldr	x8, [x16]
0xfffffff0082fcdf8: e90310aa  mov	x9, x16
0xfffffff0082fcdfc: e00313aa  mov	x0, x19
0xfffffff0082fce00: f10309aa  mov	x17, x9
0xfffffff0082fce04: 3195f7f2  movk	x17, #0xbca9, lsl #48
0xfffffff0082fce08: 11093fd7  blraa	x8, x17
0xfffffff0082fce0c: f50300aa  mov	x21, x0
0xfffffff0082fce10: 603a40f9  ldr	x0, [x19, #0x70]
0xfffffff0082fce14: 400100b4  cbz	x0, #0xfffffff0082fce3c
0xfffffff0082fce18: 100040f9  ldr	x16, [x0]
0xfffffff0082fce1c: f10300aa  mov	x17, x0
0xfffffff0082fce20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0082fce24: 301ac1da  autda	x16, x17
0xfffffff0082fce28: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0082fce2c: e90310aa  mov	x9, x16
0xfffffff0082fce30: f10309aa  mov	x17, x9
0xfffffff0082fce34: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0082fce38: 11093fd7  blraa	x8, x17
