; Candidate 14079
; ADRP+ADD at VM 0xfffffff0096bd8ec (fileoff 0x26b98ec): page=0x1fded1000 add_imm=0xdef

0xfffffff0096bd86c: 10d22691  add	x16, x16, #0x9b4
0xfffffff0096bd870: 31a897d2  mov	x17, #0xbd41
0xfffffff0096bd874: 3002c1da  pacia	x16, x17
0xfffffff0096bd878: e10310aa  mov	x1, x16
0xfffffff0096bd87c: e33f0091  add	x3, sp, #0xf
0xfffffff0096bd880: 820c8052  mov	w2, #0x64
0xfffffff0096bd884: 040080d2  mov	x4, #0
0xfffffff0096bd888: 050080d2  mov	x5, #0
0xfffffff0096bd88c: f10309aa  mov	x17, x9
0xfffffff0096bd890: f13ffff2  movk	x17, #0xf9ff, lsl #48
0xfffffff0096bd894: 11093fd7  blraa	x8, x17
0xfffffff0096bd898: f50300aa  mov	x21, x0
0xfffffff0096bd89c: 700240f9  ldr	x16, [x19]
0xfffffff0096bd8a0: f10313aa  mov	x17, x19
0xfffffff0096bd8a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096bd8a8: 301ac1da  autda	x16, x17
0xfffffff0096bd8ac: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0096bd8b0: e90310aa  mov	x9, x16
0xfffffff0096bd8b4: e00313aa  mov	x0, x19
0xfffffff0096bd8b8: f10309aa  mov	x17, x9
0xfffffff0096bd8bc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0096bd8c0: 11093fd7  blraa	x8, x17
0xfffffff0096bd8c4: e83f4039  ldrb	w8, [sp, #0xf]
0xfffffff0096bd8c8: 08010052  eor	w8, w8, #1
0xfffffff0096bd8cc: 88020039  strb	w8, [x20]
0xfffffff0096bd8d0: 27ffff17  b	#0xfffffff0096bd56c
0xfffffff0096bd8d4: 940000b4  cbz	x20, #0xfffffff0096bd8e4
0xfffffff0096bd8d8: 15008052  mov	w21, #0
0xfffffff0096bd8dc: 930200f9  str	x19, [x20]
0xfffffff0096bd8e0: 23ffff17  b	#0xfffffff0096bd56c
0xfffffff0096bd8e4: 15008052  mov	w21, #0
0xfffffff0096bd8e8: 21ffff17  b	#0xfffffff0096bd56c
0xfffffff0096bd8ec: 80f6feb0  adrp	x0, #0xfffffff00758e000
0xfffffff0096bd8f0: 00bc3791  add	x0, x0, #0xdef
0xfffffff0096bd8f4: 010080d2  mov	x1, #0
0xfffffff0096bd8f8: e631b397  bl	#0xfffffff00838a090
0xfffffff0096bd8fc: f30300aa  mov	x19, x0
0xfffffff0096bd900: bb2fb397  bl	#0xfffffff0083897ec
0xfffffff0096bd904: e00300b4  cbz	x0, #0xfffffff0096bd980
0xfffffff0096bd908: fb0300aa  mov	x27, x0
0xfffffff0096bd90c: 100040f9  ldr	x16, [x0]
0xfffffff0096bd910: f10300aa  mov	x17, x0
0xfffffff0096bd914: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096bd918: 301ac1da  autda	x16, x17
0xfffffff0096bd91c: 117580d2  mov	x17, #0x3a8
0xfffffff0096bd920: 1002118b  add	x16, x16, x17
0xfffffff0096bd924: 080240f9  ldr	x8, [x16]
0xfffffff0096bd928: e90310aa  mov	x9, x16
0xfffffff0096bd92c: e1031aaa  mov	x1, x26
0xfffffff0096bd930: e20319aa  mov	x2, x25
0xfffffff0096bd934: e30318aa  mov	x3, x24
0xfffffff0096bd938: e40314aa  mov	x4, x20
0xfffffff0096bd93c: e50317aa  mov	x5, x23
0xfffffff0096bd940: e60316aa  mov	x6, x22
0xfffffff0096bd944: f10309aa  mov	x17, x9
0xfffffff0096bd948: 1131e1f2  movk	x17, #0x988, lsl #48
0xfffffff0096bd94c: 11093fd7  blraa	x8, x17
0xfffffff0096bd950: f50300aa  mov	x21, x0
0xfffffff0096bd954: 700340f9  ldr	x16, [x27]
0xfffffff0096bd958: f1031baa  mov	x17, x27
0xfffffff0096bd95c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096bd960: 301ac1da  autda	x16, x17
0xfffffff0096bd964: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0096bd968: e90310aa  mov	x9, x16
