; Candidate 12234
; ADRP+ADD at VM 0xfffffff009072924 (fileoff 0x206e924): page=0x1fe3e3000 add_imm=0xdd4

0xfffffff0090728a4: 00a03891  add	x0, x0, #0xe28
0xfffffff0090728a8: de91cb97  bl	#0xfffffff008357020
0xfffffff0090728ac: 616e40f9  ldr	x1, [x19, #0xd8]
0xfffffff0090728b0: 700240f9  ldr	x16, [x19]
0xfffffff0090728b4: f01ac1da  autda	x16, x23
0xfffffff0090728b8: 11b480d2  mov	x17, #0x5a0
0xfffffff0090728bc: 1002118b  add	x16, x16, x17
0xfffffff0090728c0: 080240f9  ldr	x8, [x16]
0xfffffff0090728c4: e90310aa  mov	x9, x16
0xfffffff0090728c8: e00313aa  mov	x0, x19
0xfffffff0090728cc: 02008052  mov	w2, #0
0xfffffff0090728d0: 43008012  mov	w3, #-3
0xfffffff0090728d4: f10309aa  mov	x17, x9
0xfffffff0090728d8: 918afdf2  movk	x17, #0xec54, lsl #48
0xfffffff0090728dc: 11093fd7  blraa	x8, x17
0xfffffff0090728e0: 33000014  b	#0xfffffff0090729ac
0xfffffff0090728e4: 700240f9  ldr	x16, [x19]
0xfffffff0090728e8: f70313aa  mov	x23, x19
0xfffffff0090728ec: 37b4f9f2  movk	x23, #0xcda1, lsl #48
0xfffffff0090728f0: f10313aa  mov	x17, x19
0xfffffff0090728f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090728f8: 301ac1da  autda	x16, x17
0xfffffff0090728fc: 113d80d2  mov	x17, #0x1e8
0xfffffff009072900: 1002118b  add	x16, x16, x17
0xfffffff009072904: 080240f9  ldr	x8, [x16]
0xfffffff009072908: e90310aa  mov	x9, x16
0xfffffff00907290c: e00313aa  mov	x0, x19
0xfffffff009072910: 010080d2  mov	x1, #0
0xfffffff009072914: f10309aa  mov	x17, x9
0xfffffff009072918: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00907291c: 11093fd7  blraa	x8, x17
0xfffffff009072920: e05b00a9  stp	x0, x22, [sp]
0xfffffff009072924: 001ffff0  adrp	x0, #0xfffffff007455000
0xfffffff009072928: 00503791  add	x0, x0, #0xdd4
0xfffffff00907292c: bd91cb97  bl	#0xfffffff008357020
0xfffffff009072930: 700240f9  ldr	x16, [x19]
0xfffffff009072934: f01ac1da  autda	x16, x23
0xfffffff009072938: 115780d2  mov	x17, #0x2b8
0xfffffff00907293c: 1002118b  add	x16, x16, x17
0xfffffff009072940: 080240f9  ldr	x8, [x16]
0xfffffff009072944: e90310aa  mov	x9, x16
0xfffffff009072948: e00313aa  mov	x0, x19
0xfffffff00907294c: e10314aa  mov	x1, x20
0xfffffff009072950: f10309aa  mov	x17, x9
0xfffffff009072954: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff009072958: 11093fd7  blraa	x8, x17
0xfffffff00907295c: 30000014  b	#0xfffffff009072a1c
0xfffffff009072960: 700240f9  ldr	x16, [x19]
0xfffffff009072964: f70313aa  mov	x23, x19
0xfffffff009072968: 37b4f9f2  movk	x23, #0xcda1, lsl #48
0xfffffff00907296c: f10313aa  mov	x17, x19
0xfffffff009072970: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009072974: 301ac1da  autda	x16, x17
0xfffffff009072978: 113d80d2  mov	x17, #0x1e8
0xfffffff00907297c: 1002118b  add	x16, x16, x17
0xfffffff009072980: 080240f9  ldr	x8, [x16]
0xfffffff009072984: e90310aa  mov	x9, x16
0xfffffff009072988: e00313aa  mov	x0, x19
0xfffffff00907298c: 010080d2  mov	x1, #0
0xfffffff009072990: f10309aa  mov	x17, x9
0xfffffff009072994: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009072998: 11093fd7  blraa	x8, x17
0xfffffff00907299c: e05b00a9  stp	x0, x22, [sp]
0xfffffff0090729a0: 001ffff0  adrp	x0, #0xfffffff007455000
