; Candidate 684
; ADRP+ADD at VM 0xfffffff0080260e8 (fileoff 0x10220e8): page=0x1ff045000 add_imm=0xe68

0xfffffff008026068: e20313aa  mov	x2, x19
0xfffffff00802606c: e40315aa  mov	x4, x21
0xfffffff008026070: 05008052  mov	w5, #0
0xfffffff008026074: 060080d2  mov	x6, #0
0xfffffff008026078: d371fd97  bl	#0xfffffff007f827c4
0xfffffff00802607c: f40300aa  mov	x20, x0
0xfffffff008026080: f30317aa  mov	x19, x23
0xfffffff008026084: 370100b4  cbz	x23, #0xfffffff0080260a8
0xfffffff008026088: 770640f9  ldr	x23, [x19, #8]
0xfffffff00802608c: 7f0600f9  str	xzr, [x19, #8]
0xfffffff008026090: 74feff34  cbz	w20, #0xfffffff00802605c
0xfffffff008026094: e00313aa  mov	x0, x19
0xfffffff008026098: 07d30794  bl	#0xfffffff00821acb4
0xfffffff00802609c: f30300aa  mov	x19, x0
0xfffffff0080260a0: a0ffffb5  cbnz	x0, #0xfffffff008026094
0xfffffff0080260a4: f7ffff17  b	#0xfffffff008026080
0xfffffff0080260a8: d4e2ff35  cbnz	w20, #0xfffffff008025d00
0xfffffff0080260ac: 080f01d0  adrp	x8, #0xfffffff00a208000
0xfffffff0080260b0: 09154eb9  ldr	w9, [x8, #0xe14]
0xfffffff0080260b4: 29050011  add	w9, w9, #1
0xfffffff0080260b8: 09150eb9  str	w9, [x8, #0xe14]
0xfffffff0080260bc: 11ffff17  b	#0xfffffff008025d00
0xfffffff0080260c0: 2082ffd0  adrp	x0, #0xfffffff00706c000
0xfffffff0080260c4: 00542791  add	x0, x0, #0x9d5
0xfffffff0080260c8: 2182ffd0  adrp	x1, #0xfffffff00706c000
0xfffffff0080260cc: 21c82791  add	x1, x1, #0x9f2
0xfffffff0080260d0: a2048052  mov	w2, #0x25
0xfffffff0080260d4: d0e51194  bl	#0xfffffff00849f814
0xfffffff0080260d8: 2882ffb0  adrp	x8, #0xfffffff00706b000
0xfffffff0080260dc: 08e92791  add	x8, x8, #0x9fa
0xfffffff0080260e0: a9848452  mov	w9, #0x2425
0xfffffff0080260e4: e82700a9  stp	x8, x9, [sp]
0xfffffff0080260e8: 2082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff0080260ec: 00a03991  add	x0, x0, #0xe68
0xfffffff0080260f0: 07b91194  bl	#0xfffffff00849450c
0xfffffff0080260f4: 56dff497  bl	#0xfffffff007d5de4c
0xfffffff0080260f8: 7f2303d5  pacibsp	
0xfffffff0080260fc: ff8301d1  sub	sp, sp, #0x60
0xfffffff008026100: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008026104: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008026108: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00802610c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008026110: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008026114: fd430191  add	x29, sp, #0x50
0xfffffff008026118: f50305aa  mov	x21, x5
0xfffffff00802611c: f70304aa  mov	x23, x4
0xfffffff008026120: f30303aa  mov	x19, x3
0xfffffff008026124: f40301aa  mov	x20, x1
0xfffffff008026128: e50300aa  mov	x5, x0
0xfffffff00802612c: 392841f9  ldr	x25, [x1, #0x250]
0xfffffff008026130: 36430091  add	x22, x25, #0x10
0xfffffff008026134: f66700a9  stp	x22, x25, [sp]
0xfffffff008026138: a80240f9  ldr	x8, [x21]
0xfffffff00802613c: 680400b5  cbnz	x8, #0xfffffff0080261c8
0xfffffff008026140: 8c064a39  ldrb	w12, [x20, #0x281]
0xfffffff008026144: 2c042836  tbz	w12, #5, #0xfffffff0080261c8
0xfffffff008026148: 880d0012  and	w8, w12, #0xf
0xfffffff00802614c: e8030034  cbz	w8, #0xfffffff0080261c8
0xfffffff008026150: bf780071  cmp	w5, #0x1e
0xfffffff008026154: 00010054  b.eq	#0xfffffff008026174
0xfffffff008026158: bf080071  cmp	w5, #2
0xfffffff00802615c: 21010054  b.ne	#0xfffffff008026180
0xfffffff008026160: 09008052  mov	w9, #0
0xfffffff008026164: 0a008052  mov	w10, #0
