; Candidate 16872
; ADRP+ADD at VM 0xfffffff009fa5268 (fileoff 0x2fa1268): page=0x1fdda0000 add_imm=0xda8

0xfffffff009fa51e8: 00c00891  add	x0, x0, #0x230
0xfffffff009fa51ec: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009fa51f0: ff0f5fd6  retab	
0xfffffff009fa51f4: 7f2303d5  pacibsp	
0xfffffff009fa51f8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009fa51fc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009fa5200: fd430091  add	x29, sp, #0x10
0xfffffff009fa5204: 1df9ff97  bl	#0xfffffff009fa3678
0xfffffff009fa5208: e10300aa  mov	x1, x0
0xfffffff009fa520c: b3210090  adrp	x19, #0xfffffff00a3d9000
0xfffffff009fa5210: 73a20691  add	x19, x19, #0x1a8
0xfffffff009fa5214: e00313aa  mov	x0, x19
0xfffffff009fa5218: 58f9ff97  bl	#0xfffffff009fa3778
0xfffffff009fa521c: e00313aa  mov	x0, x19
0xfffffff009fa5220: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009fa5224: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009fa5228: ff0f5fd6  retab	
0xfffffff009fa522c: 7f2303d5  pacibsp	
0xfffffff009fa5230: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009fa5234: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009fa5238: fd430091  add	x29, sp, #0x10
0xfffffff009fa523c: 0ff9ff97  bl	#0xfffffff009fa3678
0xfffffff009fa5240: e10300aa  mov	x1, x0
0xfffffff009fa5244: b3210090  adrp	x19, #0xfffffff00a3d9000
0xfffffff009fa5248: 73820791  add	x19, x19, #0x1e0
0xfffffff009fa524c: e00313aa  mov	x0, x19
0xfffffff009fa5250: ab430094  bl	#0xfffffff009fb60fc
0xfffffff009fa5254: e00313aa  mov	x0, x19
0xfffffff009fa5258: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009fa525c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009fa5260: ff0f5fd6  retab	
0xfffffff009fa5264: 5f2403d5  bti	c
0xfffffff009fa5268: 00edfe90  adrp	x0, #0xfffffff007d45000
0xfffffff009fa526c: 00a03691  add	x0, x0, #0xda8
0xfffffff009fa5270: c0035fd6  ret	
0xfffffff009fa5274: 7f2303d5  pacibsp	
0xfffffff009fa5278: ffc301d1  sub	sp, sp, #0x70
0xfffffff009fa527c: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff009fa5280: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009fa5284: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009fa5288: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009fa528c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009fa5290: fd830191  add	x29, sp, #0x60
0xfffffff009fa5294: f30306aa  mov	x19, x6
0xfffffff009fa5298: f60305aa  mov	x22, x5
0xfffffff009fa529c: f40304aa  mov	x20, x4
0xfffffff009fa52a0: f80303aa  mov	x24, x3
0xfffffff009fa52a4: f90302aa  mov	x25, x2
0xfffffff009fa52a8: f70301aa  mov	x23, x1
0xfffffff009fa52ac: f50300aa  mov	x21, x0
0xfffffff009fa52b0: e8ecfef0  adrp	x8, #0xfffffff007d44000
0xfffffff009fa52b4: 082d43f9  ldr	x8, [x8, #0x658]
0xfffffff009fa52b8: 080140f9  ldr	x8, [x8]
0xfffffff009fa52bc: e80f00f9  str	x8, [sp, #0x18]
0xfffffff009fa52c0: c10000f9  str	x1, [x6]
0xfffffff009fa52c4: 28038052  mov	w8, #0x19
0xfffffff009fa52c8: 1f01256a  bics	wzr, w8, w5
0xfffffff009fa52cc: 81040054  b.ne	#0xfffffff009fa535c
0xfffffff009fa52d0: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff009fa52d4: ff0b00f9  str	xzr, [sp, #0x10]
0xfffffff009fa52d8: e00317aa  mov	x0, x23
0xfffffff009fa52dc: 779c0094  bl	#0xfffffff009fcc4b8
0xfffffff009fa52e0: 08f80091  add	x8, x0, #0x3e
0xfffffff009fa52e4: 08fd43d3  lsr	x8, x8, #3
