; Candidate 4446
; ADRP+ADD at VM 0xfffffff0087b2524 (fileoff 0x17ae524): page=0x1fe97f000 add_imm=0xd90

0xfffffff0087b24a4: 4b92ee97  bl	#0xfffffff008356dd0
0xfffffff0087b24a8: 60c206f9  str	x0, [x19, #0xd80]
0xfffffff0087b24ac: e00400b4  cbz	x0, #0xfffffff0087b2548
0xfffffff0087b24b0: 00008052  mov	w0, #0
0xfffffff0087b24b4: 31000014  b	#0xfffffff0087b2578
0xfffffff0087b24b8: 484dfff0  adrp	x8, #0xfffffff00715d000
0xfffffff0087b24bc: 08e11a91  add	x8, x8, #0x6b8
0xfffffff0087b24c0: e80300f9  str	x8, [sp]
0xfffffff0087b24c4: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b24c8: 00403691  add	x0, x0, #0xd90
0xfffffff0087b24cc: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b24d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b24d4: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b24d8: 63803091  add	x3, x3, #0xc20
0xfffffff0087b24dc: 02008052  mov	w2, #0
0xfffffff0087b24e0: 1403ee97  bl	#0xfffffff008333130
0xfffffff0087b24e4: 24000014  b	#0xfffffff0087b2574
0xfffffff0087b24e8: 484dfff0  adrp	x8, #0xfffffff00715d000
0xfffffff0087b24ec: 08e11a91  add	x8, x8, #0x6b8
0xfffffff0087b24f0: e80300f9  str	x8, [sp]
0xfffffff0087b24f4: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b24f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087b24fc: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b2500: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b2504: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b2508: 63883191  add	x3, x3, #0xc62
0xfffffff0087b250c: 02008052  mov	w2, #0
0xfffffff0087b2510: 0803ee97  bl	#0xfffffff008333130
0xfffffff0087b2514: 18000014  b	#0xfffffff0087b2574
0xfffffff0087b2518: 484dfff0  adrp	x8, #0xfffffff00715d000
0xfffffff0087b251c: 08e11a91  add	x8, x8, #0x6b8
0xfffffff0087b2520: e80300f9  str	x8, [sp]
0xfffffff0087b2524: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b2528: 00403691  add	x0, x0, #0xd90
0xfffffff0087b252c: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b2530: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b2534: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b2538: 63903291  add	x3, x3, #0xca4
0xfffffff0087b253c: 02008052  mov	w2, #0
0xfffffff0087b2540: fc02ee97  bl	#0xfffffff008333130
0xfffffff0087b2544: 0c000014  b	#0xfffffff0087b2574
0xfffffff0087b2548: 484dfff0  adrp	x8, #0xfffffff00715d000
0xfffffff0087b254c: 08e11a91  add	x8, x8, #0x6b8
0xfffffff0087b2550: e80300f9  str	x8, [sp]
0xfffffff0087b2554: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b2558: 00403691  add	x0, x0, #0xd90
0xfffffff0087b255c: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b2560: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b2564: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b2568: 63903391  add	x3, x3, #0xce4
0xfffffff0087b256c: 02008052  mov	w2, #0
0xfffffff0087b2570: f002ee97  bl	#0xfffffff008333130
0xfffffff0087b2574: 00268052  mov	w0, #0x130
0xfffffff0087b2578: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0087b257c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0087b2580: ffc30091  add	sp, sp, #0x30
0xfffffff0087b2584: ff0f5fd6  retab	
0xfffffff0087b2588: 5f2403d5  bti	c
0xfffffff0087b258c: c0feff17  b	#0xfffffff0087b208c
0xfffffff0087b2590: 7f2303d5  pacibsp	
0xfffffff0087b2594: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0087b2598: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087b259c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087b25a0: fd830091  add	x29, sp, #0x20
