; Candidate 10691
; ADRP+ADD at VM 0xfffffff008de342c (fileoff 0x1ddf42c): page=0x1fe5e1000 add_imm=0xd21

0xfffffff008de33ac: 29493991  add	x9, x9, #0xe52
0xfffffff008de33b0: 0b2fffb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de33b4: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de33b8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de33bc: eb0300f9  str	x11, [sp]
0xfffffff008de33c0: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de33c4: 00543891  add	x0, x0, #0xe15
0xfffffff008de33c8: 16cfd597  bl	#0xfffffff008357020
0xfffffff008de33cc: c8088052  mov	w8, #0x46
0xfffffff008de33d0: c6ffff17  b	#0xfffffff008de32e8
0xfffffff008de33d4: 7f2303d5  pacibsp	
0xfffffff008de33d8: ffc301d1  sub	sp, sp, #0x70
0xfffffff008de33dc: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008de33e0: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008de33e4: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008de33e8: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008de33ec: fd830191  add	x29, sp, #0x60
0xfffffff008de33f0: f70304aa  mov	x23, x4
0xfffffff008de33f4: f40303aa  mov	x20, x3
0xfffffff008de33f8: f50302aa  mov	x21, x2
0xfffffff008de33fc: f60301aa  mov	x22, x1
0xfffffff008de3400: f30300aa  mov	x19, x0
0xfffffff008de3404: f8a80090  adrp	x24, #0xfffffff00a2ff000
0xfffffff008de3408: 18432c91  add	x24, x24, #0xb10
0xfffffff008de340c: 08034039  ldrb	w8, [x24]
0xfffffff008de3410: 1f290071  cmp	w8, #0xa
0xfffffff008de3414: 28010054  b.hi	#0xfffffff008de3438
0xfffffff008de3418: e82efff0  adrp	x8, #0xfffffff0073c2000
0xfffffff008de341c: 08690791  add	x8, x8, #0x1da
0xfffffff008de3420: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3424: 299d0c91  add	x9, x9, #0x327
0xfffffff008de3428: e92300a9  stp	x9, x8, [sp]
0xfffffff008de342c: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3430: 00843491  add	x0, x0, #0xd21
0xfffffff008de3434: fbced597  bl	#0xfffffff008357020
0xfffffff008de3438: f30500b4  cbz	x19, #0xfffffff008de34f4
0xfffffff008de343c: bf0200f1  cmp	x21, #0
0xfffffff008de3440: e8079f1a  cset	w8, ne
0xfffffff008de3444: 890600f1  subs	x9, x20, #1
0xfffffff008de3448: ea379f1a  cset	w10, hs
0xfffffff008de344c: 3f0940f1  cmp	x9, #2, lsl #12
0xfffffff008de3450: e9279f1a  cset	w9, lo
0xfffffff008de3454: 0901090a  and	w9, w8, w9
0xfffffff008de3458: 08010a2a  orr	w8, w8, w10
0xfffffff008de345c: 1f01096b  cmp	w8, w9
0xfffffff008de3460: c1070054  b.ne	#0xfffffff008de3558
0xfffffff008de3464: ff020071  cmp	w23, #0
0xfffffff008de3468: e8048052  mov	w8, #0x27
0xfffffff008de346c: 69058052  mov	w9, #0x2b
0xfffffff008de3470: 2111881a  csel	w1, w9, w8, ne
0xfffffff008de3474: e00316aa  mov	x0, x22
0xfffffff008de3478: 02008052  mov	w2, #0
0xfffffff008de347c: e30315aa  mov	x3, x21
0xfffffff008de3480: e40314aa  mov	x4, x20
0xfffffff008de3484: 050080d2  mov	x5, #0
0xfffffff008de3488: 060080d2  mov	x6, #0
0xfffffff008de348c: 519081d2  mov	x17, #0xc82
0xfffffff008de3490: 710a3fd7  blraa	x19, x17
0xfffffff008de3494: f30300aa  mov	x19, x0
0xfffffff008de3498: 00040035  cbnz	w0, #0xfffffff008de3518
0xfffffff008de349c: 48018052  mov	w8, #0xa
0xfffffff008de34a0: 09034039  ldrb	w9, [x24]
0xfffffff008de34a4: 1f01096b  cmp	w8, w9
0xfffffff008de34a8: 83010054  b.lo	#0xfffffff008de34d8
