; Candidate 4133
; ADRP+ADD at VM 0xfffffff008793960 (fileoff 0x178f960): page=0x1fe99e000 add_imm=0xd90

0xfffffff0087938e0: 7b60d897  bl	#0xfffffff007dabacc
0xfffffff0087938e4: 603258f9  ldr	x0, [x19, #0x3060]
0xfffffff0087938e8: e402ff97  bl	#0xfffffff008754478
0xfffffff0087938ec: 1f080071  cmp	w0, #2
0xfffffff0087938f0: 030d0054  b.lo	#0xfffffff008793a90
0xfffffff0087938f4: 603658f9  ldr	x0, [x19, #0x3068]
0xfffffff0087938f8: 810e40b9  ldr	w1, [x20, #0xc]
0xfffffff0087938fc: 8002ff97  bl	#0xfffffff0087542fc
0xfffffff008793900: 603a58f9  ldr	x0, [x19, #0x3070]
0xfffffff008793904: 8e63d897  bl	#0xfffffff007dac73c
0xfffffff008793908: 2e000014  b	#0xfffffff0087939c0
0xfffffff00879390c: e0080054  b.eq	#0xfffffff008793a28
0xfffffff008793910: 3f110071  cmp	w9, #4
0xfffffff008793914: 01f0ff54  b.ne	#0xfffffff008793714
0xfffffff008793918: 49cf4439  ldrb	w9, [x26, #0x133]
0xfffffff00879391c: 49190034  cbz	w9, #0xfffffff008793c44
0xfffffff008793920: 09008012  mov	w9, #-1
0xfffffff008793924: e9d20fb9  str	w9, [x23, #0xfd0]
0xfffffff008793928: 8a050071  subs	w10, w12, #1
0xfffffff00879392c: 6a4a2a8b  add	x10, x19, w10, uxtw #2
0xfffffff008793930: 4a510991  add	x10, x10, #0x254
0xfffffff008793934: 08b18a9a  csel	x8, x8, x10, lt
0xfffffff008793938: 080140b9  ldr	w8, [x8]
0xfffffff00879393c: e8d60fb9  str	w8, [x23, #0xfd4]
0xfffffff008793940: c9000014  b	#0xfffffff008793c64
0xfffffff008793944: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff008793948: 614241b9  ldr	w1, [x19, #0x140]
0xfffffff00879394c: e6d4fe97  bl	#0xfffffff008748ce4
0xfffffff008793950: 80010034  cbz	w0, #0xfffffff008793980
0xfffffff008793954: 484eff90  adrp	x8, #0xfffffff00715b000
0xfffffff008793958: 08010691  add	x8, x8, #0x180
0xfffffff00879395c: e80300a9  stp	x8, x0, [sp]
0xfffffff008793960: e04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008793964: 00403691  add	x0, x0, #0xd90
0xfffffff008793968: 4193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879396c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008793970: a34dff90  adrp	x3, #0xfffffff007147000
0xfffffff008793974: 632c0891  add	x3, x3, #0x20b
0xfffffff008793978: 02008052  mov	w2, #0
0xfffffff00879397c: ed7dee97  bl	#0xfffffff008333130
0xfffffff008793980: 1f6b0671  cmp	w24, #0x19a
0xfffffff008793984: a0000054  b.eq	#0xfffffff008793998
0xfffffff008793988: 1f670671  cmp	w24, #0x199
0xfffffff00879398c: 61060054  b.ne	#0xfffffff008793a58
0xfffffff008793990: bfca0fb9  str	wzr, [x21, #0xfc8]
0xfffffff008793994: f8ca0fb9  str	w24, [x23, #0xfc8]
0xfffffff008793998: 96000034  cbz	w22, #0xfffffff0087939a8
0xfffffff00879399c: e00313aa  mov	x0, x19
0xfffffff0087939a0: e10317aa  mov	x1, x23
0xfffffff0087939a4: 8f070094  bl	#0xfffffff0087957e0
0xfffffff0087939a8: 810e40b9  ldr	w1, [x20, #0xc]
0xfffffff0087939ac: 624241b9  ldr	w2, [x19, #0x140]
0xfffffff0087939b0: e00313aa  mov	x0, x19
0xfffffff0087939b4: e30318aa  mov	x3, x24
0xfffffff0087939b8: 050080d2  mov	x5, #0
0xfffffff0087939bc: 11f7ff97  bl	#0xfffffff008791600
0xfffffff0087939c0: 644241b9  ldr	w4, [x19, #0x140]
0xfffffff0087939c4: 20130011  add	w0, w25, #4
0xfffffff0087939c8: 010080d2  mov	x1, #0
0xfffffff0087939cc: 020080d2  mov	x2, #0
0xfffffff0087939d0: 030080d2  mov	x3, #0
0xfffffff0087939d4: 050080d2  mov	x5, #0
0xfffffff0087939d8: 4ba9e797  bl	#0xfffffff00817df04
0xfffffff0087939dc: 00008052  mov	w0, #0
