; Candidate 1605
; ADRP+ADD at VM 0xfffffff0084bb6a8 (fileoff 0x14b76a8): page=0x1feb98000 add_imm=0xe0d

0xfffffff0084bb628: ff030291  add	sp, sp, #0x80
0xfffffff0084bb62c: ff0f5fd6  retab	
0xfffffff0084bb630: 0acc8752  mov	w10, #0x3e60
0xfffffff0084bb634: a85cffb0  adrp	x8, #0xfffffff007050000
0xfffffff0084bb638: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084bb63c: c95cff90  adrp	x9, #0xfffffff007053000
0xfffffff0084bb640: 29a93691  add	x9, x9, #0xdaa
0xfffffff0084bb644: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0084bb648: f3d300a9  stp	x19, x20, [sp, #8]
0xfffffff0084bb64c: e90300f9  str	x9, [sp]
0xfffffff0084bb650: c05cff90  adrp	x0, #0xfffffff007053000
0xfffffff0084bb654: 000c3791  add	x0, x0, #0xdc3
0xfffffff0084bb658: ad63ff97  bl	#0xfffffff00849450c
0xfffffff0084bb65c: 48cb8752  mov	w8, #0x3e5a
0xfffffff0084bb660: a95cffb0  adrp	x9, #0xfffffff007050000
0xfffffff0084bb664: 29cd3c91  add	x9, x9, #0xf33
0xfffffff0084bb668: ca5cff90  adrp	x10, #0xfffffff007053000
0xfffffff0084bb66c: 4aa93691  add	x10, x10, #0xdaa
0xfffffff0084bb670: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0084bb674: ea4f00a9  stp	x10, x19, [sp]
0xfffffff0084bb678: c05cff90  adrp	x0, #0xfffffff007053000
0xfffffff0084bb67c: 007c3591  add	x0, x0, #0xd5f
0xfffffff0084bb680: a363ff97  bl	#0xfffffff00849450c
0xfffffff0084bb684: e81640b9  ldr	w8, [x23, #0x14]
0xfffffff0084bb688: 89cc8752  mov	w9, #0x3e64
0xfffffff0084bb68c: aa5cffb0  adrp	x10, #0xfffffff007050000
0xfffffff0084bb690: 4acd3c91  add	x10, x10, #0xf33
0xfffffff0084bb694: eaa702a9  stp	x10, x9, [sp, #0x28]
0xfffffff0084bb698: f6a301a9  stp	x22, x8, [sp, #0x18]
0xfffffff0084bb69c: c85cff90  adrp	x8, #0xfffffff007053000
0xfffffff0084bb6a0: 08a93691  add	x8, x8, #0xdaa
0xfffffff0084bb6a4: f3d300a9  stp	x19, x20, [sp, #8]
0xfffffff0084bb6a8: c05cff90  adrp	x0, #0xfffffff007053000
0xfffffff0084bb6ac: 00343891  add	x0, x0, #0xe0d
0xfffffff0084bb6b0: e80300f9  str	x8, [sp]
0xfffffff0084bb6b4: 9663ff97  bl	#0xfffffff00849450c
0xfffffff0084bb6b8: cacd8752  mov	w10, #0x3e6e
0xfffffff0084bb6bc: a85cffb0  adrp	x8, #0xfffffff007050000
0xfffffff0084bb6c0: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084bb6c4: c95cff90  adrp	x9, #0xfffffff007053000
0xfffffff0084bb6c8: 29a93691  add	x9, x9, #0xdaa
0xfffffff0084bb6cc: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0084bb6d0: f3d300a9  stp	x19, x20, [sp, #8]
0xfffffff0084bb6d4: e90300f9  str	x9, [sp]
0xfffffff0084bb6d8: c05cff90  adrp	x0, #0xfffffff007053000
0xfffffff0084bb6dc: 00ec3a91  add	x0, x0, #0xebb
0xfffffff0084bb6e0: 8b63ff97  bl	#0xfffffff00849450c
0xfffffff0084bb6e4: 2acd8752  mov	w10, #0x3e69
0xfffffff0084bb6e8: a85cffb0  adrp	x8, #0xfffffff007050000
0xfffffff0084bb6ec: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084bb6f0: c95cff90  adrp	x9, #0xfffffff007053000
0xfffffff0084bb6f4: 29a93691  add	x9, x9, #0xdaa
0xfffffff0084bb6f8: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0084bb6fc: f3d300a9  stp	x19, x20, [sp, #8]
0xfffffff0084bb700: e90300f9  str	x9, [sp]
0xfffffff0084bb704: c05cff90  adrp	x0, #0xfffffff007053000
0xfffffff0084bb708: 00c43991  add	x0, x0, #0xe71
0xfffffff0084bb70c: 8063ff97  bl	#0xfffffff00849450c
0xfffffff0084bb710: 7f2303d5  pacibsp	
0xfffffff0084bb714: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff0084bb718: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0084bb71c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0084bb720: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0084bb724: fdc30091  add	x29, sp, #0x30
