; Candidate 994
; ADRP+ADD at VM 0xfffffff008156248 (fileoff 0x1152248): page=0x2068000 add_imm=0xe70

0xfffffff0081561c8: 5f00086b  cmp	w2, w8
0xfffffff0081561cc: 81020054  b.ne	#0xfffffff00815621c
0xfffffff0081561d0: e0a30091  add	x0, sp, #0x28
0xfffffff0081561d4: 010080d2  mov	x1, #0
0xfffffff0081561d8: c9fbff97  bl	#0xfffffff0081550fc
0xfffffff0081561dc: 41030190  adrp	x1, #0xfffffff00a1be000
0xfffffff0081561e0: 21c03991  add	x1, x1, #0xe70
0xfffffff0081561e4: e0a30091  add	x0, sp, #0x28
0xfffffff0081561e8: fc55f197  bl	#0xfffffff007dab9d8
0xfffffff0081561ec: 080080d2  mov	x8, #0
0xfffffff0081561f0: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff0081561f4: e97ee8c8  casa	x8, x9, [x23]
0xfffffff0081561f8: 1f0100f1  cmp	x8, #0
0xfffffff0081561fc: a1010054  b.ne	#0xfffffff008156230
0xfffffff008156200: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff008156204: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff008156208: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff00815620c: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff008156210: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff008156214: ff430491  add	sp, sp, #0x110
0xfffffff008156218: ff0f5fd6  retab	
0xfffffff00815621c: a00501d0  adrp	x0, #0xfffffff00a20c000
0xfffffff008156220: 00a02691  add	x0, x0, #0x9a8
0xfffffff008156224: e10313aa  mov	x1, x19
0xfffffff008156228: 4f59f197  bl	#0xfffffff007dac764
0xfffffff00815622c: e9ffff17  b	#0xfffffff0081561d0
0xfffffff008156230: a00501d0  adrp	x0, #0xfffffff00a20c000
0xfffffff008156234: 00a02691  add	x0, x0, #0x9a8
0xfffffff008156238: e10313aa  mov	x1, x19
0xfffffff00815623c: 02008052  mov	w2, #0
0xfffffff008156240: 2e56f197  bl	#0xfffffff007dabaf8
0xfffffff008156244: efffff17  b	#0xfffffff008156200
0xfffffff008156248: 40030190  adrp	x0, #0xfffffff00a1be000
0xfffffff00815624c: 00c03991  add	x0, x0, #0xe70
0xfffffff008156250: ef270d94  bl	#0xfffffff0084a020c
0xfffffff008156254: 886e8152  mov	w8, #0xb74
0xfffffff008156258: 4979ffb0  adrp	x9, #0xfffffff00707f000
0xfffffff00815625c: 29dd0391  add	x9, x9, #0xf7
0xfffffff008156260: 4a79ffb0  adrp	x10, #0xfffffff00707f000
0xfffffff008156264: 4ab90891  add	x10, x10, #0x22e
0xfffffff008156268: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00815626c: ea4f00a9  stp	x10, x19, [sp]
0xfffffff008156270: 4079ffb0  adrp	x0, #0xfffffff00707f000
0xfffffff008156274: 00240891  add	x0, x0, #0x209
0xfffffff008156278: a5f80c94  bl	#0xfffffff00849450c
0xfffffff00815627c: 28708152  mov	w8, #0xb81
0xfffffff008156280: 4979ffb0  adrp	x9, #0xfffffff00707f000
0xfffffff008156284: 29dd0391  add	x9, x9, #0xf7
0xfffffff008156288: 4a79ffb0  adrp	x10, #0xfffffff00707f000
0xfffffff00815628c: 4a750991  add	x10, x10, #0x25d
0xfffffff008156290: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008156294: ea4f00a9  stp	x10, x19, [sp]
0xfffffff008156298: 4079ffb0  adrp	x0, #0xfffffff00707f000
0xfffffff00815629c: 00e80891  add	x0, x0, #0x23a
0xfffffff0081562a0: 9bf80c94  bl	#0xfffffff00849450c
0xfffffff0081562a4: 7f2303d5  pacibsp	
0xfffffff0081562a8: ff0303d1  sub	sp, sp, #0xc0
0xfffffff0081562ac: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff0081562b0: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff0081562b4: fdc30291  add	x29, sp, #0xb0
0xfffffff0081562b8: 34008052  mov	w20, #1
0xfffffff0081562bc: c80c8052  mov	w8, #0x66
0xfffffff0081562c0: a9b08e52  mov	w9, #0x7585
0xfffffff0081562c4: 0906b872  movk	w9, #0xc030, lsl #16
