; Candidate 15740
; ADRP+ADD at VM 0xfffffff009cf4c40 (fileoff 0x2cf0c40): page=0x6c7000 add_imm=0xd80

0xfffffff009cf4bc0: 00008052  mov	w0, #0
0xfffffff009cf4bc4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009cf4bc8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009cf4bcc: ff0f5fd6  retab	
0xfffffff009cf4bd0: 40008052  mov	w0, #2
0xfffffff009cf4bd4: fcffff17  b	#0xfffffff009cf4bc4
0xfffffff009cf4bd8: 5f2403d5  bti	c
0xfffffff009cf4bdc: c6be9717  b	#0xfffffff0082e46f4
0xfffffff009cf4be0: 5f2403d5  bti	c
0xfffffff009cf4be4: 00304e39  ldrb	w0, [x0, #0x38c]
0xfffffff009cf4be8: c0035fd6  ret	
0xfffffff009cf4bec: 7f2303d5  pacibsp	
0xfffffff009cf4bf0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009cf4bf4: fd030091  mov	x29, sp
0xfffffff009cf4bf8: 203600f0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009cf4bfc: 00003691  add	x0, x0, #0xd80
0xfffffff009cf4c00: 61cbfef0  adrp	x1, #0xfffffff007663000
0xfffffff009cf4c04: 21d41e91  add	x1, x1, #0x7b5
0xfffffff009cf4c08: 4200ffd0  adrp	x2, #0xfffffff007cfe000
0xfffffff009cf4c0c: 42e843f9  ldr	x2, [x2, #0x7d0]
0xfffffff009cf4c10: 03788052  mov	w3, #0x3c0
0xfffffff009cf4c14: c9bb9797  bl	#0xfffffff0082e3b38
0xfffffff009cf4c18: 7000ffb0  adrp	x16, #0xfffffff007d01000
0xfffffff009cf4c1c: 10221791  add	x16, x16, #0x5c8
0xfffffff009cf4c20: 10420091  add	x16, x16, #0x10
0xfffffff009cf4c24: f10300aa  mov	x17, x0
0xfffffff009cf4c28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf4c2c: 300ac1da  pacda	x16, x17
0xfffffff009cf4c30: 100000f9  str	x16, [x0]
0xfffffff009cf4c34: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009cf4c38: ff0f5fd6  retab	
0xfffffff009cf4c3c: 5f2403d5  bti	c
0xfffffff009cf4c40: 203600f0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009cf4c44: 00003691  add	x0, x0, #0xd80
0xfffffff009cf4c48: abbe9717  b	#0xfffffff0082e46f4
0xfffffff009cf4c4c: 7f2303d5  pacibsp	
0xfffffff009cf4c50: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009cf4c54: fd030091  mov	x29, sp
0xfffffff009cf4c58: 61cbfef0  adrp	x1, #0xfffffff007663000
0xfffffff009cf4c5c: 217c3491  add	x1, x1, #0xd1f
0xfffffff009cf4c60: 223600f0  adrp	x2, #0xfffffff00a3bb000
0xfffffff009cf4c64: 42003691  add	x2, x2, #0xd80
0xfffffff009cf4c68: 03798052  mov	w3, #0x3c8
0xfffffff009cf4c6c: b3bb9797  bl	#0xfffffff0082e3b38
0xfffffff009cf4c70: 7000ffb0  adrp	x16, #0xfffffff007d01000
0xfffffff009cf4c74: 10623891  add	x16, x16, #0xe18
0xfffffff009cf4c78: 10420091  add	x16, x16, #0x10
0xfffffff009cf4c7c: f10300aa  mov	x17, x0
0xfffffff009cf4c80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf4c84: 300ac1da  pacda	x16, x17
0xfffffff009cf4c88: 100000f9  str	x16, [x0]
0xfffffff009cf4c8c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009cf4c90: ff0f5fd6  retab	
0xfffffff009cf4c94: 5f2403d5  bti	c
0xfffffff009cf4c98: 97be9717  b	#0xfffffff0082e46f4
0xfffffff009cf4c9c: 7f2303d5  pacibsp	
0xfffffff009cf4ca0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009cf4ca4: fd030091  mov	x29, sp
0xfffffff009cf4ca8: 4fe8ff97  bl	#0xfffffff009ceede4
0xfffffff009cf4cac: 7000ffb0  adrp	x16, #0xfffffff007d01000
0xfffffff009cf4cb0: 10821991  add	x16, x16, #0x660
0xfffffff009cf4cb4: 10420091  add	x16, x16, #0x10
0xfffffff009cf4cb8: f10300aa  mov	x17, x0
0xfffffff009cf4cbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
