; Candidate 13228
; ADRP+ADD at VM 0xfffffff00923824c (fileoff 0x223424c): page=0x1fe27c000 add_imm=0xd19

0xfffffff0092381cc: c9b88052  mov	w9, #0x5c6
0xfffffff0092381d0: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff0092381d4: e80300f9  str	x8, [sp]
0xfffffff0092381d8: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff0092381dc: 007c0c91  add	x0, x0, #0x31f
0xfffffff0092381e0: cb70c997  bl	#0xfffffff00849450c
0xfffffff0092381e4: 7f2303d5  pacibsp	
0xfffffff0092381e8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0092381ec: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0092381f0: fd830091  add	x29, sp, #0x20
0xfffffff0092381f4: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff0092381f8: 0add2591  add	x10, x8, #0x977
0xfffffff0092381fc: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff009238200: 08913891  add	x8, x8, #0xe24
0xfffffff009238204: 69c28052  mov	w9, #0x613
0xfffffff009238208: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00923820c: e80300f9  str	x8, [sp]
0xfffffff009238210: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff009238214: 007c0c91  add	x0, x0, #0x31f
0xfffffff009238218: bd70c997  bl	#0xfffffff00849450c
0xfffffff00923821c: 7f2303d5  pacibsp	
0xfffffff009238220: ffc300d1  sub	sp, sp, #0x30
0xfffffff009238224: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009238228: fd830091  add	x29, sp, #0x20
0xfffffff00923822c: 08004039  ldrb	w8, [x0]
0xfffffff009238230: 290040f9  ldr	x9, [x1]
0xfffffff009238234: 291140b9  ldr	w9, [x9, #0x10]
0xfffffff009238238: 6ac48052  mov	w10, #0x623
0xfffffff00923823c: cb13fff0  adrp	x11, #0xfffffff0074b3000
0xfffffff009238240: 6be93791  add	x11, x11, #0xdfa
0xfffffff009238244: eb2b01a9  stp	x11, x10, [sp, #0x10]
0xfffffff009238248: e82700a9  stp	x8, x9, [sp]
0xfffffff00923824c: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff009238250: 00643491  add	x0, x0, #0xd19
0xfffffff009238254: ae70c997  bl	#0xfffffff00849450c
0xfffffff009238258: 7f2303d5  pacibsp	
0xfffffff00923825c: ffc300d1  sub	sp, sp, #0x30
0xfffffff009238260: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009238264: fd830091  add	x29, sp, #0x20
0xfffffff009238268: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff00923826c: 0a7d2591  add	x10, x8, #0x95f
0xfffffff009238270: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff009238274: 08913891  add	x8, x8, #0xe24
0xfffffff009238278: 49c28052  mov	w9, #0x612
0xfffffff00923827c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009238280: e80300f9  str	x8, [sp]
0xfffffff009238284: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff009238288: 007c0c91  add	x0, x0, #0x31f
0xfffffff00923828c: a070c997  bl	#0xfffffff00849450c
0xfffffff009238290: 7f2303d5  pacibsp	
0xfffffff009238294: ffc300d1  sub	sp, sp, #0x30
0xfffffff009238298: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00923829c: fd830091  add	x29, sp, #0x20
0xfffffff0092382a0: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff0092382a4: 0add2591  add	x10, x8, #0x977
0xfffffff0092382a8: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff0092382ac: 08913b91  add	x8, x8, #0xee4
0xfffffff0092382b0: 29cc8052  mov	w9, #0x661
0xfffffff0092382b4: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff0092382b8: e80300f9  str	x8, [sp]
0xfffffff0092382bc: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff0092382c0: 007c0c91  add	x0, x0, #0x31f
0xfffffff0092382c4: 9270c997  bl	#0xfffffff00849450c
0xfffffff0092382c8: 7f2303d5  pacibsp	
