; Candidate 2525
; ADRP+ADD at VM 0xfffffff0086aa44c (fileoff 0x16a644c): page=0x1ff350000 add_imm=0xd10

0xfffffff0086aa3cc: 60e100f0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086aa3d0: 00403b91  add	x0, x0, #0xed0
0xfffffff0086aa3d4: c0035fd6  ret	
0xfffffff0086aa3d8: 7f2303d5  pacibsp	
0xfffffff0086aa3dc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086aa3e0: fd030091  mov	x29, sp
0xfffffff0086aa3e4: 0154ff90  adrp	x1, #0xfffffff00712a000
0xfffffff0086aa3e8: 21a83891  add	x1, x1, #0xe2a
0xfffffff0086aa3ec: c299ffb0  adrp	x2, #0xfffffff0079e3000
0xfffffff0086aa3f0: 420047f9  ldr	x2, [x2, #0xe00]
0xfffffff0086aa3f4: 031d8052  mov	w3, #0xe8
0xfffffff0086aa3f8: d0e5f097  bl	#0xfffffff0082e3b38
0xfffffff0086aa3fc: 309affd0  adrp	x16, #0xfffffff0079f0000
0xfffffff0086aa400: 10621d91  add	x16, x16, #0x758
0xfffffff0086aa404: 10420091  add	x16, x16, #0x10
0xfffffff0086aa408: f10300aa  mov	x17, x0
0xfffffff0086aa40c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086aa410: 300ac1da  pacda	x16, x17
0xfffffff0086aa414: 100000f9  str	x16, [x0]
0xfffffff0086aa418: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086aa41c: ff0f5fd6  retab	
0xfffffff0086aa420: 5f2403d5  bti	c
0xfffffff0086aa424: 000080d2  mov	x0, #0
0xfffffff0086aa428: c0035fd6  ret	
0xfffffff0086aa42c: 5f2403d5  bti	c
0xfffffff0086aa430: e10300aa  mov	x1, x0
0xfffffff0086aa434: 809aff90  adrp	x0, #0xfffffff0079fa000
0xfffffff0086aa438: 00403491  add	x0, x0, #0xd10
0xfffffff0086aa43c: 7ff4f017  b	#0xfffffff0082e7638
0xfffffff0086aa440: 5f2403d5  bti	c
0xfffffff0086aa444: e20301aa  mov	x2, x1
0xfffffff0086aa448: e10300aa  mov	x1, x0
0xfffffff0086aa44c: 809aff90  adrp	x0, #0xfffffff0079fa000
0xfffffff0086aa450: 00403491  add	x0, x0, #0xd10
0xfffffff0086aa454: 92f4f017  b	#0xfffffff0082e769c
0xfffffff0086aa458: 7f2303d5  pacibsp	
0xfffffff0086aa45c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0086aa460: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086aa464: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086aa468: fd830091  add	x29, sp, #0x20
0xfffffff0086aa46c: f40301aa  mov	x20, x1
0xfffffff0086aa470: f30300aa  mov	x19, x0
0xfffffff0086aa474: c899ffb0  adrp	x8, #0xfffffff0079e3000
0xfffffff0086aa478: 084147f9  ldr	x8, [x8, #0xe80]
0xfffffff0086aa47c: 09010b91  add	x9, x8, #0x2c0
0xfffffff0086aa480: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff0086aa484: f10309aa  mov	x17, x9
0xfffffff0086aa488: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff0086aa48c: 11093fd7  blraa	x8, x17
0xfffffff0086aa490: e0170034  cbz	w0, #0xfffffff0086aa78c
0xfffffff0086aa494: 700240f9  ldr	x16, [x19]
0xfffffff0086aa498: f10313aa  mov	x17, x19
0xfffffff0086aa49c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086aa4a0: 301ac1da  autda	x16, x17
0xfffffff0086aa4a4: 11ae80d2  mov	x17, #0x570
0xfffffff0086aa4a8: 1002118b  add	x16, x16, x17
0xfffffff0086aa4ac: 080240f9  ldr	x8, [x16]
0xfffffff0086aa4b0: e90310aa  mov	x9, x16
0xfffffff0086aa4b4: f00308aa  mov	x16, x8
0xfffffff0086aa4b8: f10309aa  mov	x17, x9
0xfffffff0086aa4bc: b1bcf2f2  movk	x17, #0x95e5, lsl #48
0xfffffff0086aa4c0: 3012c1da  autia	x16, x17
0xfffffff0086aa4c4: f10310aa  mov	x17, x16
0xfffffff0086aa4c8: f143c1da  xpaci	x17
