; Candidate 7367
; ADRP+ADD at VM 0xfffffff00886a59c (fileoff 0x186659c): page=0x1fe97f000 add_imm=0xe80

0xfffffff00886a51c: 17020034  cbz	w23, #0xfffffff00886a55c
0xfffffff00886a520: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00886a524: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00886a528: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00886a52c: 284dfff0  adrp	x8, #0xfffffff007211000
0xfffffff00886a530: 09012691  add	x9, x8, #0x980
0xfffffff00886a534: e84dffb0  adrp	x8, #0xfffffff007227000
0xfffffff00886a538: 08811191  add	x8, x8, #0x460
0xfffffff00886a53c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886a540: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00886a544: 680c8052  mov	w8, #0x63
0xfffffff00886a548: 404dff90  adrp	x0, #0xfffffff007212000
0xfffffff00886a54c: 00701b91  add	x0, x0, #0x6dc
0xfffffff00886a550: f62300a9  stp	x22, x8, [sp]
0xfffffff00886a554: c333d597  bl	#0xfffffff007db7460
0xfffffff00886a558: 19000014  b	#0xfffffff00886a5bc
0xfffffff00886a55c: 14270194  bl	#0xfffffff0088b41ac
0xfffffff00886a560: f60300aa  mov	x22, x0
0xfffffff00886a564: 00018052  mov	w0, #8
0xfffffff00886a568: ba440094  bl	#0xfffffff00887b850
0xfffffff00886a56c: e80315aa  mov	x8, x21
0xfffffff00886a570: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00886a574: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00886a578: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00886a57c: 284dfff0  adrp	x8, #0xfffffff007211000
0xfffffff00886a580: 0a012691  add	x10, x8, #0x980
0xfffffff00886a584: e84dffb0  adrp	x8, #0xfffffff007227000
0xfffffff00886a588: 08811191  add	x8, x8, #0x460
0xfffffff00886a58c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00886a590: 680c8052  mov	w8, #0x63
0xfffffff00886a594: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886a598: f60300f9  str	x22, [sp]
0xfffffff00886a59c: e04bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886a5a0: 00003a91  add	x0, x0, #0xe80
0xfffffff00886a5a4: e18cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00886a5a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886a5ac: 634fffb0  adrp	x3, #0xfffffff007257000
0xfffffff00886a5b0: 63a02991  add	x3, x3, #0xa68
0xfffffff00886a5b4: 02008052  mov	w2, #0
0xfffffff00886a5b8: de22eb97  bl	#0xfffffff008333130
0xfffffff00886a5bc: e00315aa  mov	x0, x21
0xfffffff00886a5c0: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff00886a5c4: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff00886a5c8: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff00886a5cc: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff00886a5d0: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff00886a5d4: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff00886a5d8: ff430391  add	sp, sp, #0xd0
0xfffffff00886a5dc: ff0f5fd6  retab	
0xfffffff00886a5e0: 7f2303d5  pacibsp	
0xfffffff00886a5e4: ff8304d1  sub	sp, sp, #0x120
0xfffffff00886a5e8: fc6f0ca9  stp	x28, x27, [sp, #0xc0]
0xfffffff00886a5ec: fa670da9  stp	x26, x25, [sp, #0xd0]
0xfffffff00886a5f0: f85f0ea9  stp	x24, x23, [sp, #0xe0]
0xfffffff00886a5f4: f6570fa9  stp	x22, x21, [sp, #0xf0]
0xfffffff00886a5f8: f44f10a9  stp	x20, x19, [sp, #0x100]
0xfffffff00886a5fc: fd7b11a9  stp	x29, x30, [sp, #0x110]
0xfffffff00886a600: fd430491  add	x29, sp, #0x110
0xfffffff00886a604: f40301aa  mov	x20, x1
0xfffffff00886a608: f30300aa  mov	x19, x0
0xfffffff00886a60c: 600c8052  mov	w0, #0x63
0xfffffff00886a610: a1008052  mov	w1, #5
0xfffffff00886a614: 6f440094  bl	#0xfffffff00887b7d0
0xfffffff00886a618: a0050034  cbz	w0, #0xfffffff00886a6cc
