; Candidate 8613
; ADRP+ADD at VM 0xfffffff0088b7954 (fileoff 0x18b3954): page=0x1fe932000 add_imm=0xe80

0xfffffff0088b78d4: d10fff97  bl	#0xfffffff00887b818
0xfffffff0088b78d8: f50300aa  mov	x21, x0
0xfffffff0088b78dc: 34f2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b78e0: f40300aa  mov	x20, x0
0xfffffff0088b78e4: e0008052  mov	w0, #7
0xfffffff0088b78e8: da0fff97  bl	#0xfffffff00887b850
0xfffffff0088b78ec: 55020034  cbz	w21, #0xfffffff0088b7934
0xfffffff0088b78f0: 68f64139  ldrb	w8, [x19, #0x7d]
0xfffffff0088b78f4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b78f8: a8088052  mov	w8, #0x45
0xfffffff0088b78fc: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b7900: e04bffd0  adrp	x0, #0xfffffff007235000
0xfffffff0088b7904: 00c41b91  add	x0, x0, #0x6f1
0xfffffff0088b7908: d6fed397  bl	#0xfffffff007db7460
0xfffffff0088b790c: 1a008052  mov	w26, #0
0xfffffff0088b7910: e0031aaa  mov	x0, x26
0xfffffff0088b7914: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0088b7918: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0088b791c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0088b7920: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0088b7924: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0088b7928: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff0088b792c: ff830291  add	sp, sp, #0xa0
0xfffffff0088b7930: ff0f5fd6  retab	
0xfffffff0088b7934: 1ef2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b7938: f40300aa  mov	x20, x0
0xfffffff0088b793c: e0008052  mov	w0, #7
0xfffffff0088b7940: c40fff97  bl	#0xfffffff00887b850
0xfffffff0088b7944: 68f64139  ldrb	w8, [x19, #0x7d]
0xfffffff0088b7948: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b794c: a8088052  mov	w8, #0x45
0xfffffff0088b7950: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b7954: 8049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b7958: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b795c: 818affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b7960: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b7964: 634dffd0  adrp	x3, #0xfffffff007265000
0xfffffff0088b7968: 636c0e91  add	x3, x3, #0x39b
0xfffffff0088b796c: 02008052  mov	w2, #0
0xfffffff0088b7970: f0ede997  bl	#0xfffffff008333130
0xfffffff0088b7974: 1a008052  mov	w26, #0
0xfffffff0088b7978: e6ffff17  b	#0xfffffff0088b7910
0xfffffff0088b797c: 0cf2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b7980: f60300aa  mov	x22, x0
0xfffffff0088b7984: e0008052  mov	w0, #7
0xfffffff0088b7988: b20fff97  bl	#0xfffffff00887b850
0xfffffff0088b798c: 68fa4139  ldrb	w8, [x19, #0x7e]
0xfffffff0088b7990: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b7994: a8088052  mov	w8, #0x45
0xfffffff0088b7998: f62300a9  stp	x22, x8, [sp]
0xfffffff0088b799c: 8049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b79a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b79a4: 818affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b79a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b79ac: 634dffd0  adrp	x3, #0xfffffff007265000
0xfffffff0088b79b0: 63380f91  add	x3, x3, #0x3ce
0xfffffff0088b79b4: 02008052  mov	w2, #0
0xfffffff0088b79b8: deede997  bl	#0xfffffff008333130
0xfffffff0088b79bc: 5c200034  cbz	w28, #0xfffffff0088b7dc4
0xfffffff0088b79c0: 160080d2  mov	x22, #0
0xfffffff0088b79c4: 79420291  add	x25, x19, #0x90
0xfffffff0088b79c8: b7088052  mov	w23, #0x45
0xfffffff0088b79cc: 3800c0d2  mov	x24, #0x100000000
0xfffffff0088b79d0: 811f0012  and	w1, w28, #0xff
