; Candidate 13983
; ADRP+ADD at VM 0xfffffff00969576c (fileoff 0x269176c): page=0x1fe5a9000 add_imm=0xce0

0xfffffff0096956ec: a06700b0  adrp	x0, #0xfffffff00a38a000
0xfffffff0096956f0: 00a03491  add	x0, x0, #0xd28
0xfffffff0096956f4: c0035fd6  ret	
0xfffffff0096956f8: 7f2303d5  pacibsp	
0xfffffff0096956fc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009695700: fd030091  mov	x29, sp
0xfffffff009695704: a1f7fef0  adrp	x1, #0xfffffff00758c000
0xfffffff009695708: 21680691  add	x1, x1, #0x19a
0xfffffff00969570c: 022cffb0  adrp	x2, #0xfffffff007c16000
0xfffffff009695710: 428442f9  ldr	x2, [x2, #0x508]
0xfffffff009695714: 03a88052  mov	w3, #0x540
0xfffffff009695718: 0839b197  bl	#0xfffffff0082e3b38
0xfffffff00969571c: 102cffd0  adrp	x16, #0xfffffff007c17000
0xfffffff009695720: 10822b91  add	x16, x16, #0xae0
0xfffffff009695724: 10420091  add	x16, x16, #0x10
0xfffffff009695728: f10300aa  mov	x17, x0
0xfffffff00969572c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009695730: 300ac1da  pacda	x16, x17
0xfffffff009695734: 100000f9  str	x16, [x0]
0xfffffff009695738: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00969573c: ff0f5fd6  retab	
0xfffffff009695740: 5f2403d5  bti	c
0xfffffff009695744: 000080d2  mov	x0, #0
0xfffffff009695748: c0035fd6  ret	
0xfffffff00969574c: 5f2403d5  bti	c
0xfffffff009695750: e10300aa  mov	x1, x0
0xfffffff009695754: 402dffb0  adrp	x0, #0xfffffff007c3e000
0xfffffff009695758: 00803391  add	x0, x0, #0xce0
0xfffffff00969575c: b747b117  b	#0xfffffff0082e7638
0xfffffff009695760: 5f2403d5  bti	c
0xfffffff009695764: e20301aa  mov	x2, x1
0xfffffff009695768: e10300aa  mov	x1, x0
0xfffffff00969576c: 402dffb0  adrp	x0, #0xfffffff007c3e000
0xfffffff009695770: 00803391  add	x0, x0, #0xce0
0xfffffff009695774: ca47b117  b	#0xfffffff0082e769c
0xfffffff009695778: 7f2303d5  pacibsp	
0xfffffff00969577c: ff0303d1  sub	sp, sp, #0xc0
0xfffffff009695780: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff009695784: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff009695788: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff00969578c: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff009695790: fdc30291  add	x29, sp, #0xb0
0xfffffff009695794: f40301aa  mov	x20, x1
0xfffffff009695798: f30300aa  mov	x19, x0
0xfffffff00969579c: 082cffb0  adrp	x8, #0xfffffff007c16000
0xfffffff0096957a0: 08b542f9  ldr	x8, [x8, #0x568]
0xfffffff0096957a4: 080140f9  ldr	x8, [x8]
0xfffffff0096957a8: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff0096957ac: 100040f9  ldr	x16, [x0]
0xfffffff0096957b0: f10300aa  mov	x17, x0
0xfffffff0096957b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096957b8: 301ac1da  autda	x16, x17
0xfffffff0096957bc: 113d80d2  mov	x17, #0x1e8
0xfffffff0096957c0: 1002118b  add	x16, x16, x17
0xfffffff0096957c4: 080240f9  ldr	x8, [x16]
0xfffffff0096957c8: e90310aa  mov	x9, x16
0xfffffff0096957cc: 010080d2  mov	x1, #0
0xfffffff0096957d0: f10309aa  mov	x17, x9
0xfffffff0096957d4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0096957d8: 11093fd7  blraa	x8, x17
0xfffffff0096957dc: b6f7fef0  adrp	x22, #0xfffffff00758c000
0xfffffff0096957e0: d61e0291  add	x22, x22, #0x87
0xfffffff0096957e4: e05b00a9  stp	x0, x22, [sp]
0xfffffff0096957e8: a0f7fef0  adrp	x0, #0xfffffff00758c000
