; Candidate 12642
; ADRP+ADD at VM 0xfffffff0090dee70 (fileoff 0x20dae70): page=0x1fe390000 add_imm=0xce3

0xfffffff0090dedf0: 0031949a  csel	x0, x8, x20, lo
0xfffffff0090dedf4: 01640094  bl	#0xfffffff0090f7df8
0xfffffff0090dedf8: b59100d0  adrp	x21, #0xfffffff00a314000
0xfffffff0090dedfc: b5e21691  add	x21, x21, #0x5b8
0xfffffff0090dee00: 681cffd0  adrp	x8, #0xfffffff00746c000
0xfffffff0090dee04: 08212c91  add	x8, x8, #0xb08
0xfffffff0090dee08: 761cffd0  adrp	x22, #0xfffffff00746c000
0xfffffff0090dee0c: d6522c91  add	x22, x22, #0xb14
0xfffffff0090dee10: a90240f9  ldr	x9, [x21]
0xfffffff0090dee14: 3f0100f1  cmp	x9, #0
0xfffffff0090dee18: d702889a  csel	x23, x22, x8, eq
0xfffffff0090dee1c: 681cffd0  adrp	x8, #0xfffffff00746c000
0xfffffff0090dee20: 08552c91  add	x8, x8, #0xb15
0xfffffff0090dee24: d802889a  csel	x24, x22, x8, eq
0xfffffff0090dee28: 603f0094  bl	#0xfffffff0090eeba8
0xfffffff0090dee2c: 681cffd0  adrp	x8, #0xfffffff00746c000
0xfffffff0090dee30: 08852c91  add	x8, x8, #0xb21
0xfffffff0090dee34: a90240f9  ldr	x9, [x21]
0xfffffff0090dee38: 3f0100f1  cmp	x9, #0
0xfffffff0090dee3c: c802889a  csel	x8, x22, x8, eq
0xfffffff0090dee40: a9835cf8  ldur	x9, [x29, #-0x38]
0xfffffff0090dee44: 3f0900f1  cmp	x9, #2
0xfffffff0090dee48: 2a31949a  csel	x10, x9, x20, lo
0xfffffff0090dee4c: ea2306a9  stp	x10, x8, [sp, #0x60]
0xfffffff0090dee50: e95305a9  stp	x9, x20, [sp, #0x50]
0xfffffff0090dee54: e02304a9  stp	x0, x8, [sp, #0x40]
0xfffffff0090dee58: c8fc8252  mov	w8, #0x17e6
0xfffffff0090dee5c: e86303a9  stp	x8, x24, [sp, #0x30]
0xfffffff0090dee60: f65b02a9  stp	x22, x22, [sp, #0x20]
0xfffffff0090dee64: 681cffd0  adrp	x8, #0xfffffff00746c000
0xfffffff0090dee68: 08dd2b91  add	x8, x8, #0xaf7
0xfffffff0090dee6c: f65b01a9  stp	x22, x22, [sp, #0x10]
0xfffffff0090dee70: 801cff90  adrp	x0, #0xfffffff00746e000
0xfffffff0090dee74: 008c3391  add	x0, x0, #0xce3
0xfffffff0090dee78: f70700f9  str	x23, [sp, #8]
0xfffffff0090dee7c: e80300f9  str	x8, [sp]
0xfffffff0090dee80: 68e0c997  bl	#0xfffffff008357020
0xfffffff0090dee84: 01008052  mov	w1, #0
0xfffffff0090dee88: 220a0094  bl	#0xfffffff0090e1710
0xfffffff0090dee8c: e00313aa  mov	x0, x19
0xfffffff0090dee90: 420c0094  bl	#0xfffffff0090e1f98
0xfffffff0090dee94: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff0090dee98: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff0090dee9c: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0090deea0: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0090deea4: ff430391  add	sp, sp, #0xd0
0xfffffff0090deea8: ff0f5fd6  retab	
0xfffffff0090deeac: 7f2303d5  pacibsp	
0xfffffff0090deeb0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0090deeb4: fd030091  mov	x29, sp
0xfffffff0090deeb8: 08a440f9  ldr	x8, [x0, #0x148]
0xfffffff0090deebc: 080300b5  cbnz	x8, #0xfffffff0090def1c
0xfffffff0090deec0: 3dfdff97  bl	#0xfffffff0090de3b4
0xfffffff0090deec4: e0020034  cbz	w0, #0xfffffff0090def20
0xfffffff0090deec8: a89100d0  adrp	x8, #0xfffffff00a314000
0xfffffff0090deecc: 08c542f9  ldr	x8, [x8, #0x588]
0xfffffff0090deed0: 00b940f9  ldr	x0, [x8, #0x170]
0xfffffff0090deed4: 100040f9  ldr	x16, [x0]
0xfffffff0090deed8: f10300aa  mov	x17, x0
0xfffffff0090deedc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090deee0: 301ac1da  autda	x16, x17
0xfffffff0090deee4: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0090deee8: e90310aa  mov	x9, x16
0xfffffff0090deeec: 10000090  adrp	x16, #0xfffffff0090de000
