; Candidate 16358
; ADRP+ADD at VM 0xfffffff009e6d540 (fileoff 0x2e69540): page=0x1fd9c2000 add_imm=0xe0e

0xfffffff009e6d4c0: e82700a9  stp	x8, x9, [sp]
0xfffffff009e6d4c4: 00490094  bl	#0xfffffff009e7f8c4
0xfffffff009e6d4c8: 48588052  mov	w8, #0x2c2
0xfffffff009e6d4cc: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff009e6d4d0: e82f02b9  str	w8, [sp, #0x22c]
0xfffffff009e6d4d4: f81341f9  ldr	x24, [sp, #0x220]
0xfffffff009e6d4d8: 99018852  mov	w25, #0x400c
0xfffffff009e6d4dc: 1901bc72  movk	w25, #0xe008, lsl #16
0xfffffff009e6d4e0: b00240f9  ldr	x16, [x21]
0xfffffff009e6d4e4: f10315aa  mov	x17, x21
0xfffffff009e6d4e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009e6d4ec: 301ac1da  autda	x16, x17
0xfffffff009e6d4f0: 118680d2  mov	x17, #0x430
0xfffffff009e6d4f4: 1002118b  add	x16, x16, x17
0xfffffff009e6d4f8: 080240f9  ldr	x8, [x16]
0xfffffff009e6d4fc: e90310aa  mov	x9, x16
0xfffffff009e6d500: 21070011  add	w1, w25, #1
0xfffffff009e6d504: e00315aa  mov	x0, x21
0xfffffff009e6d508: e20318aa  mov	x2, x24
0xfffffff009e6d50c: 030080d2  mov	x3, #0
0xfffffff009e6d510: f10309aa  mov	x17, x9
0xfffffff009e6d514: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff009e6d518: 11093fd7  blraa	x8, x17
0xfffffff009e6d51c: f6feff17  b	#0xfffffff009e6d0f4
0xfffffff009e6d520: 896640f9  ldr	x9, [x20, #0xc8]
0xfffffff009e6d524: 2a8942f9  ldr	x10, [x9, #0x510]
0xfffffff009e6d528: f9a301a9  stp	x25, x8, [sp, #0x18]
0xfffffff009e6d52c: 08cefed0  adrp	x8, #0xfffffff00782f000
0xfffffff009e6d530: 08f93791  add	x8, x8, #0xdfe
0xfffffff009e6d534: 69628252  mov	w9, #0x1313
0xfffffff009e6d538: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009e6d53c: e80300f9  str	x8, [sp]
0xfffffff009e6d540: 00cefed0  adrp	x0, #0xfffffff00782f000
0xfffffff009e6d544: 00383891  add	x0, x0, #0xe0e
0xfffffff009e6d548: df480094  bl	#0xfffffff009e7f8c4
0xfffffff009e6d54c: 48588052  mov	w8, #0x2c2
0xfffffff009e6d550: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff009e6d554: e7feff17  b	#0xfffffff009e6d0f0
0xfffffff009e6d558: e01f41f9  ldr	x0, [sp, #0x238]
0xfffffff009e6d55c: 196040f9  ldr	x25, [x0, #0xc0]
0xfffffff009e6d560: e8430c91  add	x8, sp, #0x310
0xfffffff009e6d564: 884f00f9  str	x8, [x28, #0x98]
0xfffffff009e6d568: 08068052  mov	w8, #0x30
0xfffffff009e6d56c: eab35fa9  ldp	x10, x12, [sp, #0x1f8]
0xfffffff009e6d570: 5c65089b  madd	x28, x10, x8, x25
0xfffffff009e6d574: 890f43f8  ldr	x9, [x28, #0x30]!
0xfffffff009e6d578: e92f01f9  str	x9, [sp, #0x258]
0xfffffff009e6d57c: 3f010ceb  cmp	x9, x12
0xfffffff009e6d580: 21030054  b.ne	#0xfffffff009e6d5e4
0xfffffff009e6d584: f8ef00f9  str	x24, [sp, #0x1d8]
0xfffffff009e6d588: ae260394  bl	#0xfffffff009f37040
0xfffffff009e6d58c: e80341f9  ldr	x8, [sp, #0x200]
0xfffffff009e6d590: e9fb40f9  ldr	x9, [sp, #0x1f0]
0xfffffff009e6d594: 1f0109eb  cmp	x8, x9
0xfffffff009e6d598: f81341f9  ldr	x24, [sp, #0x220]
0xfffffff009e6d59c: 99018852  mov	w25, #0x400c
0xfffffff009e6d5a0: 1901bc72  movk	w25, #0xe008, lsl #16
0xfffffff009e6d5a4: 1ccefed0  adrp	x28, #0xfffffff00782f000
0xfffffff009e6d5a8: 9cfb3791  add	x28, x28, #0xdfe
0xfffffff009e6d5ac: a8f9ff54  b.hi	#0xfffffff009e6d4e0
0xfffffff009e6d5b0: 886240f9  ldr	x8, [x20, #0xc0]
0xfffffff009e6d5b4: 082540b9  ldr	w8, [x8, #0x24]
0xfffffff009e6d5b8: faf740f9  ldr	x26, [sp, #0x1e8]
0xfffffff009e6d5bc: 417f089b  mul	x1, x26, x8
