; Candidate 1040
; ADRP+ADD at VM 0xfffffff0081b9018 (fileoff 0x11b5018): page=0x1feeca000 add_imm=0xce2

0xfffffff0081b8f98: e00313aa  mov	x0, x19
0xfffffff0081b8f9c: 01008052  mov	w1, #0
0xfffffff0081b8fa0: 02008052  mov	w2, #0
0xfffffff0081b8fa4: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0081b8fa8: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0081b8fac: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0081b8fb0: ff430191  add	sp, sp, #0x50
0xfffffff0081b8fb4: ff2303d5  autibsp	
0xfffffff0081b8fb8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0081b8fbc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0081b8fc4
0xfffffff0081b8fc0: 208e38d4  brk	#0xc471
0xfffffff0081b8fc4: dd2cf017  b	#0xfffffff007dc4338
0xfffffff0081b8fc8: 68b88052  mov	w8, #0x5c3
0xfffffff0081b8fcc: 4976fff0  adrp	x9, #0xfffffff007083000
0xfffffff0081b8fd0: 29d93291  add	x9, x9, #0xcb6
0xfffffff0081b8fd4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0081b8fd8: e02300a9  stp	x0, x8, [sp]
0xfffffff0081b8fdc: e076ffd0  adrp	x0, #0xfffffff007096000
0xfffffff0081b8fe0: 00502c91  add	x0, x0, #0xb14
0xfffffff0081b8fe4: 4a6d0b94  bl	#0xfffffff00849450c
0xfffffff0081b8fe8: 68b88052  mov	w8, #0x5c3
0xfffffff0081b8fec: 4976fff0  adrp	x9, #0xfffffff007083000
0xfffffff0081b8ff0: 29d93291  add	x9, x9, #0xcb6
0xfffffff0081b8ff4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0081b8ff8: e02300a9  stp	x0, x8, [sp]
0xfffffff0081b8ffc: e076ffd0  adrp	x0, #0xfffffff007096000
0xfffffff0081b9000: 00982b91  add	x0, x0, #0xae6
0xfffffff0081b9004: 426d0b94  bl	#0xfffffff00849450c
0xfffffff0081b9008: 4876ffd0  adrp	x8, #0xfffffff007083000
0xfffffff0081b900c: 08d93291  add	x8, x8, #0xcb6
0xfffffff0081b9010: 29bb8052  mov	w9, #0x5d9
0xfffffff0081b9014: e82700a9  stp	x8, x9, [sp]
0xfffffff0081b9018: 4076ffd0  adrp	x0, #0xfffffff007083000
0xfffffff0081b901c: 00883391  add	x0, x0, #0xce2
0xfffffff0081b9020: 3b6d0b94  bl	#0xfffffff00849450c
0xfffffff0081b9024: 7f2303d5  pacibsp	
0xfffffff0081b9028: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0081b902c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0081b9030: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0081b9034: fd830091  add	x29, sp, #0x20
0xfffffff0081b9038: f30301aa  mov	x19, x1
0xfffffff0081b903c: f40300aa  mov	x20, x0
0xfffffff0081b9040: 090440f9  ldr	x9, [x0, #8]
0xfffffff0081b9044: 280440f9  ldr	x8, [x1, #8]
0xfffffff0081b9048: 3f0108eb  cmp	x9, x8
0xfffffff0081b904c: 01010054  b.ne	#0xfffffff0081b906c
0xfffffff0081b9050: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0081b9054: 080500b1  adds	x8, x8, #1
0xfffffff0081b9058: 0900f0d2  mov	x9, #-0x8000000000000000
0xfffffff0081b905c: 2821889a  csel	x8, x9, x8, hs
0xfffffff0081b9060: 880600f9  str	x8, [x20, #8]
0xfffffff0081b9064: 741a00f9  str	x20, [x19, #0x30]
0xfffffff0081b9068: 26000014  b	#0xfffffff0081b9100
0xfffffff0081b906c: 890a40f9  ldr	x9, [x20, #0x10]
0xfffffff0081b9070: 3f0500b1  cmn	x9, #1
0xfffffff0081b9074: 0a00f092  mov	x10, #0x7fffffffffffffff
0xfffffff0081b9078: 4901899a  csel	x9, x10, x9, eq
0xfffffff0081b907c: 6b0a40f9  ldr	x11, [x19, #0x10]
0xfffffff0081b9080: 7f0500b1  cmn	x11, #1
0xfffffff0081b9084: 4a018b9a  csel	x10, x10, x11, eq
0xfffffff0081b9088: 3f010aeb  cmp	x9, x10
0xfffffff0081b908c: c1000054  b.ne	#0xfffffff0081b90a4
0xfffffff0081b9090: 080500d1  sub	x8, x8, #1
0xfffffff0081b9094: 880a00f9  str	x8, [x20, #0x10]
