; Candidate 16362
; ADRP+ADD at VM 0xfffffff009e70bfc (fileoff 0x2e6cbfc): page=0x1fd9cf000 add_imm=0xdaf

0xfffffff009e70b7c: 80cffef0  adrp	x0, #0xfffffff007863000
0xfffffff009e70b80: 00681291  add	x0, x0, #0x49a
0xfffffff009e70b84: 503b0094  bl	#0xfffffff009e7f8c4
0xfffffff009e70b88: e1e740f9  ldr	x1, [sp, #0x1c8]
0xfffffff009e70b8c: e80301cb  neg	x8, x1
0xfffffff009e70b90: 292b0090  adrp	x9, #0xfffffff00a3d4000
0xfffffff009e70b94: 29212a91  add	x9, x9, #0xa88
0xfffffff009e70b98: 280128f8  ldadd	x8, x8, [x9]
0xfffffff009e70b9c: e0031caa  mov	x0, x28
0xfffffff009e70ba0: 78989397  bl	#0xfffffff008356d80
0xfffffff009e70ba4: e06fc03d  ldr	q0, [sp, #0x1b0]
0xfffffff009e70ba8: e153c03d  ldr	q1, [sp, #0x140]
0xfffffff009e70bac: 2004186e  mov	v0.d[1], v1.d[0]
0xfffffff009e70bb0: e06f803d  str	q0, [sp, #0x1b0]
0xfffffff009e70bb4: 888e40f9  ldr	x8, [x20, #0x118]
0xfffffff009e70bb8: e8e700f9  str	x8, [sp, #0x1c8]
0xfffffff009e70bbc: 9f8e00f9  str	xzr, [x20, #0x118]
0xfffffff009e70bc0: e00314aa  mov	x0, x20
0xfffffff009e70bc4: 010080d2  mov	x1, #0
0xfffffff009e70bc8: 22008052  mov	w2, #1
0xfffffff009e70bcc: 23008052  mov	w3, #1
0xfffffff009e70bd0: b6180194  bl	#0xfffffff009eb6ea8
0xfffffff009e70bd4: f90300aa  mov	x25, x0
0xfffffff009e70bd8: a0010034  cbz	w0, #0xfffffff009e70c0c
0xfffffff009e70bdc: e8eb40f9  ldr	x8, [sp, #0x1d0]
0xfffffff009e70be0: 080140f9  ldr	x8, [x8]
0xfffffff009e70be4: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009e70be8: e86701a9  stp	x8, x25, [sp, #0x10]
0xfffffff009e70bec: e9738352  mov	w9, #0x1b9f
0xfffffff009e70bf0: 68cefef0  adrp	x8, #0xfffffff00783f000
0xfffffff009e70bf4: 083d3091  add	x8, x8, #0xc0f
0xfffffff009e70bf8: e82700a9  stp	x8, x9, [sp]
0xfffffff009e70bfc: 60cefef0  adrp	x0, #0xfffffff00783f000
0xfffffff009e70c00: 00bc3691  add	x0, x0, #0xdaf
0xfffffff009e70c04: 303b0094  bl	#0xfffffff009e7f8c4
0xfffffff009e70c08: c9f7ff17  b	#0xfffffff009e6eb2c
0xfffffff009e70c0c: e8134c39  ldrb	w8, [sp, #0x304]
0xfffffff009e70c10: a8010034  cbz	w8, #0xfffffff009e70c44
0xfffffff009e70c14: 886240f9  ldr	x8, [x20, #0xc0]
0xfffffff009e70c18: 082540b9  ldr	w8, [x8, #0x24]
0xfffffff009e70c1c: 0801c0da  rbit	x8, x8
0xfffffff009e70c20: 0811c0da  clz	x8, x8
0xfffffff009e70c24: 0900e8d2  mov	x9, #0x4000000000000000
0xfffffff009e70c28: 2125c89a  lsr	x1, x9, x8
0xfffffff009e70c2c: e00314aa  mov	x0, x20
0xfffffff009e70c30: 22008052  mov	w2, #1
0xfffffff009e70c34: 23008052  mov	w3, #1
0xfffffff009e70c38: 9c180194  bl	#0xfffffff009eb6ea8
0xfffffff009e70c3c: f90300aa  mov	x25, x0
0xfffffff009e70c40: e0fcff35  cbnz	w0, #0xfffffff009e70bdc
0xfffffff009e70c44: 886240f9  ldr	x8, [x20, #0xc0]
0xfffffff009e70c48: 013940f9  ldr	x1, [x8, #0x70]
0xfffffff009e70c4c: 086940b9  ldr	w8, [x8, #0x68]
0xfffffff009e70c50: 02794092  and	x2, x8, #0x7fffffff
0xfffffff009e70c54: 037d5fd3  ubfx	x3, x8, #0x1f, #1
0xfffffff009e70c58: e00314aa  mov	x0, x20
0xfffffff009e70c5c: 04008052  mov	w4, #0
0xfffffff009e70c60: 2d180194  bl	#0xfffffff009eb6d14
0xfffffff009e70c64: f90300aa  mov	x25, x0
0xfffffff009e70c68: a0fbff35  cbnz	w0, #0xfffffff009e70bdc
0xfffffff009e70c6c: 886240f9  ldr	x8, [x20, #0xc0]
0xfffffff009e70c70: 013d40f9  ldr	x1, [x8, #0x78]
0xfffffff009e70c74: 086d40b9  ldr	w8, [x8, #0x6c]
0xfffffff009e70c78: 02794092  and	x2, x8, #0x7fffffff
