; Candidate 8685
; ADRP+ADD at VM 0xfffffff0088bd2ac (fileoff 0x18b92ac): page=0x1fe92c000 add_imm=0xe80

0xfffffff0088bd22c: f70300aa  mov	x23, x0
0xfffffff0088bd230: dfdbff97  bl	#0xfffffff0088b41ac
0xfffffff0088bd234: f50300aa  mov	x21, x0
0xfffffff0088bd238: e0008052  mov	w0, #7
0xfffffff0088bd23c: 85f9fe97  bl	#0xfffffff00887b850
0xfffffff0088bd240: 882c8052  mov	w8, #0x164
0xfffffff0088bd244: 2853089b  madd	x8, x25, x8, x20
0xfffffff0088bd248: 18d10091  add	x24, x8, #0x34
0xfffffff0088bd24c: 882c8052  mov	w8, #0x164
0xfffffff0088bd250: 97010034  cbz	w23, #0xfffffff0088bd280
0xfffffff0088bd254: 2853089b  madd	x8, x25, x8, x20
0xfffffff0088bd258: 083940b9  ldr	w8, [x8, #0x38]
0xfffffff0088bd25c: 090340b9  ldr	w9, [x24]
0xfffffff0088bd260: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088bd264: e05b01a9  stp	x0, x22, [sp, #0x10]
0xfffffff0088bd268: 08098052  mov	w8, #0x48
0xfffffff0088bd26c: f52300a9  stp	x21, x8, [sp]
0xfffffff0088bd270: c04bffb0  adrp	x0, #0xfffffff007236000
0xfffffff0088bd274: 00c02791  add	x0, x0, #0x9f0
0xfffffff0088bd278: 7ae8d397  bl	#0xfffffff007db7460
0xfffffff0088bd27c: 14000014  b	#0xfffffff0088bd2cc
0xfffffff0088bd280: 3753089b  madd	x23, x25, x8, x20
0xfffffff0088bd284: cadbff97  bl	#0xfffffff0088b41ac
0xfffffff0088bd288: f50300aa  mov	x21, x0
0xfffffff0088bd28c: e0008052  mov	w0, #7
0xfffffff0088bd290: 70f9fe97  bl	#0xfffffff00887b850
0xfffffff0088bd294: e83a40b9  ldr	w8, [x23, #0x38]
0xfffffff0088bd298: 090340b9  ldr	w9, [x24]
0xfffffff0088bd29c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088bd2a0: e05b01a9  stp	x0, x22, [sp, #0x10]
0xfffffff0088bd2a4: 08098052  mov	w8, #0x48
0xfffffff0088bd2a8: f52300a9  stp	x21, x8, [sp]
0xfffffff0088bd2ac: 6049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088bd2b0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088bd2b4: 418afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088bd2b8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088bd2bc: 434dffb0  adrp	x3, #0xfffffff007266000
0xfffffff0088bd2c0: 630c3291  add	x3, x3, #0xc83
0xfffffff0088bd2c4: 02008052  mov	w2, #0
0xfffffff0088bd2c8: 9ad7e997  bl	#0xfffffff008333130
0xfffffff0088bd2cc: 882c8052  mov	w8, #0x164
0xfffffff0088bd2d0: 3753089b  madd	x23, x25, x8, x20
0xfffffff0088bd2d4: e14e43b8  ldr	w1, [x23, #0x34]!
0xfffffff0088bd2d8: e00313aa  mov	x0, x19
0xfffffff0088bd2dc: c5d6ff97  bl	#0xfffffff0088b2df0
0xfffffff0088bd2e0: f50300aa  mov	x21, x0
0xfffffff0088bd2e4: e0060035  cbnz	w0, #0xfffffff0088bd3c0
0xfffffff0088bd2e8: 882c8052  mov	w8, #0x164
0xfffffff0088bd2ec: 3653089b  madd	x22, x25, x8, x20
0xfffffff0088bd2f0: c18e43b8  ldr	w1, [x22, #0x38]!
0xfffffff0088bd2f4: e00313aa  mov	x0, x19
0xfffffff0088bd2f8: bed6ff97  bl	#0xfffffff0088b2df0
0xfffffff0088bd2fc: f50300aa  mov	x21, x0
0xfffffff0088bd300: 00060035  cbnz	w0, #0xfffffff0088bd3c0
0xfffffff0088bd304: e80240b9  ldr	w8, [x23]
0xfffffff0088bd308: 1f410071  cmp	w8, #0x10
0xfffffff0088bd30c: 48050054  b.hi	#0xfffffff0088bd3b4
0xfffffff0088bd310: 48020034  cbz	w8, #0xfffffff0088bd358
0xfffffff0088bd314: 180080d2  mov	x24, #0
0xfffffff0088bd318: 882c8052  mov	w8, #0x164
0xfffffff0088bd31c: 3a53089b  madd	x26, x25, x8, x20
0xfffffff0088bd320: 4807188b  add	x8, x26, x24, lsl #1
0xfffffff0088bd324: 01794079  ldrh	w1, [x8, #0x3c]
0xfffffff0088bd328: e00313aa  mov	x0, x19
