; Candidate 16500
; ADRP+ADD at VM 0xfffffff009ec79f0 (fileoff 0x2ec39f0): page=0x1fd97b000 add_imm=0xce6

0xfffffff009ec7970: e21346a9  ldp	x2, x4, [sp, #0x60]
0xfffffff009ec7974: aab8fe97  bl	#0xfffffff009e75c1c
0xfffffff009ec7978: c00a0034  cbz	w0, #0xfffffff009ec7ad0
0xfffffff009ec797c: fa0300aa  mov	x26, x0
0xfffffff009ec7980: c10640f9  ldr	x1, [x22, #8]
0xfffffff009ec7984: e80301cb  neg	x8, x1
0xfffffff009ec7988: 7c2800b0  adrp	x28, #0xfffffff00a3d4000
0xfffffff009ec798c: 9c232a91  add	x28, x28, #0xa88
0xfffffff009ec7990: 880328f8  ldadd	x8, x8, [x28]
0xfffffff009ec7994: e03340f9  ldr	x0, [sp, #0x60]
0xfffffff009ec7998: fa3c9297  bl	#0xfffffff008356d80
0xfffffff009ec799c: c10e40f9  ldr	x1, [x22, #0x18]
0xfffffff009ec79a0: e80301cb  neg	x8, x1
0xfffffff009ec79a4: 880328f8  ldadd	x8, x8, [x28]
0xfffffff009ec79a8: e03740f9  ldr	x0, [sp, #0x68]
0xfffffff009ec79ac: f53c9297  bl	#0xfffffff008356d80
0xfffffff009ec79b0: 68498152  mov	w8, #0xa4b
0xfffffff009ec79b4: e8eb00a9  stp	x8, x26, [sp, #8]
0xfffffff009ec79b8: c8cbfef0  adrp	x8, #0xfffffff007842000
0xfffffff009ec79bc: 08e11e91  add	x8, x8, #0x7b8
0xfffffff009ec79c0: e80300f9  str	x8, [sp]
0xfffffff009ec79c4: c0cbfef0  adrp	x0, #0xfffffff007842000
0xfffffff009ec79c8: 00fc3091  add	x0, x0, #0xc3f
0xfffffff009ec79cc: 06f8ff17  b	#0xfffffff009ec59e4
0xfffffff009ec79d0: 09ccfef0  adrp	x9, #0xfffffff00784a000
0xfffffff009ec79d4: 299d0691  add	x9, x9, #0x1a7
0xfffffff009ec79d8: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009ec79dc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ec79e0: aa518152  mov	w10, #0xa8d
0xfffffff009ec79e4: c8cbfef0  adrp	x8, #0xfffffff007842000
0xfffffff009ec79e8: 08e11e91  add	x8, x8, #0x7b8
0xfffffff009ec79ec: e82b00a9  stp	x8, x10, [sp]
0xfffffff009ec79f0: c0cbfef0  adrp	x0, #0xfffffff007842000
0xfffffff009ec79f4: 00983391  add	x0, x0, #0xce6
0xfffffff009ec79f8: b3dffe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec79fc: fcb341f9  ldr	x28, [sp, #0x360]
0xfffffff009ec7a00: 086340f9  ldr	x8, [x24, #0xc0]
0xfffffff009ec7a04: 08e541f9  ldr	x8, [x8, #0x3c8]
0xfffffff009ec7a08: 080200b4  cbz	x8, #0xfffffff009ec7a48
0xfffffff009ec7a0c: 1f011ceb  cmp	x8, x28
0xfffffff009ec7a10: c1010054  b.ne	#0xfffffff009ec7a48
0xfffffff009ec7a14: c8378452  mov	w8, #0x21be
0xfffffff009ec7a18: 29008052  mov	w9, #1
0xfffffff009ec7a1c: 096b2838  strb	w9, [x24, x8]
0xfffffff009ec7a20: 083e8452  mov	w8, #0x21f0
0xfffffff009ec7a24: 0803088b  add	x8, x24, x8
0xfffffff009ec7a28: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ec7a2c: e8cbfe90  adrp	x8, #0xfffffff007843000
0xfffffff009ec7a30: 08191591  add	x8, x8, #0x546
0xfffffff009ec7a34: a9048152  mov	w9, #0x825
0xfffffff009ec7a38: e82700a9  stp	x8, x9, [sp]
0xfffffff009ec7a3c: e0cbfe90  adrp	x0, #0xfffffff007843000
0xfffffff009ec7a40: 003c1491  add	x0, x0, #0x50f
0xfffffff009ec7a44: 8adffe97  bl	#0xfffffff009e7f86c
0xfffffff009ec7a48: bc0100b4  cbz	x28, #0xfffffff009ec7a7c
0xfffffff009ec7a4c: 083e8452  mov	w8, #0x21f0
0xfffffff009ec7a50: 0803088b  add	x8, x24, x8
0xfffffff009ec7a54: 6a558152  mov	w10, #0xaab
0xfffffff009ec7a58: c9cbfef0  adrp	x9, #0xfffffff007842000
0xfffffff009ec7a5c: 29e11e91  add	x9, x9, #0x7b8
0xfffffff009ec7a60: e92b00a9  stp	x9, x10, [sp]
0xfffffff009ec7a64: fc2300f9  str	x28, [sp, #0x40]
0xfffffff009ec7a68: e87301a9  stp	x8, x28, [sp, #0x10]
0xfffffff009ec7a6c: c0cbfef0  adrp	x0, #0xfffffff007842000
