; Candidate 2354
; ADRP+ADD at VM 0xfffffff00861c64c (fileoff 0x161864c): page=0x1feaed000 add_imm=0xe59

0xfffffff00861c5cc: 040080d2  mov	x4, #0
0xfffffff00861c5d0: 12170094  bl	#0xfffffff008622218
0xfffffff00861c5d4: a0060035  cbnz	w0, #0xfffffff00861c6a8
0xfffffff00861c5d8: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c5dc: 00703791  add	x0, x0, #0xddc
0xfffffff00861c5e0: f9f8ff97  bl	#0xfffffff00861a9c4
0xfffffff00861c5e4: ff0f00b9  str	wzr, [sp, #0xc]
0xfffffff00861c5e8: 62420091  add	x2, x19, #0x10
0xfffffff00861c5ec: 6157ffb0  adrp	x1, #0xfffffff007109000
0xfffffff00861c5f0: 21f83191  add	x1, x1, #0xc7e
0xfffffff00861c5f4: e4330091  add	x4, sp, #0xc
0xfffffff00861c5f8: e00315aa  mov	x0, x21
0xfffffff00861c5fc: 03ff8352  mov	w3, #0x1ff8
0xfffffff00861c600: 06170094  bl	#0xfffffff008622218
0xfffffff00861c604: f40300aa  mov	x20, x0
0xfffffff00861c608: a0010034  cbz	w0, #0xfffffff00861c63c
0xfffffff00861c60c: f40300f9  str	x20, [sp]
0xfffffff00861c610: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c614: 00043891  add	x0, x0, #0xe01
0xfffffff00861c618: 96f7ff97  bl	#0xfffffff00861a470
0xfffffff00861c61c: f40300f9  str	x20, [sp]
0xfffffff00861c620: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c624: 00643991  add	x0, x0, #0xe59
0xfffffff00861c628: e7f8ff97  bl	#0xfffffff00861a9c4
0xfffffff00861c62c: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c630: 00d43691  add	x0, x0, #0xdb5
0xfffffff00861c634: 8ff7ff97  bl	#0xfffffff00861a470
0xfffffff00861c638: 08000014  b	#0xfffffff00861c658
0xfffffff00861c63c: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff00861c640: 087d0353  lsr	w8, w8, #3
0xfffffff00861c644: 680e00b9  str	w8, [x19, #0xc]
0xfffffff00861c648: ff0300f9  str	xzr, [sp]
0xfffffff00861c64c: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c650: 00643991  add	x0, x0, #0xe59
0xfffffff00861c654: dcf8ff97  bl	#0xfffffff00861a9c4
0xfffffff00861c658: e00314aa  mov	x0, x20
0xfffffff00861c65c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00861c660: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00861c664: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00861c668: ff030191  add	sp, sp, #0x40
0xfffffff00861c66c: ff0f5fd6  retab	
0xfffffff00861c670: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c674: 00583491  add	x0, x0, #0xd16
0xfffffff00861c678: 7ef7ff97  bl	#0xfffffff00861a470
0xfffffff00861c67c: 14588052  mov	w20, #0x2c0
0xfffffff00861c680: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00861c684: f5ffff17  b	#0xfffffff00861c658
0xfffffff00861c688: f40300aa  mov	x20, x0
0xfffffff00861c68c: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c690: 00f03491  add	x0, x0, #0xd3c
0xfffffff00861c694: e8ffff17  b	#0xfffffff00861c634
0xfffffff00861c698: f40300aa  mov	x20, x0
0xfffffff00861c69c: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c6a0: 00943591  add	x0, x0, #0xd65
0xfffffff00861c6a4: e4ffff17  b	#0xfffffff00861c634
0xfffffff00861c6a8: f40300aa  mov	x20, x0
0xfffffff00861c6ac: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c6b0: 00343691  add	x0, x0, #0xd8d
0xfffffff00861c6b4: e0ffff17  b	#0xfffffff00861c634
0xfffffff00861c6b8: 5f2403d5  bti	c
0xfffffff00861c6bc: 0e20f317  b	#0xfffffff0082e46f4
0xfffffff00861c6c0: 5f2403d5  bti	c
0xfffffff00861c6c4: 00008052  mov	w0, #0
0xfffffff00861c6c8: c0035fd6  ret	
