; Candidate 16310
; ADRP+ADD at VM 0xfffffff009e51970 (fileoff 0x2e4d970): page=0x1fd9da000 add_imm=0xd81

0xfffffff009e518f0: e03b40f9  ldr	x0, [sp, #0x70]
0xfffffff009e518f4: c2737d97  bl	#0xfffffff007dae7fc
0xfffffff009e518f8: f62b40f9  ldr	x22, [sp, #0x50]
0xfffffff009e518fc: 8c000014  b	#0xfffffff009e51b2c
0xfffffff009e51900: e8274929  ldp	w8, w9, [sp, #0x48]
0xfffffff009e51904: 08011f12  and	w8, w8, #2
0xfffffff009e51908: 3605480a  and	w22, w9, w8, lsr #1
0xfffffff009e5190c: 88734239  ldrb	w8, [x28, #0x9c]
0xfffffff009e51910: fb2340f9  ldr	x27, [sp, #0x40]
0xfffffff009e51914: 880a2837  tbnz	w8, #5, #0xfffffff009e51a64
0xfffffff009e51918: 482b4079  ldrh	w8, [x26, #0x14]
0xfffffff009e5191c: 4803088b  add	x8, x26, x8
0xfffffff009e51920: 0081c23c  ldur	q0, [x8, #0x28]
0xfffffff009e51924: 0181c33c  ldur	q1, [x8, #0x38]
0xfffffff009e51928: 0281c13c  ldur	q2, [x8, #0x18]
0xfffffff009e5192c: e08706ad  stp	q0, q1, [sp, #0xd0]
0xfffffff009e51930: e233803d  str	q2, [sp, #0xc0]
0xfffffff009e51934: 80230591  add	x0, x28, #0x148
0xfffffff009e51938: e8030391  add	x8, sp, #0xc0
0xfffffff009e5193c: 03017db2  orr	x3, x8, #8
0xfffffff009e51940: 01018052  mov	w1, #8
0xfffffff009e51944: 02048052  mov	w2, #0x20
0xfffffff009e51948: 04058052  mov	w4, #0x28
0xfffffff009e5194c: 24220494  bl	#0xfffffff009f5a1dc
0xfffffff009e51950: 60090034  cbz	w0, #0xfffffff009e51a7c
0xfffffff009e51954: 083e8452  mov	w8, #0x21f0
0xfffffff009e51958: 8802088b  add	x8, x20, x8
0xfffffff009e5195c: 09348152  mov	w9, #0x9a0
0xfffffff009e51960: cacefed0  adrp	x10, #0xfffffff00782b000
0xfffffff009e51964: 4af53191  add	x10, x10, #0xc7d
0xfffffff009e51968: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e5196c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e51970: c0cefed0  adrp	x0, #0xfffffff00782b000
0xfffffff009e51974: 00043691  add	x0, x0, #0xd81
0xfffffff009e51978: d3b70094  bl	#0xfffffff009e7f8c4
0xfffffff009e5197c: ff5f00f9  str	xzr, [sp, #0xb8]
0xfffffff009e51980: 9f0f00f9  str	xzr, [x28, #0x18]
0xfffffff009e51984: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff009e51988: 9d737d97  bl	#0xfffffff007dae7fc
0xfffffff009e5198c: b7008052  mov	w23, #5
0xfffffff009e51990: f62b40f9  ldr	x22, [sp, #0x50]
0xfffffff009e51994: f33b40f9  ldr	x19, [sp, #0x70]
0xfffffff009e51998: 60000014  b	#0xfffffff009e51b18
0xfffffff009e5199c: 2aaf40f9  ldr	x10, [x25, #0x158]
0xfffffff009e519a0: 4941298b  add	x9, x10, w9, uxtw
0xfffffff009e519a4: 12ffff17  b	#0xfffffff009e515ec
0xfffffff009e519a8: e04f40f9  ldr	x0, [sp, #0x98]
0xfffffff009e519ac: 082b4079  ldrh	w8, [x24, #0x14]
0xfffffff009e519b0: 0803088b  add	x8, x24, x8
0xfffffff009e519b4: 01610091  add	x1, x8, #0x18
0xfffffff009e519b8: 082f4079  ldrh	w8, [x24, #0x16]
0xfffffff009e519bc: a90240b9  ldr	w9, [x21]
0xfffffff009e519c0: 36008052  mov	w22, #1
0xfffffff009e519c4: c922c91a  lsl	w9, w22, w9
0xfffffff009e519c8: 3f01086b  cmp	w9, w8
0xfffffff009e519cc: 28b1881a  csel	w8, w9, w8, lt
0xfffffff009e519d0: 027d4093  sxtw	x2, w8
0xfffffff009e519d4: efeb7b97  bl	#0xfffffff007d4c990
0xfffffff009e519d8: e04b40f9  ldr	x0, [sp, #0x90]
0xfffffff009e519dc: e6098f97  bl	#0xfffffff008214174
0xfffffff009e519e0: e04b40f9  ldr	x0, [sp, #0x90]
0xfffffff009e519e4: a80240b9  ldr	w8, [x21]
0xfffffff009e519e8: c222c81a  lsl	w2, w22, w8
0xfffffff009e519ec: 01008052  mov	w1, #0
