; Candidate 2579
; ADRP+ADD at VM 0xfffffff0086c28e8 (fileoff 0x16be8e8): page=0x1fea6b000 add_imm=0xe2f

0xfffffff0086c2868: 018eecf2  movk	x1, #0x6470, lsl #48
0xfffffff0086c286c: 3740f597  bl	#0xfffffff008412948
0xfffffff0086c2870: 88934839  ldrb	w8, [x28, #0x224]
0xfffffff0086c2874: 883d0035  cbnz	w8, #0xfffffff0086c3024
0xfffffff0086c2878: 887741b9  ldr	w8, [x28, #0x174]
0xfffffff0086c287c: 8802086b  subs	w8, w20, w8
0xfffffff0086c2880: 0855885a  cneg	w8, w8, mi
0xfffffff0086c2884: 1f414071  cmp	w8, #0x10, lsl #12
0xfffffff0086c2888: e33c0054  b.lo	#0xfffffff0086c3024
0xfffffff0086c288c: 88ff40b9  ldr	w8, [x28, #0xfc]
0xfffffff0086c2890: 1f190071  cmp	w8, #6
0xfffffff0086c2894: 89310054  b.ls	#0xfffffff0086c2ec4
0xfffffff0086c2898: 900340f9  ldr	x16, [x28]
0xfffffff0086c289c: f1031caa  mov	x17, x28
0xfffffff0086c28a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086c28a4: 301ac1da  autda	x16, x17
0xfffffff0086c28a8: 113d80d2  mov	x17, #0x1e8
0xfffffff0086c28ac: 1002118b  add	x16, x16, x17
0xfffffff0086c28b0: 080240f9  ldr	x8, [x16]
0xfffffff0086c28b4: e90310aa  mov	x9, x16
0xfffffff0086c28b8: e0031caa  mov	x0, x28
0xfffffff0086c28bc: 010080d2  mov	x1, #0
0xfffffff0086c28c0: f10309aa  mov	x17, x9
0xfffffff0086c28c4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086c28c8: 11093fd7  blraa	x8, x17
0xfffffff0086c28cc: 087d8052  mov	w8, #0x3e8
0xfffffff0086c28d0: 887e289b  smull	x8, w20, w8
0xfffffff0086c28d4: 14fd5093  asr	x20, x8, #0x10
0xfffffff0086c28d8: 4853fff0  adrp	x8, #0xfffffff00712d000
0xfffffff0086c28dc: 088d3291  add	x8, x8, #0xca3
0xfffffff0086c28e0: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff0086c28e4: e00300f9  str	x0, [sp]
0xfffffff0086c28e8: 4053fff0  adrp	x0, #0xfffffff00712d000
0xfffffff0086c28ec: 00bc3891  add	x0, x0, #0xe2f
0xfffffff0086c28f0: cc51f297  bl	#0xfffffff008357020
0xfffffff0086c28f4: 77010014  b	#0xfffffff0086c2ed0
0xfffffff0086c28f8: e00313aa  mov	x0, x19
0xfffffff0086c28fc: e10314aa  mov	x1, x20
0xfffffff0086c2900: 2aedff97  bl	#0xfffffff0086bdda8
0xfffffff0086c2904: e10300aa  mov	x1, x0
0xfffffff0086c2908: e00313aa  mov	x0, x19
0xfffffff0086c290c: b6eeff97  bl	#0xfffffff0086be3e4
0xfffffff0086c2910: 685e41b9  ldr	w8, [x19, #0x15c]
0xfffffff0086c2914: 69c241b9  ldr	w9, [x19, #0x1c0]
0xfffffff0086c2918: 2a01080b  add	w10, w9, w8
0xfffffff0086c291c: 0800084b  sub	w8, w0, w8
0xfffffff0086c2920: 1f000a6b  cmp	w0, w10
0xfffffff0086c2924: 0881891a  csel	w8, w8, w9, hi
0xfffffff0086c2928: 69c641b9  ldr	w9, [x19, #0x1c4]
0xfffffff0086c292c: 1f01096b  cmp	w8, w9
0xfffffff0086c2930: 1731891a  csel	w23, w8, w9, lo
0xfffffff0086c2934: 608e41f9  ldr	x0, [x19, #0x318]
0xfffffff0086c2938: 100040f9  ldr	x16, [x0]
0xfffffff0086c293c: f10300aa  mov	x17, x0
0xfffffff0086c2940: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086c2944: 301ac1da  autda	x16, x17
0xfffffff0086c2948: 112380d2  mov	x17, #0x118
0xfffffff0086c294c: 1002118b  add	x16, x16, x17
0xfffffff0086c2950: 080240f9  ldr	x8, [x16]
0xfffffff0086c2954: e90310aa  mov	x9, x16
0xfffffff0086c2958: 6153ff90  adrp	x1, #0xfffffff00712e000
0xfffffff0086c295c: 21080591  add	x1, x1, #0x142
0xfffffff0086c2960: f10309aa  mov	x17, x9
0xfffffff0086c2964: b1f4e6f2  movk	x17, #0x37a5, lsl #48
