; Candidate 7975
; ADRP+ADD at VM 0xfffffff00888b9b8 (fileoff 0x18879b8): page=0x1fe9a3000 add_imm=0xd26

0xfffffff00888b938: f50302aa  mov	x21, x2
0xfffffff00888b93c: f70301aa  mov	x23, x1
0xfffffff00888b940: f30300aa  mov	x19, x0
0xfffffff00888b944: 410400b5  cbnz	x1, #0xfffffff00888b9cc
0xfffffff00888b948: 350400b5  cbnz	x21, #0xfffffff00888b9cc
0xfffffff00888b94c: 140400b5  cbnz	x20, #0xfffffff00888b9cc
0xfffffff00888b950: 80098052  mov	w0, #0x4c
0xfffffff00888b954: 81008052  mov	w1, #4
0xfffffff00888b958: 9ebfff97  bl	#0xfffffff00887b7d0
0xfffffff00888b95c: c00d0034  cbz	w0, #0xfffffff00888bb14
0xfffffff00888b960: 80098052  mov	w0, #0x4c
0xfffffff00888b964: adbfff97  bl	#0xfffffff00887b818
0xfffffff00888b968: f50300aa  mov	x21, x0
0xfffffff00888b96c: 10a20094  bl	#0xfffffff0088b41ac
0xfffffff00888b970: f40300aa  mov	x20, x0
0xfffffff00888b974: 80008052  mov	w0, #4
0xfffffff00888b978: b6bfff97  bl	#0xfffffff00887b850
0xfffffff00888b97c: 76620091  add	x22, x19, #0x18
0xfffffff00888b980: 75090034  cbz	w21, #0xfffffff00888baac
0xfffffff00888b984: f67f04a9  stp	x22, xzr, [sp, #0x40]
0xfffffff00888b988: 084dfff0  adrp	x8, #0xfffffff00722e000
0xfffffff00888b98c: 08d13591  add	x8, x8, #0xd74
0xfffffff00888b990: ff7f05a9  stp	xzr, xzr, [sp, #0x50]
0xfffffff00888b994: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00888b998: c8958052  mov	w8, #0x4ae
0xfffffff00888b99c: 094dfff0  adrp	x9, #0xfffffff00722e000
0xfffffff00888b9a0: 29993591  add	x9, x9, #0xd66
0xfffffff00888b9a4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888b9a8: 284dff90  adrp	x8, #0xfffffff00722f000
0xfffffff00888b9ac: 087d0391  add	x8, x8, #0xdf
0xfffffff00888b9b0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888b9b4: 88098052  mov	w8, #0x4c
0xfffffff00888b9b8: 004dfff0  adrp	x0, #0xfffffff00722e000
0xfffffff00888b9bc: 00983491  add	x0, x0, #0xd26
0xfffffff00888b9c0: f42300a9  stp	x20, x8, [sp]
0xfffffff00888b9c4: a7aed497  bl	#0xfffffff007db7460
0xfffffff00888b9c8: 53000014  b	#0xfffffff00888bb14
0xfffffff00888b9cc: 68664439  ldrb	w8, [x19, #0x119]
0xfffffff00888b9d0: 08041037  tbnz	w8, #2, #0xfffffff00888ba50
0xfffffff00888b9d4: 80098052  mov	w0, #0x4c
0xfffffff00888b9d8: 81008052  mov	w1, #4
0xfffffff00888b9dc: 7dbfff97  bl	#0xfffffff00887b7d0
0xfffffff00888b9e0: 600d0034  cbz	w0, #0xfffffff00888bb8c
0xfffffff00888b9e4: 80098052  mov	w0, #0x4c
0xfffffff00888b9e8: 8cbfff97  bl	#0xfffffff00887b818
0xfffffff00888b9ec: f50300aa  mov	x21, x0
0xfffffff00888b9f0: efa10094  bl	#0xfffffff0088b41ac
0xfffffff00888b9f4: f40300aa  mov	x20, x0
0xfffffff00888b9f8: 80008052  mov	w0, #4
0xfffffff00888b9fc: 95bfff97  bl	#0xfffffff00887b850
0xfffffff00888ba00: 76620091  add	x22, x19, #0x18
0xfffffff00888ba04: 15090034  cbz	w21, #0xfffffff00888bb24
0xfffffff00888ba08: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888ba0c: 094dfff0  adrp	x9, #0xfffffff00722e000
0xfffffff00888ba10: 29412691  add	x9, x9, #0x990
0xfffffff00888ba14: f62304a9  stp	x22, x8, [sp, #0x40]
0xfffffff00888ba18: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00888ba1c: 48968052  mov	w8, #0x4b2
0xfffffff00888ba20: 094dfff0  adrp	x9, #0xfffffff00722e000
0xfffffff00888ba24: 29993591  add	x9, x9, #0xd66
0xfffffff00888ba28: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888ba2c: 284dff90  adrp	x8, #0xfffffff00722f000
0xfffffff00888ba30: 087d0391  add	x8, x8, #0xdf
0xfffffff00888ba34: e02301a9  stp	x0, x8, [sp, #0x10]
