; Candidate 15057
; ADRP+ADD at VM 0xfffffff009a6a0d4 (fileoff 0x2a660d4): page=0x1fe24b000 add_imm=0xe08

0xfffffff009a6a054: 10821791  add	x16, x16, #0x5e0
0xfffffff009a6a058: 10420091  add	x16, x16, #0x10
0xfffffff009a6a05c: f10300aa  mov	x17, x0
0xfffffff009a6a060: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a6a064: 300ac1da  pacda	x16, x17
0xfffffff009a6a068: 100000f9  str	x16, [x0]
0xfffffff009a6a06c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a6a070: ff0f5fd6  retab	
0xfffffff009a6a074: 5f2403d5  bti	c
0xfffffff009a6a078: 35f5a117  b	#0xfffffff0082e754c
0xfffffff009a6a07c: 5f2403d5  bti	c
0xfffffff009a6a080: 33f5a117  b	#0xfffffff0082e754c
0xfffffff009a6a084: 7f2303d5  pacibsp	
0xfffffff009a6a088: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a6a08c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a6a090: fd430091  add	x29, sp, #0x10
0xfffffff009a6a094: f30300aa  mov	x19, x0
0xfffffff009a6a098: 2df5a197  bl	#0xfffffff0082e754c
0xfffffff009a6a09c: 4012fff0  adrp	x0, #0xfffffff007cb5000
0xfffffff009a6a0a0: 00203891  add	x0, x0, #0xe08
0xfffffff009a6a0a4: e10313aa  mov	x1, x19
0xfffffff009a6a0a8: 02208052  mov	w2, #0x100
0xfffffff009a6a0ac: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a6a0b0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a6a0b4: ff2303d5  autibsp	
0xfffffff009a6a0b8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009a6a0bc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009a6a0c4
0xfffffff009a6a0c0: 208e38d4  brk	#0xc471
0xfffffff009a6a0c4: 76f5a117  b	#0xfffffff0082e769c
0xfffffff009a6a0c8: 5f2403d5  bti	c
0xfffffff009a6a0cc: e20301aa  mov	x2, x1
0xfffffff009a6a0d0: e10300aa  mov	x1, x0
0xfffffff009a6a0d4: 4012fff0  adrp	x0, #0xfffffff007cb5000
0xfffffff009a6a0d8: 00203891  add	x0, x0, #0xe08
0xfffffff009a6a0dc: 70f5a117  b	#0xfffffff0082e769c
0xfffffff009a6a0e0: 5f2403d5  bti	c
0xfffffff009a6a0e4: 604a00d0  adrp	x0, #0xfffffff00a3b8000
0xfffffff009a6a0e8: 00c00191  add	x0, x0, #0x70
0xfffffff009a6a0ec: c0035fd6  ret	
0xfffffff009a6a0f0: 7f2303d5  pacibsp	
0xfffffff009a6a0f4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a6a0f8: fd030091  mov	x29, sp
0xfffffff009a6a0fc: 01ddfef0  adrp	x1, #0xfffffff00760d000
0xfffffff009a6a100: 21f43f91  add	x1, x1, #0xffd
0xfffffff009a6a104: 0212ffd0  adrp	x2, #0xfffffff007cac000
0xfffffff009a6a108: 426043f9  ldr	x2, [x2, #0x6c0]
0xfffffff009a6a10c: 03208052  mov	w3, #0x100
0xfffffff009a6a110: 8ae6a197  bl	#0xfffffff0082e3b38
0xfffffff009a6a114: 3012fff0  adrp	x16, #0xfffffff007cb1000
0xfffffff009a6a118: 10021a91  add	x16, x16, #0x680
0xfffffff009a6a11c: 10420091  add	x16, x16, #0x10
0xfffffff009a6a120: f10300aa  mov	x17, x0
0xfffffff009a6a124: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a6a128: 300ac1da  pacda	x16, x17
0xfffffff009a6a12c: 100000f9  str	x16, [x0]
0xfffffff009a6a130: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a6a134: ff0f5fd6  retab	
0xfffffff009a6a138: 7f2303d5  pacibsp	
0xfffffff009a6a13c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a6a140: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a6a144: fd430091  add	x29, sp, #0x10
0xfffffff009a6a148: 4012fff0  adrp	x0, #0xfffffff007cb5000
0xfffffff009a6a14c: 00203891  add	x0, x0, #0xe08
0xfffffff009a6a150: 01208052  mov	w1, #0x100
