; Candidate 12380
; ADRP+ADD at VM 0xfffffff009097b1c (fileoff 0x2093b1c): page=0x1fe3c2000 add_imm=0xe24

0xfffffff009097a9c: 291effd0  adrp	x9, #0xfffffff00745d000
0xfffffff009097aa0: 29413c91  add	x9, x9, #0xf10
0xfffffff009097aa4: e92300a9  stp	x9, x8, [sp]
0xfffffff009097aa8: 001effd0  adrp	x0, #0xfffffff007459000
0xfffffff009097aac: 00583191  add	x0, x0, #0xc56
0xfffffff009097ab0: 5cfdca97  bl	#0xfffffff008357020
0xfffffff009097ab4: 740400b4  cbz	x20, #0xfffffff009097b40
0xfffffff009097ab8: 800640f9  ldr	x0, [x20, #8]
0xfffffff009097abc: 600000b4  cbz	x0, #0xfffffff009097ac8
0xfffffff009097ac0: 88424039  ldrb	w8, [x20, #0x10]
0xfffffff009097ac4: 68000034  cbz	w8, #0xfffffff009097ad0
0xfffffff009097ac8: 13008052  mov	w19, #0
0xfffffff009097acc: 09000014  b	#0xfffffff009097af0
0xfffffff009097ad0: 880240f9  ldr	x8, [x20]
0xfffffff009097ad4: 480500b4  cbz	x8, #0xfffffff009097b7c
0xfffffff009097ad8: 080540f9  ldr	x8, [x8, #8]
0xfffffff009097adc: 280600b4  cbz	x8, #0xfffffff009097ba0
0xfffffff009097ae0: 510f86d2  mov	x17, #0x307a
0xfffffff009097ae4: 11093fd7  blraa	x8, x17
0xfffffff009097ae8: 13008052  mov	w19, #0
0xfffffff009097aec: 9f0600f9  str	xzr, [x20, #8]
0xfffffff009097af0: 48018052  mov	w8, #0xa
0xfffffff009097af4: a9024039  ldrb	w9, [x21]
0xfffffff009097af8: 1f01096b  cmp	w8, w9
0xfffffff009097afc: 63010054  b.lo	#0xfffffff009097b28
0xfffffff009097b00: 687e4093  sxtw	x8, w19
0xfffffff009097b04: 491effb0  adrp	x9, #0xfffffff007460000
0xfffffff009097b08: 29c50b91  add	x9, x9, #0x2f1
0xfffffff009097b0c: 2a1effd0  adrp	x10, #0xfffffff00745d000
0xfffffff009097b10: 4a413c91  add	x10, x10, #0xf10
0xfffffff009097b14: ea2700a9  stp	x10, x9, [sp]
0xfffffff009097b18: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009097b1c: 001effd0  adrp	x0, #0xfffffff007459000
0xfffffff009097b20: 00903891  add	x0, x0, #0xe24
0xfffffff009097b24: 3ffdca97  bl	#0xfffffff008357020
0xfffffff009097b28: e00313aa  mov	x0, x19
0xfffffff009097b2c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009097b30: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009097b34: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009097b38: ff830191  add	sp, sp, #0x60
0xfffffff009097b3c: ff0f5fd6  retab	
0xfffffff009097b40: 88128052  mov	w8, #0x94
0xfffffff009097b44: 491effb0  adrp	x9, #0xfffffff007460000
0xfffffff009097b48: 298d0391  add	x9, x9, #0xe3
0xfffffff009097b4c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff009097b50: 081effd0  adrp	x8, #0xfffffff007459000
0xfffffff009097b54: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009097b58: 4a1effb0  adrp	x10, #0xfffffff007460000
0xfffffff009097b5c: 4a790991  add	x10, x10, #0x25e
0xfffffff009097b60: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff009097b64: ea0300f9  str	x10, [sp]
0xfffffff009097b68: 001effd0  adrp	x0, #0xfffffff007459000
0xfffffff009097b6c: 00d42c91  add	x0, x0, #0xb35
0xfffffff009097b70: 2cfdca97  bl	#0xfffffff008357020
0xfffffff009097b74: 53008012  mov	w19, #-3
0xfffffff009097b78: 18000014  b	#0xfffffff009097bd8
0xfffffff009097b7c: e8128052  mov	w8, #0x97
0xfffffff009097b80: 491effb0  adrp	x9, #0xfffffff007460000
0xfffffff009097b84: 298d0391  add	x9, x9, #0xe3
0xfffffff009097b88: e81300f9  str	x8, [sp, #0x20]
0xfffffff009097b8c: 081effd0  adrp	x8, #0xfffffff007459000
0xfffffff009097b90: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009097b94: 4a1effb0  adrp	x10, #0xfffffff007460000
0xfffffff009097b98: 4a250c91  add	x10, x10, #0x309
