; Candidate 6614
; ADRP+ADD at VM 0xfffffff008835bcc (fileoff 0x1831bcc): page=0x1fe9b4000 add_imm=0xe80

0xfffffff008835b4c: 00050034  cbz	w0, #0xfffffff008835bec
0xfffffff008835b50: 200f8052  mov	w0, #0x79
0xfffffff008835b54: 31170194  bl	#0xfffffff00887b818
0xfffffff008835b58: f70300aa  mov	x23, x0
0xfffffff008835b5c: 94f90194  bl	#0xfffffff0088b41ac
0xfffffff008835b60: f60300aa  mov	x22, x0
0xfffffff008835b64: e0008052  mov	w0, #7
0xfffffff008835b68: 3a170194  bl	#0xfffffff00887b850
0xfffffff008835b6c: 97010034  cbz	w23, #0xfffffff008835b9c
0xfffffff008835b70: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff008835b74: 684fffd0  adrp	x8, #0xfffffff007223000
0xfffffff008835b78: 08ed0691  add	x8, x8, #0x1bb
0xfffffff008835b7c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008835b80: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008835b84: 280f8052  mov	w8, #0x79
0xfffffff008835b88: e04effd0  adrp	x0, #0xfffffff007213000
0xfffffff008835b8c: 00b43791  add	x0, x0, #0xded
0xfffffff008835b90: f62300a9  stp	x22, x8, [sp]
0xfffffff008835b94: 3306d697  bl	#0xfffffff007db7460
0xfffffff008835b98: 15000014  b	#0xfffffff008835bec
0xfffffff008835b9c: 84f90194  bl	#0xfffffff0088b41ac
0xfffffff008835ba0: f60300aa  mov	x22, x0
0xfffffff008835ba4: e0008052  mov	w0, #7
0xfffffff008835ba8: 2a170194  bl	#0xfffffff00887b850
0xfffffff008835bac: e80315aa  mov	x8, x21
0xfffffff008835bb0: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff008835bb4: 684fffd0  adrp	x8, #0xfffffff007223000
0xfffffff008835bb8: 08ed0691  add	x8, x8, #0x1bb
0xfffffff008835bbc: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008835bc0: 280f8052  mov	w8, #0x79
0xfffffff008835bc4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008835bc8: f60300f9  str	x22, [sp]
0xfffffff008835bcc: a04dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008835bd0: 00003a91  add	x0, x0, #0xe80
0xfffffff008835bd4: 818efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008835bd8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008835bdc: c350ff90  adrp	x3, #0xfffffff00724d000
0xfffffff008835be0: 63843f91  add	x3, x3, #0xfe1
0xfffffff008835be4: 02008052  mov	w2, #0
0xfffffff008835be8: 52f5eb97  bl	#0xfffffff008333130
0xfffffff008835bec: e00315aa  mov	x0, x21
0xfffffff008835bf0: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008835bf4: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008835bf8: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008835bfc: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008835c00: ff830291  add	sp, sp, #0xa0
0xfffffff008835c04: ff0f5fd6  retab	
0xfffffff008835c08: 7f2303d5  pacibsp	
0xfffffff008835c0c: ffc301d1  sub	sp, sp, #0x70
0xfffffff008835c10: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008835c14: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008835c18: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008835c1c: fd830191  add	x29, sp, #0x60
0xfffffff008835c20: f40301aa  mov	x20, x1
0xfffffff008835c24: 400200b4  cbz	x0, #0xfffffff008835c6c
0xfffffff008835c28: 9f120071  cmp	w20, #4
0xfffffff008835c2c: 48050054  b.hi	#0xfffffff008835cd4
0xfffffff008835c30: f30300aa  mov	x19, x0
0xfffffff008835c34: f003142a  mov	w16, w20
0xfffffff008835c38: 1f1200f1  cmp	x16, #4
0xfffffff008835c3c: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008835c40: 11000090  adrp	x17, #0xfffffff008835000
0xfffffff008835c44: 31c23791  add	x17, x17, #0xdf0
0xfffffff008835c48: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
