; Candidate 3063
; ADRP+ADD at VM 0xfffffff008710100 (fileoff 0x170c100): page=0x1fea21000 add_imm=0xd90

0xfffffff008710080: f10308aa  mov	x17, x8
0xfffffff008710084: 9106e9f2  movk	x17, #0x4834, lsl #48
0xfffffff008710088: 31093fd7  blraa	x9, x17
0xfffffff00871008c: a0fcff34  cbz	w0, #0xfffffff008710020
0xfffffff008710090: 68e34239  ldrb	w8, [x27, #0xb8]
0xfffffff008710094: e8260034  cbz	w8, #0xfffffff008710570
0xfffffff008710098: e8db40f9  ldr	x8, [sp, #0x1b0]
0xfffffff00871009c: c80200b4  cbz	x8, #0xfffffff0087100f4
0xfffffff0087100a0: 081540f9  ldr	x8, [x8, #0x28]
0xfffffff0087100a4: 000940f9  ldr	x0, [x8, #0x10]
0xfffffff0087100a8: 000900b4  cbz	x0, #0xfffffff0087101c8
0xfffffff0087100ac: 01008052  mov	w1, #0
0xfffffff0087100b0: 8bc64e94  bl	#0xfffffff009ac1adc
0xfffffff0087100b4: 616e64b9  ldr	w1, [x19, #0x246c]
0xfffffff0087100b8: 687250f9  ldr	x8, [x19, #0x20e0]
0xfffffff0087100bc: 690aa1b9  ldrsw	x9, [x19, #0x2108]
0xfffffff0087100c0: 0a518b52  mov	w10, #0x5a88
0xfffffff0087100c4: 29210a9b  madd	x9, x9, x10, x8
0xfffffff0087100c8: 28194eb9  ldr	w8, [x9, #0xe18]
0xfffffff0087100cc: 0a050051  sub	w10, w8, #1
0xfffffff0087100d0: 627264b9  ldr	w2, [x19, #0x2470]
0xfffffff0087100d4: 291d4eb9  ldr	w9, [x9, #0xe1c]
0xfffffff0087100d8: 2a000a2b  adds	w10, w1, w10
0xfffffff0087100dc: 83080054  b.lo	#0xfffffff0087101ec
0xfffffff0087100e0: 0c008052  mov	w12, #0
0xfffffff0087100e4: 0b008052  mov	w11, #0
0xfffffff0087100e8: 0d008052  mov	w13, #0
0xfffffff0087100ec: 2e008052  mov	w14, #1
0xfffffff0087100f0: a8010014  b	#0xfffffff008710790
0xfffffff0087100f4: 0852ffd0  adrp	x8, #0xfffffff007152000
0xfffffff0087100f8: 08391291  add	x8, x8, #0x48e
0xfffffff0087100fc: e80300f9  str	x8, [sp]
0xfffffff008710100: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710104: 00403691  add	x0, x0, #0xd90
0xfffffff008710108: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871010c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008710110: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff008710114: 63f02d91  add	x3, x3, #0xb7c
0xfffffff008710118: 02008052  mov	w2, #0
0xfffffff00871011c: 058cf097  bl	#0xfffffff008333130
0xfffffff008710120: 08fbff17  b	#0xfffffff00870ed40
0xfffffff008710124: e9bf41b9  ldr	w9, [sp, #0x1bc]
0xfffffff008710128: e80319aa  mov	x8, x25
0xfffffff00871012c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008710130: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff008710134: 08491591  add	x8, x8, #0x552
0xfffffff008710138: e80300f9  str	x8, [sp]
0xfffffff00871013c: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710140: 00403691  add	x0, x0, #0xd90
0xfffffff008710144: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008710148: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871014c: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff008710150: 63a01791  add	x3, x3, #0x5e8
0xfffffff008710154: 02008052  mov	w2, #0
0xfffffff008710158: f68bf097  bl	#0xfffffff008333130
0xfffffff00871015c: 89010014  b	#0xfffffff008710780
0xfffffff008710160: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff008710164: 08491591  add	x8, x8, #0x552
0xfffffff008710168: e80300f9  str	x8, [sp]
0xfffffff00871016c: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710170: 00403691  add	x0, x0, #0xd90
0xfffffff008710174: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008710178: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871017c: 2351fff0  adrp	x3, #0xfffffff007137000
