; Candidate 13185
; ADRP+ADD at VM 0xfffffff0092183cc (fileoff 0x22143cc): page=0x1103000 add_imm=0xcf0

0xfffffff00921834c: 08a20791  add	x8, x16, #0x1e8
0xfffffff009218350: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009218354: e00313aa  mov	x0, x19
0xfffffff009218358: 010080d2  mov	x1, #0
0xfffffff00921835c: f10308aa  mov	x17, x8
0xfffffff009218360: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009218364: 31093fd7  blraa	x9, x17
0xfffffff009218368: 28738052  mov	w8, #0x399
0xfffffff00921836c: a914ffb0  adrp	x9, #0xfffffff0074ad000
0xfffffff009218370: 296d3291  add	x9, x9, #0xc9b
0xfffffff009218374: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009218378: f40300a9  stp	x20, x0, [sp]
0xfffffff00921837c: a114ffb0  adrp	x1, #0xfffffff0074ad000
0xfffffff009218380: 21bc3291  add	x1, x1, #0xcaf
0xfffffff009218384: 40008052  mov	w0, #2
0xfffffff009218388: de270094  bl	#0xfffffff009222300
0xfffffff00921838c: 03000014  b	#0xfffffff009218398
0xfffffff009218390: f50313aa  mov	x21, x19
0xfffffff009218394: 35b4f9f2  movk	x21, #0xcda1, lsl #48
0xfffffff009218398: 700240f9  ldr	x16, [x19]
0xfffffff00921839c: b01ac1da  autda	x16, x21
0xfffffff0092183a0: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0092183a4: e90310aa  mov	x9, x16
0xfffffff0092183a8: a114ffb0  adrp	x1, #0xfffffff0074ad000
0xfffffff0092183ac: 21103491  add	x1, x1, #0xd04
0xfffffff0092183b0: e00313aa  mov	x0, x19
0xfffffff0092183b4: 22008052  mov	w2, #1
0xfffffff0092183b8: f10309aa  mov	x17, x9
0xfffffff0092183bc: d145e2f2  movk	x17, #0x122e, lsl #48
0xfffffff0092183c0: 11093fd7  blraa	x8, x17
0xfffffff0092183c4: 748a40f9  ldr	x20, [x19, #0x110]
0xfffffff0092183c8: 540300b5  cbnz	x20, #0xfffffff009218430
0xfffffff0092183cc: 008800f0  adrp	x0, #0xfffffff00a31b000
0xfffffff0092183d0: 00c03391  add	x0, x0, #0xcf0
0xfffffff0092183d4: 100040f9  ldr	x16, [x0]
0xfffffff0092183d8: f10300aa  mov	x17, x0
0xfffffff0092183dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092183e0: 301ac1da  autda	x16, x17
0xfffffff0092183e4: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff0092183e8: e90310aa  mov	x9, x16
0xfffffff0092183ec: f10309aa  mov	x17, x9
0xfffffff0092183f0: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff0092183f4: 11093fd7  blraa	x8, x17
0xfffffff0092183f8: f40300aa  mov	x20, x0
0xfffffff0092183fc: 608a40f9  ldr	x0, [x19, #0x110]
0xfffffff009218400: 400100b4  cbz	x0, #0xfffffff009218428
0xfffffff009218404: 100040f9  ldr	x16, [x0]
0xfffffff009218408: f10300aa  mov	x17, x0
0xfffffff00921840c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009218410: 301ac1da  autda	x16, x17
0xfffffff009218414: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009218418: e90310aa  mov	x9, x16
0xfffffff00921841c: f10309aa  mov	x17, x9
0xfffffff009218420: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009218424: 11093fd7  blraa	x8, x17
0xfffffff009218428: 748a00f9  str	x20, [x19, #0x110]
0xfffffff00921842c: f40800b4  cbz	x20, #0xfffffff009218548
0xfffffff009218430: 884bfff0  adrp	x8, #0xfffffff007b8b000
0xfffffff009218434: 087943f9  ldr	x8, [x8, #0x6f0]
0xfffffff009218438: 098d4bf8  ldr	x9, [x8, #0xb8]!
0xfffffff00921843c: e00314aa  mov	x0, x20
0xfffffff009218440: 010080d2  mov	x1, #0
0xfffffff009218444: f10308aa  mov	x17, x8
0xfffffff009218448: 5175e8f2  movk	x17, #0x43aa, lsl #48
