; Candidate 9346
; ADRP+ADD at VM 0xfffffff008a2a5e4 (fileoff 0x1a265e4): page=0x1fe86f000 add_imm=0xe40

0xfffffff008a2a564: e90310aa  mov	x9, x16
0xfffffff008a2a568: e00313aa  mov	x0, x19
0xfffffff008a2a56c: e10314aa  mov	x1, x20
0xfffffff008a2a570: f10309aa  mov	x17, x9
0xfffffff008a2a574: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2a578: 11093fd7  blraa	x8, x17
0xfffffff008a2a57c: e00313aa  mov	x0, x19
0xfffffff008a2a580: aeb9f097  bl	#0xfffffff008658c38
0xfffffff008a2a584: f50300aa  mov	x21, x0
0xfffffff008a2a588: 700240f9  ldr	x16, [x19]
0xfffffff008a2a58c: f10313aa  mov	x17, x19
0xfffffff008a2a590: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2a594: 301ac1da  autda	x16, x17
0xfffffff008a2a598: f10310aa  mov	x17, x16
0xfffffff008a2a59c: f147c1da  xpacd	x17
0xfffffff008a2a5a0: 1f0211eb  cmp	x16, x17
0xfffffff008a2a5a4: 40000054  b.eq	#0xfffffff008a2a5ac
0xfffffff008a2a5a8: 408e38d4  brk	#0xc472
0xfffffff008a2a5ac: 08c21191  add	x8, x16, #0x470
0xfffffff008a2a5b0: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a2a5b4: f83f40b9  ldr	w24, [sp, #0x3c]
0xfffffff008a2a5b8: e00313aa  mov	x0, x19
0xfffffff008a2a5bc: e10314aa  mov	x1, x20
0xfffffff008a2a5c0: f10308aa  mov	x17, x8
0xfffffff008a2a5c4: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2a5c8: 31093fd7  blraa	x9, x17
0xfffffff008a2a5cc: e05302a9  stp	x0, x20, [sp, #0x20]
0xfffffff008a2a5d0: 194f8052  mov	w25, #0x278
0xfffffff008a2a5d4: f96301a9  stp	x25, x24, [sp, #0x10]
0xfffffff008a2a5d8: 9843fff0  adrp	x24, #0xfffffff00729d000
0xfffffff008a2a5dc: 18db1891  add	x24, x24, #0x636
0xfffffff008a2a5e0: f56300a9  stp	x21, x24, [sp]
0xfffffff008a2a5e4: 6043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a2a5e8: 00003991  add	x0, x0, #0xe40
0xfffffff008a2a5ec: 0181ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a2a5f0: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a2a5f4: a343ffd0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a2a5f8: 63a42f91  add	x3, x3, #0xbe9
0xfffffff008a2a5fc: 02028052  mov	w2, #0x10
0xfffffff008a2a600: cc22e497  bl	#0xfffffff008333130
0xfffffff008a2a604: e00313aa  mov	x0, x19
0xfffffff008a2a608: 8cb9f097  bl	#0xfffffff008658c38
0xfffffff008a2a60c: f50300aa  mov	x21, x0
0xfffffff008a2a610: 700240f9  ldr	x16, [x19]
0xfffffff008a2a614: f10313aa  mov	x17, x19
0xfffffff008a2a618: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2a61c: 301ac1da  autda	x16, x17
0xfffffff008a2a620: f10310aa  mov	x17, x16
0xfffffff008a2a624: f147c1da  xpacd	x17
0xfffffff008a2a628: 1f0211eb  cmp	x16, x17
0xfffffff008a2a62c: 40000054  b.eq	#0xfffffff008a2a634
0xfffffff008a2a630: 408e38d4  brk	#0xc472
0xfffffff008a2a634: 08c21191  add	x8, x16, #0x470
0xfffffff008a2a638: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a2a63c: fa3f40b9  ldr	w26, [sp, #0x3c]
0xfffffff008a2a640: e00313aa  mov	x0, x19
0xfffffff008a2a644: e10314aa  mov	x1, x20
0xfffffff008a2a648: f10308aa  mov	x17, x8
0xfffffff008a2a64c: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2a650: 31093fd7  blraa	x9, x17
0xfffffff008a2a654: e05302a9  stp	x0, x20, [sp, #0x20]
0xfffffff008a2a658: f96b01a9  stp	x25, x26, [sp, #0x10]
0xfffffff008a2a65c: f56300a9  stp	x21, x24, [sp]
0xfffffff008a2a660: 8043fff0  adrp	x0, #0xfffffff00729d000
