; Candidate 16434
; ADRP+ADD at VM 0xfffffff009ea68cc (fileoff 0x2ea28cc): page=0x1fd98e000 add_imm=0xe50

0xfffffff009ea684c: 09114179  ldrh	w9, [x8, #0x88]
0xfffffff009ea6850: 290d1412  and	w9, w9, #0xf000
0xfffffff009ea6854: 3f214071  cmp	w9, #8, lsl #12
0xfffffff009ea6858: a1000054  b.ne	#0xfffffff009ea686c
0xfffffff009ea685c: 097140b9  ldr	w9, [x8, #0x70]
0xfffffff009ea6860: f3031baa  mov	x19, x27
0xfffffff009ea6864: 3f050071  cmp	w9, #1
0xfffffff009ea6868: 8c030054  b.gt	#0xfffffff009ea68d8
0xfffffff009ea686c: 09914279  ldrh	w9, [x8, #0x148]
0xfffffff009ea6870: a90100b4  cbz	x9, #0xfffffff009ea68a4
0xfffffff009ea6874: 0b008052  mov	w11, #0
0xfffffff009ea6878: 0aa940f9  ldr	x10, [x8, #0x150]
0xfffffff009ea687c: 4a090091  add	x10, x10, #2
0xfffffff009ea6880: 4ce15f38  ldurb	w12, [x10, #-2]
0xfffffff009ea6884: 9f110071  cmp	w12, #4
0xfffffff009ea6888: a02b0054  b.eq	#0xfffffff009ea6dfc
0xfffffff009ea688c: 4c454078  ldrh	w12, [x10], #4
0xfffffff009ea6890: 8c1d0011  add	w12, w12, #7
0xfffffff009ea6894: 8c351d12  and	w12, w12, #0x1fff8
0xfffffff009ea6898: 8b010b0b  add	w11, w12, w11
0xfffffff009ea689c: 290500f1  subs	x9, x9, #1
0xfffffff009ea68a0: 01ffff54  b.ne	#0xfffffff009ea6880
0xfffffff009ea68a4: 130080d2  mov	x19, #0
0xfffffff009ea68a8: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff009ea68ac: 0a3e8452  mov	w10, #0x21f0
0xfffffff009ea68b0: 29010a8b  add	x9, x9, x10
0xfffffff009ea68b4: 080540f9  ldr	x8, [x8, #8]
0xfffffff009ea68b8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009ea68bc: 68ccfed0  adrp	x8, #0xfffffff007834000
0xfffffff009ea68c0: 08e93991  add	x8, x8, #0xe7a
0xfffffff009ea68c4: 69068552  mov	w9, #0x2833
0xfffffff009ea68c8: e82700a9  stp	x8, x9, [sp]
0xfffffff009ea68cc: 60ccfed0  adrp	x0, #0xfffffff007834000
0xfffffff009ea68d0: 00403991  add	x0, x0, #0xe50
0xfffffff009ea68d4: fc63ff97  bl	#0xfffffff009e7f8c4
0xfffffff009ea68d8: f5031baa  mov	x21, x27
0xfffffff009ea68dc: e8ccfef0  adrp	x8, #0xfffffff007845000
0xfffffff009ea68e0: 08153991  add	x8, x8, #0xe45
0xfffffff009ea68e4: 7f0200f1  cmp	x19, #0
0xfffffff009ea68e8: 1a01939a  csel	x26, x8, x19, eq
0xfffffff009ea68ec: ff2b00f9  str	xzr, [sp, #0x50]
0xfffffff009ea68f0: bb835af8  ldur	x27, [x29, #-0x58]
0xfffffff009ea68f4: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff009ea68f8: fc0308aa  mov	x28, x8
0xfffffff009ea68fc: 680000b5  cbnz	x8, #0xfffffff009ea6908
0xfffffff009ea6900: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff009ea6904: 1c1d40f9  ldr	x28, [x8, #0x38]
0xfffffff009ea6908: e0031aaa  mov	x0, x26
0xfffffff009ea690c: 3ddb7a97  bl	#0xfffffff007d5d600
0xfffffff009ea6910: e30300aa  mov	x3, x0
0xfffffff009ea6914: e6430191  add	x6, sp, #0x50
0xfffffff009ea6918: e0031baa  mov	x0, x27
0xfffffff009ea691c: e1031caa  mov	x1, x28
0xfffffff009ea6920: e2031aaa  mov	x2, x26
0xfffffff009ea6924: 040080d2  mov	x4, #0
0xfffffff009ea6928: 050080d2  mov	x5, #0
0xfffffff009ea692c: db090194  bl	#0xfffffff009ee9098
0xfffffff009ea6930: f31b40f9  ldr	x19, [sp, #0x30]
0xfffffff009ea6934: e0010035  cbnz	w0, #0xfffffff009ea6970
0xfffffff009ea6938: e02b40f9  ldr	x0, [sp, #0x50]
0xfffffff009ea693c: 1a0c40f9  ldr	x26, [x0, #0x18]
0xfffffff009ea6940: d7ed0094  bl	#0xfffffff009ee209c
0xfffffff009ea6944: 7a0100b4  cbz	x26, #0xfffffff009ea6970
0xfffffff009ea6948: 220f40f9  ldr	x2, [x25, #0x18]
