; Candidate 4051
; ADRP+ADD at VM 0xfffffff00878d104 (fileoff 0x1789104): page=0x1fe9a4000 add_imm=0xd90

0xfffffff00878d084: f4fe60d3  lsr	x20, x23, #0x20
0xfffffff00878d088: b40100b4  cbz	x20, #0xfffffff00878d0bc
0xfffffff00878d08c: c8848052  mov	w8, #0x426
0xfffffff00878d090: 094effd0  adrp	x9, #0xfffffff00714f000
0xfffffff00878d094: 29bd1991  add	x9, x9, #0x66f
0xfffffff00878d098: e92300a9  stp	x9, x8, [sp]
0xfffffff00878d09c: 204dff90  adrp	x0, #0xfffffff007131000
0xfffffff00878d0a0: 00403691  add	x0, x0, #0xd90
0xfffffff00878d0a4: 8193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00878d0a8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878d0ac: c34dff90  adrp	x3, #0xfffffff007145000
0xfffffff00878d0b0: 63843991  add	x3, x3, #0xe61
0xfffffff00878d0b4: 02008052  mov	w2, #0
0xfffffff00878d0b8: 1e98ee97  bl	#0xfffffff008333130
0xfffffff00878d0bc: 284337ab  adds	x8, x25, w23, uxtw
0xfffffff00878d0c0: 62e0ff54  b.hs	#0xfffffff00878cccc
0xfffffff00878d0c4: b502168b  add	x21, x21, x22
0xfffffff00878d0c8: 08fd48d3  lsr	x8, x8, #8
0xfffffff00878d0cc: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff00878d0d0: 2afd41b9  ldr	w10, [x9, #0x1fc]
0xfffffff00878d0d4: 4a7d1c53  lsr	w10, w10, #0x1c
0xfffffff00878d0d8: 480d0433  bfi	w8, w10, #0x1c, #4
0xfffffff00878d0dc: 28fd01b9  str	w8, [x9, #0x1fc]
0xfffffff00878d0e0: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00878d0e4: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff00878d0e8: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff00878d0ec: b6fe60d3  lsr	x22, x21, #0x20
0xfffffff00878d0f0: b60100b4  cbz	x22, #0xfffffff00878d124
0xfffffff00878d0f4: e8848052  mov	w8, #0x427
0xfffffff00878d0f8: 094effd0  adrp	x9, #0xfffffff00714f000
0xfffffff00878d0fc: 29bd1991  add	x9, x9, #0x66f
0xfffffff00878d100: e92300a9  stp	x9, x8, [sp]
0xfffffff00878d104: 204dff90  adrp	x0, #0xfffffff007131000
0xfffffff00878d108: 00403691  add	x0, x0, #0xd90
0xfffffff00878d10c: 8193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00878d110: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878d114: c34dff90  adrp	x3, #0xfffffff007145000
0xfffffff00878d118: 63543a91  add	x3, x3, #0xe95
0xfffffff00878d11c: 02008052  mov	w2, #0
0xfffffff00878d120: 0498ee97  bl	#0xfffffff008333130
0xfffffff00878d124: 284335ab  adds	x8, x25, w21, uxtw
0xfffffff00878d128: 22ddff54  b.hs	#0xfffffff00878cccc
0xfffffff00878d12c: f77e4092  and	x23, x23, #0xffffffff
0xfffffff00878d130: 08fd48d3  lsr	x8, x8, #8
0xfffffff00878d134: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff00878d138: 2a0142b9  ldr	w10, [x9, #0x200]
0xfffffff00878d13c: 4a7d1c53  lsr	w10, w10, #0x1c
0xfffffff00878d140: 480d0433  bfi	w8, w10, #0x1c, #4
0xfffffff00878d144: 280102b9  str	w8, [x9, #0x200]
0xfffffff00878d148: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00878d14c: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff00878d150: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff00878d154: b40100b4  cbz	x20, #0xfffffff00878d188
0xfffffff00878d158: 88858052  mov	w8, #0x42c
0xfffffff00878d15c: 094effd0  adrp	x9, #0xfffffff00714f000
0xfffffff00878d160: 29bd1991  add	x9, x9, #0x66f
0xfffffff00878d164: e92300a9  stp	x9, x8, [sp]
0xfffffff00878d168: 204dff90  adrp	x0, #0xfffffff007131000
0xfffffff00878d16c: 00403691  add	x0, x0, #0xd90
0xfffffff00878d170: 8193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00878d174: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878d178: c34dff90  adrp	x3, #0xfffffff007145000
0xfffffff00878d17c: 63243b91  add	x3, x3, #0xec9
0xfffffff00878d180: 02008052  mov	w2, #0
