; Candidate 8073
; ADRP+ADD at VM 0xfffffff008892c14 (fileoff 0x188ec14): page=0x1fe957000 add_imm=0xe80

0xfffffff008892b94: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008892b98: a98bffd0  adrp	x9, #0xfffffff007a08000
0xfffffff008892b9c: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff008892ba0: 290140f9  ldr	x9, [x9]
0xfffffff008892ba4: 3f0108eb  cmp	x9, x8
0xfffffff008892ba8: c12c0054  b.ne	#0xfffffff008893140
0xfffffff008892bac: e00315aa  mov	x0, x21
0xfffffff008892bb0: fd7b53a9  ldp	x29, x30, [sp, #0x130]
0xfffffff008892bb4: f44f52a9  ldp	x20, x19, [sp, #0x120]
0xfffffff008892bb8: f65751a9  ldp	x22, x21, [sp, #0x110]
0xfffffff008892bbc: f85f50a9  ldp	x24, x23, [sp, #0x100]
0xfffffff008892bc0: fa674fa9  ldp	x26, x25, [sp, #0xf0]
0xfffffff008892bc4: fc6f4ea9  ldp	x28, x27, [sp, #0xe0]
0xfffffff008892bc8: ff030591  add	sp, sp, #0x140
0xfffffff008892bcc: ff0f5fd6  retab	
0xfffffff008892bd0: 77850094  bl	#0xfffffff0088b41ac
0xfffffff008892bd4: f60300aa  mov	x22, x0
0xfffffff008892bd8: 80008052  mov	w0, #4
0xfffffff008892bdc: 1da3ff97  bl	#0xfffffff00887b850
0xfffffff008892be0: e80315aa  mov	x8, x21
0xfffffff008892be4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008892be8: e8430291  add	x8, sp, #0x90
0xfffffff008892bec: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008892bf0: e84bffd0  adrp	x8, #0xfffffff007210000
0xfffffff008892bf4: 08b92791  add	x8, x8, #0x9ee
0xfffffff008892bf8: 099c8052  mov	w9, #0x4e0
0xfffffff008892bfc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008892c00: e84cffb0  adrp	x8, #0xfffffff00722f000
0xfffffff008892c04: 08611691  add	x8, x8, #0x598
0xfffffff008892c08: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008892c0c: 88098052  mov	w8, #0x4c
0xfffffff008892c10: f62300a9  stp	x22, x8, [sp]
0xfffffff008892c14: a04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008892c18: 00003a91  add	x0, x0, #0xe80
0xfffffff008892c1c: a18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008892c20: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008892c24: 634eff90  adrp	x3, #0xfffffff00725e000
0xfffffff008892c28: 63282f91  add	x3, x3, #0xbca
0xfffffff008892c2c: 02008052  mov	w2, #0
0xfffffff008892c30: 4081ea97  bl	#0xfffffff008333130
0xfffffff008892c34: d5ffff17  b	#0xfffffff008892b88
0xfffffff008892c38: 5d850094  bl	#0xfffffff0088b41ac
0xfffffff008892c3c: f60300aa  mov	x22, x0
0xfffffff008892c40: 80008052  mov	w0, #4
0xfffffff008892c44: 03a3ff97  bl	#0xfffffff00887b850
0xfffffff008892c48: e80315aa  mov	x8, x21
0xfffffff008892c4c: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008892c50: e8430291  add	x8, sp, #0x90
0xfffffff008892c54: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008892c58: e84bffd0  adrp	x8, #0xfffffff007210000
0xfffffff008892c5c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008892c60: 499e8052  mov	w9, #0x4f2
0xfffffff008892c64: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008892c68: e84cffb0  adrp	x8, #0xfffffff00722f000
0xfffffff008892c6c: 08611691  add	x8, x8, #0x598
0xfffffff008892c70: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008892c74: 88098052  mov	w8, #0x4c
0xfffffff008892c78: f62300a9  stp	x22, x8, [sp]
0xfffffff008892c7c: a04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008892c80: 00003a91  add	x0, x0, #0xe80
0xfffffff008892c84: a18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008892c88: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008892c8c: 634eff90  adrp	x3, #0xfffffff00725e000
0xfffffff008892c90: 631c3091  add	x3, x3, #0xc07
