; Candidate 9395
; ADRP+ADD at VM 0xfffffff008a3b46c (fileoff 0x1a3746c): page=0x1fe85e000 add_imm=0xe40

0xfffffff008a3b3ec: 1301931a  csel	w19, w8, w19, eq
0xfffffff008a3b3f0: 900240f9  ldr	x16, [x20]
0xfffffff008a3b3f4: f10314aa  mov	x17, x20
0xfffffff008a3b3f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a3b3fc: 301ac1da  autda	x16, x17
0xfffffff008a3b400: 113d80d2  mov	x17, #0x1e8
0xfffffff008a3b404: 1002118b  add	x16, x16, x17
0xfffffff008a3b408: 080240f9  ldr	x8, [x16]
0xfffffff008a3b40c: e90310aa  mov	x9, x16
0xfffffff008a3b410: e00314aa  mov	x0, x20
0xfffffff008a3b414: 010080d2  mov	x1, #0
0xfffffff008a3b418: f10309aa  mov	x17, x9
0xfffffff008a3b41c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a3b420: 11093fd7  blraa	x8, x17
0xfffffff008a3b424: 900240f9  ldr	x16, [x20]
0xfffffff008a3b428: f10314aa  mov	x17, x20
0xfffffff008a3b42c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a3b430: 301ac1da  autda	x16, x17
0xfffffff008a3b434: 113d80d2  mov	x17, #0x1e8
0xfffffff008a3b438: 1002118b  add	x16, x16, x17
0xfffffff008a3b43c: 080240f9  ldr	x8, [x16]
0xfffffff008a3b440: e90310aa  mov	x9, x16
0xfffffff008a3b444: e00314aa  mov	x0, x20
0xfffffff008a3b448: 010080d2  mov	x1, #0
0xfffffff008a3b44c: f10309aa  mov	x17, x9
0xfffffff008a3b450: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a3b454: 11093fd7  blraa	x8, x17
0xfffffff008a3b458: e97f4039  ldrb	w9, [sp, #0x1f]
0xfffffff008a3b45c: 0843fff0  adrp	x8, #0xfffffff00729e000
0xfffffff008a3b460: 08010e91  add	x8, x8, #0x380
0xfffffff008a3b464: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008a3b468: e00300f9  str	x0, [sp]
0xfffffff008a3b46c: e042ffd0  adrp	x0, #0xfffffff007299000
0xfffffff008a3b470: 00003991  add	x0, x0, #0xe40
0xfffffff008a3b474: 8180ff90  adrp	x1, #0xfffffff007a4b000
0xfffffff008a3b478: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a3b47c: 2343ffd0  adrp	x3, #0xfffffff0072a1000
0xfffffff008a3b480: 63d01391  add	x3, x3, #0x4f4
0xfffffff008a3b484: 02028052  mov	w2, #0x10
0xfffffff008a3b488: 2adfe397  bl	#0xfffffff008333130
0xfffffff008a3b48c: 900240f9  ldr	x16, [x20]
0xfffffff008a3b490: b01ac1da  autda	x16, x21
0xfffffff008a3b494: 113d80d2  mov	x17, #0x1e8
0xfffffff008a3b498: 1002118b  add	x16, x16, x17
0xfffffff008a3b49c: 080240f9  ldr	x8, [x16]
0xfffffff008a3b4a0: e90310aa  mov	x9, x16
0xfffffff008a3b4a4: e00314aa  mov	x0, x20
0xfffffff008a3b4a8: 010080d2  mov	x1, #0
0xfffffff008a3b4ac: f10309aa  mov	x17, x9
0xfffffff008a3b4b0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a3b4b4: 11093fd7  blraa	x8, x17
0xfffffff008a3b4b8: e87f4039  ldrb	w8, [sp, #0x1f]
0xfffffff008a3b4bc: 0943fff0  adrp	x9, #0xfffffff00729e000
0xfffffff008a3b4c0: 29010e91  add	x9, x9, #0x380
0xfffffff008a3b4c4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008a3b4c8: e00300f9  str	x0, [sp]
0xfffffff008a3b4cc: 0043fff0  adrp	x0, #0xfffffff00729e000
0xfffffff008a3b4d0: 00480e91  add	x0, x0, #0x392
0xfffffff008a3b4d4: d36ee497  bl	#0xfffffff008357020
0xfffffff008a3b4d8: e00313aa  mov	x0, x19
0xfffffff008a3b4dc: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008a3b4e0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008a3b4e4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008a3b4e8: f85f43a9  ldp	x24, x23, [sp, #0x30]
