; Candidate 1774
; ADRP+ADD at VM 0xfffffff008507d54 (fileoff 0x1503d54): page=0x1febda000 add_imm=0xe53

0xfffffff008507cd4: 1875f797  bl	#0xfffffff0082e5134
0xfffffff008507cd8: e00313aa  mov	x0, x19
0xfffffff008507cdc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008507ce0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008507ce4: ff0f5fd6  retab	
0xfffffff008507ce8: 5f2403d5  bti	c
0xfffffff008507cec: 8272f717  b	#0xfffffff0082e46f4
0xfffffff008507cf0: 5f2403d5  bti	c
0xfffffff008507cf4: 8072f717  b	#0xfffffff0082e46f4
0xfffffff008507cf8: 7f2303d5  pacibsp	
0xfffffff008507cfc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008507d00: fd030091  mov	x29, sp
0xfffffff008507d04: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507d08: 00603791  add	x0, x0, #0xdd8
0xfffffff008507d0c: 4b85f897  bl	#0xfffffff008329238
0xfffffff008507d10: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507d14: 00e901f9  str	x0, [x8, #0x3d0]
0xfffffff008507d18: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507d1c: 00083891  add	x0, x0, #0xe02
0xfffffff008507d20: 4685f897  bl	#0xfffffff008329238
0xfffffff008507d24: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507d28: 00ed01f9  str	x0, [x8, #0x3d8]
0xfffffff008507d2c: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507d30: 00883891  add	x0, x0, #0xe22
0xfffffff008507d34: 4185f897  bl	#0xfffffff008329238
0xfffffff008507d38: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507d3c: 00f101f9  str	x0, [x8, #0x3e0]
0xfffffff008507d40: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507d44: 00e43891  add	x0, x0, #0xe39
0xfffffff008507d48: 3c85f897  bl	#0xfffffff008329238
0xfffffff008507d4c: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507d50: 00f501f9  str	x0, [x8, #0x3e8]
0xfffffff008507d54: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507d58: 004c3991  add	x0, x0, #0xe53
0xfffffff008507d5c: 3785f897  bl	#0xfffffff008329238
0xfffffff008507d60: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507d64: 00f901f9  str	x0, [x8, #0x3f0]
0xfffffff008507d68: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507d6c: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008507d70: 3285f897  bl	#0xfffffff008329238
0xfffffff008507d74: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507d78: 00fd01f9  str	x0, [x8, #0x3f8]
0xfffffff008507d7c: 60ee00d0  adrp	x0, #0xfffffff00a2d5000
0xfffffff008507d80: 00001091  add	x0, x0, #0x400
0xfffffff008507d84: 815efff0  adrp	x1, #0xfffffff0070da000
0xfffffff008507d88: 21642491  add	x1, x1, #0x919
0xfffffff008507d8c: 62a4ffd0  adrp	x2, #0xfffffff007995000
0xfffffff008507d90: 423045f9  ldr	x2, [x2, #0xa60]
0xfffffff008507d94: 038a8252  mov	w3, #0x1450
0xfffffff008507d98: 686ff797  bl	#0xfffffff0082e3b38
0xfffffff008507d9c: 90a4ff90  adrp	x16, #0xfffffff007997000
0xfffffff008507da0: 10023c91  add	x16, x16, #0xf00
0xfffffff008507da4: 10420091  add	x16, x16, #0x10
0xfffffff008507da8: f10300aa  mov	x17, x0
0xfffffff008507dac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008507db0: 300ac1da  pacda	x16, x17
0xfffffff008507db4: 100000f9  str	x16, [x0]
0xfffffff008507db8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008507dbc: ff0f5fd6  retab	
0xfffffff008507dc0: 5f2403d5  bti	c
0xfffffff008507dc4: 60ee00d0  adrp	x0, #0xfffffff00a2d5000
0xfffffff008507dc8: 00001091  add	x0, x0, #0x400
0xfffffff008507dcc: 4a72f717  b	#0xfffffff0082e46f4
0xfffffff008507dd0: 7f2303d5  pacibsp	
