; Candidate 1183
; ADRP+ADD at VM 0xfffffff00827b5a4 (fileoff 0x12775a4): page=0x1fee14000 add_imm=0xe14

0xfffffff00827b524: d0514079  ldrh	w16, [x14, #0x28]
0xfffffff00827b528: f0510079  strh	w16, [x15, #0x28]
0xfffffff00827b52c: d01140b9  ldr	w16, [x14, #0x10]
0xfffffff00827b530: f01100b9  str	w16, [x15, #0x10]
0xfffffff00827b534: cf2540b9  ldr	w15, [x14, #0x24]
0xfffffff00827b538: eb010b0b  add	w11, w15, w11
0xfffffff00827b53c: 8c050011  add	w12, w12, #1
0xfffffff00827b540: 9f010a6b  cmp	w12, w10
0xfffffff00827b544: e2efff54  b.hs	#0xfffffff00827b340
0xfffffff00827b548: ae0000b4  cbz	x14, #0xfffffff00827b55c
0xfffffff00827b54c: ce0140f9  ldr	x14, [x14]
0xfffffff00827b550: cf514079  ldrh	w15, [x14, #0x28]
0xfffffff00827b554: affc0736  tbz	w15, #0, #0xfffffff00827b4e8
0xfffffff00827b558: 06000014  b	#0xfffffff00827b570
0xfffffff00827b55c: 2f2540f9  ldr	x15, [x9, #0x48]
0xfffffff00827b560: ee030daa  mov	x14, x13
0xfffffff00827b564: af0000b4  cbz	x15, #0xfffffff00827b578
0xfffffff00827b568: cf514079  ldrh	w15, [x14, #0x28]
0xfffffff00827b56c: effb0736  tbz	w15, #0, #0xfffffff00827b4e8
0xfffffff00827b570: cf2143f8  ldur	x15, [x14, #0x32]
0xfffffff00827b574: dfffff17  b	#0xfffffff00827b4f0
0xfffffff00827b578: ae0140f9  ldr	x14, [x13]
0xfffffff00827b57c: cf514079  ldrh	w15, [x14, #0x28]
0xfffffff00827b580: 4ffb0736  tbz	w15, #0, #0xfffffff00827b4e8
0xfffffff00827b584: fbffff17  b	#0xfffffff00827b570
0xfffffff00827b588: 2e4d40f9  ldr	x14, [x9, #0x98]
0xfffffff00827b58c: 8fc10191  add	x15, x12, #0x70
0xfffffff00827b590: c00540ad  ldp	q0, q1, [x14]
0xfffffff00827b594: e00500ad  stp	q0, q1, [x15]
0xfffffff00827b598: c01140fd  ldr	d0, [x14, #0x20]
0xfffffff00827b59c: e01100fd  str	d0, [x15, #0x20]
0xfffffff00827b5a0: b0ffff17  b	#0xfffffff00827b460
0xfffffff00827b5a4: a070ff90  adrp	x0, #0xfffffff00708f000
0xfffffff00827b5a8: 00503891  add	x0, x0, #0xe14
0xfffffff00827b5ac: a170ff90  adrp	x1, #0xfffffff00708f000
0xfffffff00827b5b0: 21743691  add	x1, x1, #0xd9d
0xfffffff00827b5b4: e2a68052  mov	w2, #0x537
0xfffffff00827b5b8: 97900894  bl	#0xfffffff00849f814
0xfffffff00827b5bc: e00315aa  mov	x0, x21
0xfffffff00827b5c0: e10318aa  mov	x1, x24
0xfffffff00827b5c4: 02008052  mov	w2, #0
0xfffffff00827b5c8: 4cc1ec97  bl	#0xfffffff007dabaf8
0xfffffff00827b5cc: 3affff17  b	#0xfffffff00827b2b4
0xfffffff00827b5d0: e00315aa  mov	x0, x21
0xfffffff00827b5d4: 64c4ec97  bl	#0xfffffff007dac764
0xfffffff00827b5d8: 42ffff17  b	#0xfffffff00827b2e0
0xfffffff00827b5dc: c1e9ff34  cbz	w1, #0xfffffff00827b314
0xfffffff00827b5e0: b9e9ff34  cbz	w25, #0xfffffff00827b314
0xfffffff00827b5e4: e00313aa  mov	x0, x19
0xfffffff00827b5e8: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00827b5ec: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00827b5f0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00827b5f4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00827b5f8: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff00827b5fc: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff00827b600: ffc30191  add	sp, sp, #0x70
0xfffffff00827b604: ff2303d5  autibsp	
0xfffffff00827b608: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff00827b60c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff00827b614
0xfffffff00827b610: 208e38d4  brk	#0xc471
0xfffffff00827b614: 112498d2  mov	x17, #0xc120
0xfffffff00827b618: 110a1fd7  braa	x16, x17
0xfffffff00827b61c: 406eff90  adrp	x0, #0xfffffff007043000
0xfffffff00827b620: 00401191  add	x0, x0, #0x450
