; Candidate 10742
; ADRP+ADD at VM 0xfffffff008de4e60 (fileoff 0x1de0e60): page=0x1fe5e0000 add_imm=0xd21

0xfffffff008de4de0: 82018052  mov	w2, #0xc
0xfffffff008de4de4: e70308aa  mov	x7, x8
0xfffffff008de4de8: 04000094  bl	#0xfffffff008de4df8
0xfffffff008de4dec: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008de4df0: ff030191  add	sp, sp, #0x40
0xfffffff008de4df4: ff0f5fd6  retab	
0xfffffff008de4df8: 7f2303d5  pacibsp	
0xfffffff008de4dfc: ff4303d1  sub	sp, sp, #0xd0
0xfffffff008de4e00: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff008de4e04: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff008de4e08: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff008de4e0c: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff008de4e10: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff008de4e14: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff008de4e18: fd030391  add	x29, sp, #0xc0
0xfffffff008de4e1c: f80307aa  mov	x24, x7
0xfffffff008de4e20: f90306aa  mov	x25, x6
0xfffffff008de4e24: f60305aa  mov	x22, x5
0xfffffff008de4e28: f70304aa  mov	x23, x4
0xfffffff008de4e2c: e32f00f9  str	x3, [sp, #0x58]
0xfffffff008de4e30: fb0302aa  mov	x27, x2
0xfffffff008de4e34: e18303a9  stp	x1, x0, [sp, #0x38]
0xfffffff008de4e38: daa800f0  adrp	x26, #0xfffffff00a2ff000
0xfffffff008de4e3c: 5a432c91  add	x26, x26, #0xb10
0xfffffff008de4e40: 48034039  ldrb	w8, [x26]
0xfffffff008de4e44: 1f290071  cmp	w8, #0xa
0xfffffff008de4e48: 48010054  b.hi	#0xfffffff008de4e70
0xfffffff008de4e4c: e82effd0  adrp	x8, #0xfffffff0073c2000
0xfffffff008de4e50: 08b51e91  add	x8, x8, #0x7ad
0xfffffff008de4e54: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4e58: 299d0c91  add	x9, x9, #0x327
0xfffffff008de4e5c: e92300a9  stp	x9, x8, [sp]
0xfffffff008de4e60: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4e64: 00843491  add	x0, x0, #0xd21
0xfffffff008de4e68: 6ec8d597  bl	#0xfffffff008357020
0xfffffff008de4e6c: 48034039  ldrb	w8, [x26]
0xfffffff008de4e70: 1f510071  cmp	w8, #0x14
0xfffffff008de4e74: 68040054  b.hi	#0xfffffff008de4f00
0xfffffff008de4e78: f32effd0  adrp	x19, #0xfffffff0073c2000
0xfffffff008de4e7c: 73b61e91  add	x19, x19, #0x7ad
0xfffffff008de4e80: f42effb0  adrp	x20, #0xfffffff0073c1000
0xfffffff008de4e84: 949e0c91  add	x20, x20, #0x327
0xfffffff008de4e88: f3ef00a9  stp	x19, x27, [sp, #8]
0xfffffff008de4e8c: f40300f9  str	x20, [sp]
0xfffffff008de4e90: e02effd0  adrp	x0, #0xfffffff0073c2000
0xfffffff008de4e94: 001c1f91  add	x0, x0, #0x7c7
0xfffffff008de4e98: 62c8d597  bl	#0xfffffff008357020
0xfffffff008de4e9c: 48034039  ldrb	w8, [x26]
0xfffffff008de4ea0: 1f510071  cmp	w8, #0x14
0xfffffff008de4ea4: e8020054  b.hi	#0xfffffff008de4f00
0xfffffff008de4ea8: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff008de4eac: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff008de4eb0: f40300f9  str	x20, [sp]
0xfffffff008de4eb4: e02effd0  adrp	x0, #0xfffffff0073c2000
0xfffffff008de4eb8: 00781f91  add	x0, x0, #0x7de
0xfffffff008de4ebc: 59c8d597  bl	#0xfffffff008357020
0xfffffff008de4ec0: 48034039  ldrb	w8, [x26]
0xfffffff008de4ec4: 1f510071  cmp	w8, #0x14
0xfffffff008de4ec8: c8010054  b.hi	#0xfffffff008de4f00
0xfffffff008de4ecc: f75b01a9  stp	x23, x22, [sp, #0x10]
0xfffffff008de4ed0: f44f00a9  stp	x20, x19, [sp]
0xfffffff008de4ed4: e02effd0  adrp	x0, #0xfffffff0073c2000
0xfffffff008de4ed8: 00d41f91  add	x0, x0, #0x7f5
0xfffffff008de4edc: 51c8d597  bl	#0xfffffff008357020
