; Candidate 16460
; ADRP+ADD at VM 0xfffffff009eb1b38 (fileoff 0x2eadb38): page=0x1fd9a0000 add_imm=0xde4

0xfffffff009eb1ab8: 020080d2  mov	x2, #0
0xfffffff009eb1abc: e30318aa  mov	x3, x24
0xfffffff009eb1ac0: 70ff0094  bl	#0xfffffff009ef1880
0xfffffff009eb1ac4: d90100b4  cbz	x25, #0xfffffff009eb1afc
0xfffffff009eb1ac8: 210b40f9  ldr	x1, [x25, #0x10]
0xfffffff009eb1acc: e00313aa  mov	x0, x19
0xfffffff009eb1ad0: e20318aa  mov	x2, x24
0xfffffff009eb1ad4: 66f40094  bl	#0xfffffff009eeec6c
0xfffffff009eb1ad8: fa0300aa  mov	x26, x0
0xfffffff009eb1adc: c0fbff35  cbnz	w0, #0xfffffff009eb1a54
0xfffffff009eb1ae0: e00313aa  mov	x0, x19
0xfffffff009eb1ae4: e10314aa  mov	x1, x20
0xfffffff009eb1ae8: e20315aa  mov	x2, x21
0xfffffff009eb1aec: e30318aa  mov	x3, x24
0xfffffff009eb1af0: 3c740194  bl	#0xfffffff009f0ebe0
0xfffffff009eb1af4: fa0300aa  mov	x26, x0
0xfffffff009eb1af8: e0faff35  cbnz	w0, #0xfffffff009eb1a54
0xfffffff009eb1afc: 884e40f9  ldr	x8, [x20, #0x98]
0xfffffff009eb1b00: 6803c037  tbnz	w8, #0x18, #0xfffffff009eb1b6c
0xfffffff009eb1b04: e00313aa  mov	x0, x19
0xfffffff009eb1b08: e10314aa  mov	x1, x20
0xfffffff009eb1b0c: e20315aa  mov	x2, x21
0xfffffff009eb1b10: e30318aa  mov	x3, x24
0xfffffff009eb1b14: 0e2d0194  bl	#0xfffffff009efcf4c
0xfffffff009eb1b18: 80010034  cbz	w0, #0xfffffff009eb1b48
0xfffffff009eb1b1c: fa0300aa  mov	x26, x0
0xfffffff009eb1b20: 880640f9  ldr	x8, [x20, #8]
0xfffffff009eb1b24: e86b01a9  stp	x8, x26, [sp, #0x10]
0xfffffff009eb1b28: 68ccfeb0  adrp	x8, #0xfffffff00783e000
0xfffffff009eb1b2c: 084d0c91  add	x8, x8, #0x313
0xfffffff009eb1b30: e9aa8052  mov	w9, #0x557
0xfffffff009eb1b34: e82700a9  stp	x8, x9, [sp]
0xfffffff009eb1b38: 00cdfe90  adrp	x0, #0xfffffff007851000
0xfffffff009eb1b3c: 00903791  add	x0, x0, #0xde4
0xfffffff009eb1b40: 4037ff97  bl	#0xfffffff009e7f840
0xfffffff009eb1b44: c4ffff17  b	#0xfffffff009eb1a54
0xfffffff009eb1b48: e00313aa  mov	x0, x19
0xfffffff009eb1b4c: e10314aa  mov	x1, x20
0xfffffff009eb1b50: e20315aa  mov	x2, x21
0xfffffff009eb1b54: 03008052  mov	w3, #0
0xfffffff009eb1b58: e40318aa  mov	x4, x24
0xfffffff009eb1b5c: 00230194  bl	#0xfffffff009efa75c
0xfffffff009eb1b60: fa0300aa  mov	x26, x0
0xfffffff009eb1b64: 80f7ff35  cbnz	w0, #0xfffffff009eb1a54
0xfffffff009eb1b68: 884e40f9  ldr	x8, [x20, #0x98]
0xfffffff009eb1b6c: 08f97e92  and	x8, x8, #0xfffffffffffffffd
0xfffffff009eb1b70: 08015ab2  orr	x8, x8, #0x4000000000
0xfffffff009eb1b74: 884e00f9  str	x8, [x20, #0x98]
0xfffffff009eb1b78: a89a40f9  ldr	x8, [x21, #0x130]
0xfffffff009eb1b7c: 001140f9  ldr	x0, [x8, #0x20]
0xfffffff009eb1b80: e86c8197  bl	#0xfffffff007f0cf20
0xfffffff009eb1b84: 1a008052  mov	w26, #0
0xfffffff009eb1b88: bf9a00f9  str	xzr, [x21, #0x130]
0xfffffff009eb1b8c: b2ffff17  b	#0xfffffff009eb1a54
0xfffffff009eb1b90: 689d8052  mov	w8, #0x4eb
0xfffffff009eb1b94: 69ccfeb0  adrp	x9, #0xfffffff00783e000
0xfffffff009eb1b98: 29310691  add	x9, x9, #0x18c
0xfffffff009eb1b9c: eaccfeb0  adrp	x10, #0xfffffff00784e000
0xfffffff009eb1ba0: 4ac50791  add	x10, x10, #0x1f1
0xfffffff009eb1ba4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009eb1ba8: ea0300f9  str	x10, [sp]
0xfffffff009eb1bac: a0cdfe90  adrp	x0, #0xfffffff007865000
0xfffffff009eb1bb0: 00783091  add	x0, x0, #0xc1e
0xfffffff009eb1bb4: 568a9797  bl	#0xfffffff00849450c
