; Candidate 5626
; ADRP+ADD at VM 0xfffffff0087fd8f0 (fileoff 0x17f98f0): page=0x1fe9ec000 add_imm=0xe80

0xfffffff0087fd870: f10317aa  mov	x17, x23
0xfffffff0087fd874: 210c0054  b.ne	#0xfffffff0087fd9f8
0xfffffff0087fd878: 0aeb4d39  ldrb	w10, [x24, #0x37a]
0xfffffff0087fd87c: cb50ffd0  adrp	x11, #0xfffffff007217000
0xfffffff0087fd880: 6bf52691  add	x11, x11, #0x9bd
0xfffffff0087fd884: cc50ffd0  adrp	x12, #0xfffffff007217000
0xfffffff0087fd888: 8c1d2791  add	x12, x12, #0x9c7
0xfffffff0087fd88c: 5f010071  cmp	w10, #0
0xfffffff0087fd890: 60000014  b	#0xfffffff0087fda10
0xfffffff0087fd894: cb50ffd0  adrp	x11, #0xfffffff007217000
0xfffffff0087fd898: 6bb92491  add	x11, x11, #0x92e
0xfffffff0087fd89c: cc50ffd0  adrp	x12, #0xfffffff007217000
0xfffffff0087fd8a0: 8c852491  add	x12, x12, #0x921
0xfffffff0087fd8a4: 5f1d0071  cmp	w10, #7
0xfffffff0087fd8a8: 8a018b9a  csel	x10, x12, x11, eq
0xfffffff0087fd8ac: 8ba74039  ldrb	w11, [x28, #0x29]
0xfffffff0087fd8b0: 8c2740b9  ldr	w12, [x28, #0x24]
0xfffffff0087fd8b4: 6dab4fb9  ldr	w13, [x27, #0xfa8]
0xfffffff0087fd8b8: 0ecf40b9  ldr	w14, [x24, #0xcc]
0xfffffff0087fd8bc: 303f4029  ldp	w16, w15, [x25]
0xfffffff0087fd8c0: ee4306a9  stp	x14, x16, [sp, #0x60]
0xfffffff0087fd8c4: eb3705a9  stp	x11, x13, [sp, #0x50]
0xfffffff0087fd8c8: f63304a9  stp	x22, x12, [sp, #0x40]
0xfffffff0087fd8cc: ab50ffd0  adrp	x11, #0xfffffff007213000
0xfffffff0087fd8d0: 6be12891  add	x11, x11, #0xa38
0xfffffff0087fd8d4: eb3f03a9  stp	x11, x15, [sp, #0x30]
0xfffffff0087fd8d8: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff0087fd8dc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087fd8e0: e80313aa  mov	x8, x19
0xfffffff0087fd8e4: 2352ffb0  adrp	x3, #0xfffffff007242000
0xfffffff0087fd8e8: 63340591  add	x3, x3, #0x14d
0xfffffff0087fd8ec: fa2300a9  stp	x26, x8, [sp]
0xfffffff0087fd8f0: 604fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fd8f4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fd8f8: 4190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fd8fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fd900: 02008052  mov	w2, #0
0xfffffff0087fd904: 0bd6ec97  bl	#0xfffffff008333130
0xfffffff0087fd908: cf000014  b	#0xfffffff0087fdc44
0xfffffff0087fd90c: 5f990071  cmp	w10, #0x26
0xfffffff0087fd910: 400a0054  b.eq	#0xfffffff0087fda58
0xfffffff0087fd914: 5f950071  cmp	w10, #0x25
0xfffffff0087fd918: 610a0054  b.ne	#0xfffffff0087fda64
0xfffffff0087fd91c: 0aeb4d39  ldrb	w10, [x24, #0x37a]
0xfffffff0087fd920: cb50ffd0  adrp	x11, #0xfffffff007217000
0xfffffff0087fd924: 6bf52691  add	x11, x11, #0x9bd
0xfffffff0087fd928: cc50ffd0  adrp	x12, #0xfffffff007217000
0xfffffff0087fd92c: 8c1d2791  add	x12, x12, #0x9c7
0xfffffff0087fd930: 5f010071  cmp	w10, #0
0xfffffff0087fd934: 52000014  b	#0xfffffff0087fda7c
0xfffffff0087fd938: cc50ffd0  adrp	x12, #0xfffffff007217000
0xfffffff0087fd93c: 8cb92491  add	x12, x12, #0x92e
0xfffffff0087fd940: cd50ffd0  adrp	x13, #0xfffffff007217000
0xfffffff0087fd944: ad852491  add	x13, x13, #0x921
0xfffffff0087fd948: 7f1d0071  cmp	w11, #7
0xfffffff0087fd94c: ab018c9a  csel	x11, x13, x12, eq
0xfffffff0087fd950: 8c2740b9  ldr	w12, [x28, #0x24]
0xfffffff0087fd954: 6dab4fb9  ldr	w13, [x27, #0xfa8]
0xfffffff0087fd958: 0ecf40b9  ldr	w14, [x24, #0xcc]
0xfffffff0087fd95c: 303f4029  ldp	w16, w15, [x25]
0xfffffff0087fd960: eec304a9  stp	x14, x16, [sp, #0x48]
0xfffffff0087fd964: eab703a9  stp	x10, x13, [sp, #0x38]
0xfffffff0087fd968: f6b302a9  stp	x22, x12, [sp, #0x28]
0xfffffff0087fd96c: aa50ffd0  adrp	x10, #0xfffffff007213000
