; Candidate 8582
; ADRP+ADD at VM 0xfffffff0088b350c (fileoff 0x18af50c): page=0x1fe936000 add_imm=0xe80

0xfffffff0088b348c: f10313aa  mov	x17, x19
0xfffffff0088b3490: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088b3494: 301ac1da  autda	x16, x17
0xfffffff0088b3498: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0088b349c: e90310aa  mov	x9, x16
0xfffffff0088b34a0: e00313aa  mov	x0, x19
0xfffffff0088b34a4: e10314aa  mov	x1, x20
0xfffffff0088b34a8: f10309aa  mov	x17, x9
0xfffffff0088b34ac: b14af4f2  movk	x17, #0xa255, lsl #48
0xfffffff0088b34b0: 11093fd7  blraa	x8, x17
0xfffffff0088b34b4: bf0600f9  str	xzr, [x21, #8]
0xfffffff0088b34b8: c08affd0  adrp	x0, #0xfffffff007a0d000
0xfffffff0088b34bc: 00603d91  add	x0, x0, #0xf58
0xfffffff0088b34c0: e10315aa  mov	x1, x21
0xfffffff0088b34c4: 928cea97  bl	#0xfffffff00835670c
0xfffffff0088b34c8: 150080d2  mov	x21, #0
0xfffffff0088b34cc: f87c8012  mov	w24, #-0x3e8
0xfffffff0088b34d0: 19000014  b	#0xfffffff0088b3534
0xfffffff0088b34d4: 36030094  bl	#0xfffffff0088b41ac
0xfffffff0088b34d8: f50300aa  mov	x21, x0
0xfffffff0088b34dc: 80008052  mov	w0, #4
0xfffffff0088b34e0: dc20ff97  bl	#0xfffffff00887b850
0xfffffff0088b34e4: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff0088b34e8: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b34ec: 080d0691  add	x8, x8, #0x183
0xfffffff0088b34f0: 69038052  mov	w9, #0x1b
0xfffffff0088b34f4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b34f8: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b34fc: 08310491  add	x8, x8, #0x10c
0xfffffff0088b3500: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b3504: 880d8052  mov	w8, #0x6c
0xfffffff0088b3508: f52300a9  stp	x21, x8, [sp]
0xfffffff0088b350c: a049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b3510: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b3514: a18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b3518: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b351c: 834dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088b3520: 63243991  add	x3, x3, #0xe49
0xfffffff0088b3524: 02008052  mov	w2, #0
0xfffffff0088b3528: 02ffe997  bl	#0xfffffff008333130
0xfffffff0088b352c: 150080d2  mov	x21, #0
0xfffffff0088b3530: 587d8012  mov	w24, #-0x3eb
0xfffffff0088b3534: 800d8052  mov	w0, #0x6c
0xfffffff0088b3538: c1008052  mov	w1, #6
0xfffffff0088b353c: a520ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b3540: e0040034  cbz	w0, #0xfffffff0088b35dc
0xfffffff0088b3544: 800d8052  mov	w0, #0x6c
0xfffffff0088b3548: b420ff97  bl	#0xfffffff00887b818
0xfffffff0088b354c: f70300aa  mov	x23, x0
0xfffffff0088b3550: 17030094  bl	#0xfffffff0088b41ac
0xfffffff0088b3554: f60300aa  mov	x22, x0
0xfffffff0088b3558: c0008052  mov	w0, #6
0xfffffff0088b355c: bd20ff97  bl	#0xfffffff00887b850
0xfffffff0088b3560: 97010034  cbz	w23, #0xfffffff0088b3590
0xfffffff0088b3564: f85703a9  stp	x24, x21, [sp, #0x30]
0xfffffff0088b3568: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088b356c: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b3570: 08310491  add	x8, x8, #0x10c
0xfffffff0088b3574: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b3578: 880d8052  mov	w8, #0x6c
0xfffffff0088b357c: 004cffd0  adrp	x0, #0xfffffff007235000
0xfffffff0088b3580: 00b00791  add	x0, x0, #0x1ec
0xfffffff0088b3584: f62300a9  stp	x22, x8, [sp]
0xfffffff0088b3588: b60fd497  bl	#0xfffffff007db7460
