; Candidate 16302
; ADRP+ADD at VM 0xfffffff009e4de9c (fileoff 0x2e49e9c): page=0x1fd9dd000 add_imm=0xe29

0xfffffff009e4de1c: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff009e4de20: 09f7feb0  adrp	x9, #0xfffffff007d2e000
0xfffffff009e4de24: 29d147f9  ldr	x9, [x9, #0xfa0]
0xfffffff009e4de28: 290140f9  ldr	x9, [x9]
0xfffffff009e4de2c: 3f0108eb  cmp	x9, x8
0xfffffff009e4de30: 21050054  b.ne	#0xfffffff009e4ded4
0xfffffff009e4de34: e00313aa  mov	x0, x19
0xfffffff009e4de38: ff830991  add	sp, sp, #0x260
0xfffffff009e4de3c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009e4de40: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009e4de44: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff009e4de48: ff0f5fd6  retab	
0xfffffff009e4de4c: a8620091  add	x8, x21, #0x18
0xfffffff009e4de50: e9874079  ldrh	w9, [sp, #0x42]
0xfffffff009e4de54: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff009e4de58: 882240f9  ldr	x8, [x20, #0x40]
0xfffffff009e4de5c: e5830091  add	x5, sp, #0x20
0xfffffff009e4de60: 000080d2  mov	x0, #0
0xfffffff009e4de64: 61028052  mov	w1, #0x13
0xfffffff009e4de68: 020080d2  mov	x2, #0
0xfffffff009e4de6c: 030080d2  mov	x3, #0
0xfffffff009e4de70: 040080d2  mov	x4, #0
0xfffffff009e4de74: 060080d2  mov	x6, #0
0xfffffff009e4de78: f1459bd2  mov	x17, #0xda2f
0xfffffff009e4de7c: 11093fd7  blraa	x8, x17
0xfffffff009e4de80: f30300aa  mov	x19, x0
0xfffffff009e4de84: a0010034  cbz	w0, #0xfffffff009e4deb8
0xfffffff009e4de88: e8cefeb0  adrp	x8, #0xfffffff00782a000
0xfffffff009e4de8c: 08413691  add	x8, x8, #0xd90
0xfffffff009e4de90: 098d8152  mov	w9, #0xc68
0xfffffff009e4de94: e9cf00a9  stp	x9, x19, [sp, #8]
0xfffffff009e4de98: e80300f9  str	x8, [sp]
0xfffffff009e4de9c: e0cefeb0  adrp	x0, #0xfffffff00782a000
0xfffffff009e4dea0: 00a43891  add	x0, x0, #0xe29
0xfffffff009e4dea4: 88c60094  bl	#0xfffffff009e7f8c4
0xfffffff009e4dea8: e00313aa  mov	x0, x19
0xfffffff009e4deac: 0ff7ff97  bl	#0xfffffff009e4bae8
0xfffffff009e4deb0: f30300aa  mov	x19, x0
0xfffffff009e4deb4: daffff17  b	#0xfffffff009e4de1c
0xfffffff009e4deb8: e8cefeb0  adrp	x8, #0xfffffff00782a000
0xfffffff009e4debc: 08413691  add	x8, x8, #0xd90
0xfffffff009e4dec0: 698d8152  mov	w9, #0xc6b
0xfffffff009e4dec4: e82700a9  stp	x8, x9, [sp]
0xfffffff009e4dec8: e0cefeb0  adrp	x0, #0xfffffff00782a000
0xfffffff009e4decc: 00803991  add	x0, x0, #0xe60
0xfffffff009e4ded0: c0ffff17  b	#0xfffffff009e4ddd0
0xfffffff009e4ded4: de3f7c97  bl	#0xfffffff007d5de4c
0xfffffff009e4ded8: 7f2303d5  pacibsp	
0xfffffff009e4dedc: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff009e4dee0: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009e4dee4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009e4dee8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009e4deec: fdc30091  add	x29, sp, #0x30
0xfffffff009e4def0: ffc312d1  sub	sp, sp, #0x4b0
0xfffffff009e4def4: 08f7feb0  adrp	x8, #0xfffffff007d2e000
0xfffffff009e4def8: 08d147f9  ldr	x8, [x8, #0xfa0]
0xfffffff009e4defc: 080140f9  ldr	x8, [x8]
0xfffffff009e4df00: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff009e4df04: 089c40f9  ldr	x8, [x0, #0x138]
0xfffffff009e4df08: 1f0100f1  cmp	x8, #0
0xfffffff009e4df0c: 0800889a  csel	x8, x0, x8, eq
0xfffffff009e4df10: 086140f9  ldr	x8, [x8, #0xc0]
0xfffffff009e4df14: 08254439  ldrb	w8, [x8, #0x109]
0xfffffff009e4df18: 68000037  tbnz	w8, #0, #0xfffffff009e4df24
