; Candidate 1198
; ADRP+ADD at VM 0xfffffff00829454c (fileoff 0x129054c): page=0x1fedfd000 add_imm=0xd85

0xfffffff0082944cc: e9020034  cbz	w9, #0xfffffff008294528
0xfffffff0082944d0: 3f050071  cmp	w9, #1
0xfffffff0082944d4: e0020054  b.eq	#0xfffffff008294530
0xfffffff0082944d8: 88fd00f0  adrp	x8, #0xfffffff00a247000
0xfffffff0082944dc: 29008052  mov	w9, #1
0xfffffff0082944e0: 09a11f39  strb	w9, [x8, #0x7e8]
0xfffffff0082944e4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0082944e8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0082944ec: ffc30091  add	sp, sp, #0x30
0xfffffff0082944f0: ff0f5fd6  retab	
0xfffffff0082944f4: 08010032  orr	w8, w8, #1
0xfffffff0082944f8: 682600b9  str	w8, [x19, #0x24]
0xfffffff0082944fc: 730240f9  ldr	x19, [x19]
0xfffffff008294500: b3fcffb4  cbz	x19, #0xfffffff008294494
0xfffffff008294504: 682640b9  ldr	w8, [x19, #0x24]
0xfffffff008294508: a8ff0737  tbnz	w8, #0, #0xfffffff0082944fc
0xfffffff00829450c: 697244f9  ldr	x9, [x19, #0x8e0]
0xfffffff008294510: 29ffffb4  cbz	x9, #0xfffffff0082944f4
0xfffffff008294514: e00313aa  mov	x0, x19
0xfffffff008294518: d15785d2  mov	x17, #0x2abe
0xfffffff00829451c: 31093fd7  blraa	x9, x17
0xfffffff008294520: 682640b9  ldr	w8, [x19, #0x24]
0xfffffff008294524: f4ffff17  b	#0xfffffff0082944f4
0xfffffff008294528: e00308aa  mov	x0, x8
0xfffffff00829452c: 2c2f0894  bl	#0xfffffff0084a01dc
0xfffffff008294530: 08400691  add	x8, x0, #0x190
0xfffffff008294534: 1fc1bfb8  ldapr	wzr, [x8]
0xfffffff008294538: 0b4aed97  bl	#0xfffffff007de6d64
0xfffffff00829453c: e7ffff17  b	#0xfffffff0082944d8
0xfffffff008294540: e86fffb0  adrp	x8, #0xfffffff007091000
0xfffffff008294544: 08a53691  add	x8, x8, #0xda9
0xfffffff008294548: e80300f9  str	x8, [sp]
0xfffffff00829454c: e06fffb0  adrp	x0, #0xfffffff007091000
0xfffffff008294550: 00143691  add	x0, x0, #0xd85
0xfffffff008294554: eeff0794  bl	#0xfffffff00849450c
0xfffffff008294558: 7f2303d5  pacibsp	
0xfffffff00829455c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008294560: fd030091  mov	x29, sp
0xfffffff008294564: 08f900b0  adrp	x8, #0xfffffff00a1b5000
0xfffffff008294568: 08c10d91  add	x8, x8, #0x370
0xfffffff00829456c: 080140f9  ldr	x8, [x8]
0xfffffff008294570: 680100b4  cbz	x8, #0xfffffff00829459c
0xfffffff008294574: 091940b9  ldr	w9, [x8, #0x18]
0xfffffff008294578: 0a1840b9  ldr	w10, [x0, #0x18]
0xfffffff00829457c: 3f010a6b  cmp	w9, w10
0xfffffff008294580: 61ffff54  b.ne	#0xfffffff00829456c
0xfffffff008294584: 606dfff0  adrp	x0, #0xfffffff007043000
0xfffffff008294588: 00401191  add	x0, x0, #0x450
0xfffffff00829458c: e16fffb0  adrp	x1, #0xfffffff007091000
0xfffffff008294590: 21c03791  add	x1, x1, #0xdf0
0xfffffff008294594: 02158052  mov	w2, #0xa8
0xfffffff008294598: 9f2c0894  bl	#0xfffffff00849f814
0xfffffff00829459c: 081840b9  ldr	w8, [x0, #0x18]
0xfffffff0082945a0: 1f150071  cmp	w8, #5
0xfffffff0082945a4: 62020054  b.hs	#0xfffffff0082945f0
0xfffffff0082945a8: 081c40b9  ldr	w8, [x0, #0x1c]
0xfffffff0082945ac: 08050051  sub	w8, w8, #1
0xfffffff0082945b0: 1f090071  cmp	w8, #2
0xfffffff0082945b4: a2020054  b.hs	#0xfffffff008294608
0xfffffff0082945b8: 082040b9  ldr	w8, [x0, #0x20]
0xfffffff0082945bc: 08050051  sub	w8, w8, #1
0xfffffff0082945c0: 1f090071  cmp	w8, #2
0xfffffff0082945c4: e2020054  b.hs	#0xfffffff008294620
0xfffffff0082945c8: 1f0000f9  str	xzr, [x0]
