; Candidate 14201
; ADRP+ADD at VM 0xfffffff00974d1b0 (fileoff 0x27491b0): page=0xc3e000 add_imm=0xd58

0xfffffff00974d130: 289f4938  ldrb	w8, [x25, #0x99]!
0xfffffff00974d134: 68020034  cbz	w8, #0xfffffff00974d180
0xfffffff00974d138: df120071  cmp	w22, #4
0xfffffff00974d13c: 20020054  b.eq	#0xfffffff00974d180
0xfffffff00974d140: 605240f9  ldr	x0, [x19, #0xa0]
0xfffffff00974d144: 100040f9  ldr	x16, [x0]
0xfffffff00974d148: f10300aa  mov	x17, x0
0xfffffff00974d14c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974d150: 301ac1da  autda	x16, x17
0xfffffff00974d154: 112080d2  mov	x17, #0x100
0xfffffff00974d158: 1002118b  add	x16, x16, x17
0xfffffff00974d15c: 080240f9  ldr	x8, [x16]
0xfffffff00974d160: e90310aa  mov	x9, x16
0xfffffff00974d164: e10319aa  mov	x1, x25
0xfffffff00974d168: 42008052  mov	w2, #2
0xfffffff00974d16c: f10309aa  mov	x17, x9
0xfffffff00974d170: 31b7edf2  movk	x17, #0x6db9, lsl #48
0xfffffff00974d174: 11093fd7  blraa	x8, x17
0xfffffff00974d178: 68664239  ldrb	w8, [x19, #0x99]
0xfffffff00974d17c: 28feff35  cbnz	w8, #0xfffffff00974d140
0xfffffff00974d180: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff00974d184: 100040f9  ldr	x16, [x0]
0xfffffff00974d188: f10300aa  mov	x17, x0
0xfffffff00974d18c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974d190: 301ac1da  autda	x16, x17
0xfffffff00974d194: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff00974d198: e90310aa  mov	x9, x16
0xfffffff00974d19c: f10309aa  mov	x17, x9
0xfffffff00974d1a0: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff00974d1a4: 11093fd7  blraa	x8, x17
0xfffffff00974d1a8: f70300aa  mov	x23, x0
0xfffffff00974d1ac: 180500b4  cbz	x24, #0xfffffff00974d24c
0xfffffff00974d1b0: e06100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff00974d1b4: 00603591  add	x0, x0, #0xd58
0xfffffff00974d1b8: e85dae97  bl	#0xfffffff0082e4958
0xfffffff00974d1bc: fa0300aa  mov	x26, x0
0xfffffff00974d1c0: 100340f9  ldr	x16, [x24]
0xfffffff00974d1c4: f10318aa  mov	x17, x24
0xfffffff00974d1c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974d1cc: 301ac1da  autda	x16, x17
0xfffffff00974d1d0: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974d1d4: e90310aa  mov	x9, x16
0xfffffff00974d1d8: e00318aa  mov	x0, x24
0xfffffff00974d1dc: f10309aa  mov	x17, x9
0xfffffff00974d1e0: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974d1e4: 11093fd7  blraa	x8, x17
0xfffffff00974d1e8: f4031baa  mov	x20, x27
0xfffffff00974d1ec: fb0300aa  mov	x27, x0
0xfffffff00974d1f0: 700240f9  ldr	x16, [x19]
0xfffffff00974d1f4: f10313aa  mov	x17, x19
0xfffffff00974d1f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974d1fc: 301ac1da  autda	x16, x17
0xfffffff00974d200: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974d204: e90310aa  mov	x9, x16
0xfffffff00974d208: e00313aa  mov	x0, x19
0xfffffff00974d20c: f10309aa  mov	x17, x9
0xfffffff00974d210: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974d214: 11093fd7  blraa	x8, x17
0xfffffff00974d218: e50300aa  mov	x5, x0
0xfffffff00974d21c: 643f0012  and	w4, w27, #0xffff
0xfffffff00974d220: fb0314aa  mov	x27, x20
0xfffffff00974d224: 345b8052  mov	w20, #0x2d9
0xfffffff00974d228: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00974d22c: 42f2fed0  adrp	x2, #0xfffffff007597000
