; Candidate 15481
; ADRP+ADD at VM 0xfffffff009bc42ec (fileoff 0x2bc02ec): page=0x1fe129000 add_imm=0xeb8

0xfffffff009bc426c: 10a23b91  add	x16, x16, #0xee8
0xfffffff009bc4270: 10420091  add	x16, x16, #0x10
0xfffffff009bc4274: f10300aa  mov	x17, x0
0xfffffff009bc4278: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009bc427c: 300ac1da  pacda	x16, x17
0xfffffff009bc4280: 100000f9  str	x16, [x0]
0xfffffff009bc4284: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009bc4288: ff0f5fd6  retab	
0xfffffff009bc428c: 5f2403d5  bti	c
0xfffffff009bc4290: af8c9c17  b	#0xfffffff0082e754c
0xfffffff009bc4294: 5f2403d5  bti	c
0xfffffff009bc4298: ad8c9c17  b	#0xfffffff0082e754c
0xfffffff009bc429c: 7f2303d5  pacibsp	
0xfffffff009bc42a0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009bc42a4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009bc42a8: fd430091  add	x29, sp, #0x10
0xfffffff009bc42ac: f30300aa  mov	x19, x0
0xfffffff009bc42b0: a78c9c97  bl	#0xfffffff0082e754c
0xfffffff009bc42b4: 4009ffb0  adrp	x0, #0xfffffff007ced000
0xfffffff009bc42b8: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009bc42bc: e10313aa  mov	x1, x19
0xfffffff009bc42c0: 02048052  mov	w2, #0x20
0xfffffff009bc42c4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009bc42c8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009bc42cc: ff2303d5  autibsp	
0xfffffff009bc42d0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009bc42d4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009bc42dc
0xfffffff009bc42d8: 208e38d4  brk	#0xc471
0xfffffff009bc42dc: f08c9c17  b	#0xfffffff0082e769c
0xfffffff009bc42e0: 5f2403d5  bti	c
0xfffffff009bc42e4: e20301aa  mov	x2, x1
0xfffffff009bc42e8: e10300aa  mov	x1, x0
0xfffffff009bc42ec: 4009ffb0  adrp	x0, #0xfffffff007ced000
0xfffffff009bc42f0: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009bc42f4: ea8c9c17  b	#0xfffffff0082e769c
0xfffffff009bc42f8: 5f2403d5  bti	c
0xfffffff009bc42fc: a03f00d0  adrp	x0, #0xfffffff00a3ba000
0xfffffff009bc4300: 00002191  add	x0, x0, #0x840
0xfffffff009bc4304: c0035fd6  ret	
0xfffffff009bc4308: 7f2303d5  pacibsp	
0xfffffff009bc430c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009bc4310: fd030091  mov	x29, sp
0xfffffff009bc4314: c1d3fed0  adrp	x1, #0xfffffff00763e000
0xfffffff009bc4318: 21f82f91  add	x1, x1, #0xbfe
0xfffffff009bc431c: e208ff90  adrp	x2, #0xfffffff007ce0000
0xfffffff009bc4320: 427846f9  ldr	x2, [x2, #0xcf0]
0xfffffff009bc4324: 03048052  mov	w3, #0x20
0xfffffff009bc4328: 047e9c97  bl	#0xfffffff0082e3b38
0xfffffff009bc432c: f008fff0  adrp	x16, #0xfffffff007ce3000
0xfffffff009bc4330: 10223e91  add	x16, x16, #0xf88
0xfffffff009bc4334: 10420091  add	x16, x16, #0x10
0xfffffff009bc4338: f10300aa  mov	x17, x0
0xfffffff009bc433c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009bc4340: 300ac1da  pacda	x16, x17
0xfffffff009bc4344: 100000f9  str	x16, [x0]
0xfffffff009bc4348: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009bc434c: ff0f5fd6  retab	
0xfffffff009bc4350: 7f2303d5  pacibsp	
0xfffffff009bc4354: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009bc4358: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009bc435c: fd430091  add	x29, sp, #0x10
0xfffffff009bc4360: 4009ffb0  adrp	x0, #0xfffffff007ced000
0xfffffff009bc4364: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009bc4368: 01048052  mov	w1, #0x20
