; Candidate 14928
; ADRP+ADD at VM 0xfffffff009a03fb4 (fileoff 0x29fffb4): page=0x1fdbfd000 add_imm=0xce9

0xfffffff009a03f34: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009a03f38: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009a03f3c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009a03f40: ff030191  add	sp, sp, #0x40
0xfffffff009a03f44: ff0f5fd6  retab	
0xfffffff009a03f48: 700240f9  ldr	x16, [x19]
0xfffffff009a03f4c: f10313aa  mov	x17, x19
0xfffffff009a03f50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a03f54: 301ac1da  autda	x16, x17
0xfffffff009a03f58: 112780d2  mov	x17, #0x138
0xfffffff009a03f5c: 1002118b  add	x16, x16, x17
0xfffffff009a03f60: 080240f9  ldr	x8, [x16]
0xfffffff009a03f64: e90310aa  mov	x9, x16
0xfffffff009a03f68: f5dffeb0  adrp	x21, #0xfffffff007600000
0xfffffff009a03f6c: b54e3391  add	x21, x21, #0xcd3
0xfffffff009a03f70: e00313aa  mov	x0, x19
0xfffffff009a03f74: e10315aa  mov	x1, x21
0xfffffff009a03f78: f10309aa  mov	x17, x9
0xfffffff009a03f7c: 71c7e5f2  movk	x17, #0x2e3b, lsl #48
0xfffffff009a03f80: 11093fd7  blraa	x8, x17
0xfffffff009a03f84: e00100b5  cbnz	x0, #0xfffffff009a03fc0
0xfffffff009a03f88: 900240f9  ldr	x16, [x20]
0xfffffff009a03f8c: f10314aa  mov	x17, x20
0xfffffff009a03f90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a03f94: 301ac1da  autda	x16, x17
0xfffffff009a03f98: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009a03f9c: e90310aa  mov	x9, x16
0xfffffff009a03fa0: e00314aa  mov	x0, x20
0xfffffff009a03fa4: f10309aa  mov	x17, x9
0xfffffff009a03fa8: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009a03fac: 11093fd7  blraa	x8, x17
0xfffffff009a03fb0: e05700a9  stp	x0, x21, [sp]
0xfffffff009a03fb4: e0dffeb0  adrp	x0, #0xfffffff007600000
0xfffffff009a03fb8: 00a43391  add	x0, x0, #0xce9
0xfffffff009a03fbc: 194ca597  bl	#0xfffffff008357020
0xfffffff009a03fc0: 944d00f0  adrp	x20, #0xfffffff00a3b6000
0xfffffff009a03fc4: 884a6e39  ldrb	w8, [x20, #0xb92]
0xfffffff009a03fc8: 68052037  tbnz	w8, #4, #0xfffffff009a04074
0xfffffff009a03fcc: c814ffd0  adrp	x8, #0xfffffff007c9d000
0xfffffff009a03fd0: 089d41f9  ldr	x8, [x8, #0x338]
0xfffffff009a03fd4: 080140f9  ldr	x8, [x8]
0xfffffff009a03fd8: 150140f9  ldr	x21, [x8]
0xfffffff009a03fdc: 700240f9  ldr	x16, [x19]
0xfffffff009a03fe0: f10313aa  mov	x17, x19
0xfffffff009a03fe4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a03fe8: 301ac1da  autda	x16, x17
0xfffffff009a03fec: 112780d2  mov	x17, #0x138
0xfffffff009a03ff0: 1002118b  add	x16, x16, x17
0xfffffff009a03ff4: 080240f9  ldr	x8, [x16]
0xfffffff009a03ff8: e90310aa  mov	x9, x16
0xfffffff009a03ffc: e1dffeb0  adrp	x1, #0xfffffff007600000
0xfffffff009a04000: 214c3391  add	x1, x1, #0xcd3
0xfffffff009a04004: e00313aa  mov	x0, x19
0xfffffff009a04008: f10309aa  mov	x17, x9
0xfffffff009a0400c: 71c7e5f2  movk	x17, #0x2e3b, lsl #48
0xfffffff009a04010: 11093fd7  blraa	x8, x17
0xfffffff009a04014: bf0200eb  cmp	x21, x0
0xfffffff009a04018: e0020054  b.eq	#0xfffffff009a04074
0xfffffff009a0401c: c814ffb0  adrp	x8, #0xfffffff007c9d000
0xfffffff009a04020: 08a141f9  ldr	x8, [x8, #0x340]
0xfffffff009a04024: 080140f9  ldr	x8, [x8]
0xfffffff009a04028: 150140f9  ldr	x21, [x8]
0xfffffff009a0402c: 700240f9  ldr	x16, [x19]
0xfffffff009a04030: f10313aa  mov	x17, x19
